﻿end015_1,Life is impermanent and constantly changing; home can be found wherever you discover peace of mind.,ชีวิตเป็นสิ่งไม่เที่ยงและเปลี่ยนแปลงตลอดเวลา ทุกสถานที่ที่เจ้าสบายใจล้วนสามารถเป็นบ้านได้
A15009-1_4_2,What's wrong? Weren't you very arrogant just now?,อะไรกันเล่า? ไม่อวดดีแล้วรึไงฮะ?
A15009-1_4_3,"Tell me, how did you get mixed up with Mr. Liu, and what are you trying to do by causing a ruckus in Beast Manor and kidnapping Mr. Liu?",บอกมาว่าพวกเจ้าไปร่วมมือกับเจ้าหลิวนั่นได้ยังไง แล้วพวกเจ้าไปก่อปัญหาในหมู่ตึกหมื่นอสูรแถมยังหลักพาตัวหมอหลิวไปอีกทำไมกัน?
A15009-1_4_4,"Heh, I didn't expect you to have relations with Beast Manor, do you think I'll tell you honestly?",เฮอะ ข้าไม่คิดว่าเจ้าจะรู้จักกับพวกหมู่ตึกหมื่นอสูร เจ้าคิดว่าข้าจะเล่าให้เจ้าฟังตรงๆรึยังไง?
A15009-1_4_5,Aren't you afraid I'll kill you?,งั้นเจ้าก็ไม่กลัวตายใช่ไหม?
A15009-1_4_6,Hehehehehe...,ฮี่ฮี่ฮี่ฮี่ฮี่...
A15009-1_5_1,"Woman, how long are you going to watch!",แม่นาง ท่านจะดูอยู่อีกนานไหม!
A15009-1_5_2,……,……
A15009-1_6_1,"Hey, guy in black, how long are you going to watch!",เฮ้ย พวกกลุ่มเสื้อคลุมดำ เจ้าจะดูเฉยๆอีกนานไหม!
A15009-1_6_2,……,……
A15009-1_7_1,"Kid, next time we meet, I'll take your head!",ไอ้หนู เจอกันคราวหน้า ข้าจะเป็นฝ่ายตัดหัวเจ้าแน่!
A15009-1_7_2,These guys actually have a backup plan...,ไอ้พวกนี้มันมีแผนสำรองงั้นหรือ...
A15009-1_7_3,"Don't be afraid, I've driven all the bad guys away.",ไม่ต้องกลัวนะ ข้าไล่พวกคนใจร้ายไปหมดแล้ว
A15009-1_7_4,Hmm~,หงี้ด~
A15009-1_7_5,This guy was probably just hiding from those Cloud Camp people and ran here.,เจ้าตัวนี้คงแค่หลบหนีจากคนในค่ายเมฆาและวิ่งมาที่นี่
A15009-1_7_6,"Now it has no hostility towards me, and it looks quite cute. If my Beast Taming Level is high enough, I should be able to tame it as a pet.",ตอนนี้มันไม่มีเจตนาร้ายต่อข้าแล้ว และมันก็ดูน่ารักดีแฮะ ถ้าความสามารถการฝึกสัตว์ร้ายของข้าสูงพอ ข้าน่าจะเลี้ยงมันได้
R10087-1_1_1,"Master Tang, have you recovered?",ท่านเจ้าหมู่ตึกถัง ท่านหายดีแล้วหรือ?
R10087-1_1_2,"I'm fine now, all thanks to {PlayerSurName}young hero.",ข้าไม่เป็นอะไรแล้ว ต้องขอบคุณท่านจอมยุทธน้อย{PlayerSurName}
R10087-1_1_3,"I've heard about what happened these past few days from Wanner, {PlayerSurName}young hero risked his life for Beast Manor, I really can't repay such a great kindness.",ข้าได้ยินเรื่องที่เกิดขึ้นในช่วงหลายวันที่ผ่านมาจากหว่านเอ๋อร์แล้ว ท่านจอมยุทธน้อย{PlayerSurName} ได้เสี่ยงชีวิตของท่านช่วยหมู่ตึกหมื่นอสูรนี้ไว้ ข้าไม่รู้จะตอบแทนพระคุณในครั้งนี้อย่างไรดีเลย
R10087-1_1_4,"This pet equipment is a treasure of Beast Manor, I hope it can be a proof of friendship between Beast Manor and {PlayerSurName}young hero.",นี่เป็นอุปกรณ์สำหรับสัตว์ นับเป็นสมบัติของหมู่ตึกหมื่นอสูร ข้าหวังว่ามันจะเป็นเครื่องแสดงมิตรภาพระหว่างหมู่ตึกหมื่นอสูรและท่านจอมยุทธน้อย{PlayerSurName}ได้นะ
R10087-1_1_5,"Thank you, Master!",ขอบคุณท่านเจ้าหมู่ตึก!
R10102-3_1_1,"{PlayerSurName}Young hero, you have extraordinary abilities. You crushed Liu Fuming's plot and saved the Mountain God. I truly admire you.",จอมยุทธ์น้อย{PlayerSurName} เจ้าช่างมีความสามารถยิ่งนัก เจ้าทำลายแผนชั่วของหลิวฝู่หมิงและได้ช่วยเทพแห่งขุนเขาไว้ ข้าขอคารวะเจ้าจากใจจริง
R10102-3_1_2,"Senior, you flatter me. I still have a lot to learn.",ผู้อาวุโสกล่าวเกินไปแล้ว ข้ายังต้องเรียนรู้อีกมาก
R10102-3_1_3,"{PlayerSurName}Young hero, there's no need to be modest. When I was your age, I couldn't achieve what you have.",จอมยุทธน้อย {PlayerSurName} ไม่ต้องอ่อนน้อมถ่อมตนเลย  เมื่อข้าอายุเท่าเจ้า ข้ายังทำได้ไม่ถึงครึ่งของเจ้าเลย
R10102-3_1_4,"By the way, do you still remember the guys from Cloud Camp?","เอาล่ะ, จอมยุทธน้อย {PlayerSurName} ยังจำพวกคนที่ค่ายเมฆขาว ได้ไหม?"
R10102-3_1_5,"Of course, what happened to them?",แน่นอน ข้าจำได้ พวกเขามีเรื่องอะไรหรือ?
R10102-3_1_6,"Cloud Camp was severely damaged after returning from the snow mountain, but recently they seem to be regrouping. I don't know when they will make a comeback.",หลังจากกลับจากเทือกเขาหิมะ ค่ายเมฆขาวได้รับความเสียหายอย่างหนัก แต่ดูเหมือนว่าพวกเขาจะกำลังฟื้นฟูกำลังขึ้นมาใหม่ ข้าไม่ทราบว่าพวกเขาจะกลับมาแข็งแกร่งเมื่อใด
R10102-3_1_7,"Those people usually poach rare animals and trade in fur. They also attack the disciples of the manor, causing casualties. In my opinion, they deserve to die.",พวกนั้นทำการล่าสัตว์หายากและค้าขายหนังสัตว์เป็นหลัก นอกจากนี้ยังโจมตีศิษย์ของเรา ทำให้เกิดการบาดเจ็บและการเสียชีวิต ในความคิดของข้า พวกเขาตายก็นับว่าได้รับผลกรรมแล้ว
R10102-3_1_8,I hope to ask {PlayerSurName} young hero to take action and wipe out these remnants. I will be very grateful.,ข้าอยากขอร้องให้จอมยุทธน้อย {PlayerSurName} ช่วยเหลือในการกำจัดเหล่าศัตรูที่เหลือให้หมดสิ้นไป ข้าจะมีรางวัลตอบแทนอย่างงามแน่นอน
R10102-3_2_1,"So that's what happened. Don't worry, elder. I have already executed the leader of Cloud Camp on the spot.",เดิมทีเป็นเรื่องนี้เอง ขอให้ท่านผู้เฒ่าไม่ต้องกังวลเลย ข้าได้จัดการกับหัวหน้าค่ายเมฆขาวเรียบร้อยแล้ว
R10102-3_2_2,Is this true?,เป็นความจริงหรือ?
R10102-3_2_3,"Absolutely true. I was worried that they would cause trouble for Beast Manor, so I made a detour to Cloud Camp.",ถูกต้องตามนั้น ข้ากังวลว่าพวกเขาอาจจะมาหาเรื่องกับหมู่ตึกหมื่นอสูรในภายหลัง จึงได้แวะไปที่ค่ายเมฆขาวระหว่างทาง
R10102-3_2_4,I didn't expect {PlayerSurName} young hero to be so thoughtful at such a young age. I underestimated you.,ไม่คาดคิดเลยว่าจอมยุทธ {PlayerSurName} ที่ยังอายุยังน้อย จะทำงานได้ละเอียดรอบคอบเช่นนี้ เฒ่าชราจึงได้ประเมินคุณจอมยุทธน้อยต่ำเกินไปเสียแล้ว
R10102-3_2_5,This spear has been with me for decades and I have always taken good care of it. I will give it to you today.,หอกนี้อยู่ข้างกายข้ามาหลายสิบปี และข้าดูแลมันเป็นอย่างดี บัดนี้ขอมอบให้เจ้า
R10102-3_2_6,"This spear is so valuable, how can I...",หอกเล่มนี้ล้ำค่ามาก ข้าจะ...รับมันได้อย่างไร?
R10102-3_2_7,You saved Beast Manor from a disaster. It's just a spear. Please accept it.,เจ้าช่วยหมู่ตึกหมื่นอสูรให้พ้นภัย ได้โปรดรับไว้เถิด
R10102-3_2_8,"If that's the case... thank you for the spear, elder.",เช่นนั้น ผู้อาวุโส... ข้าขอขอบคุณสำหรับหอกนี้
R10102-3_3_1,"Don't worry, elder. I've got this.",ผู้อาวุโสโปรดวางใจ ข้าจะดูแลเป็นอย่างดี
R10102-3_4_1,"Elder, I have cleaned up the remnants of Cloud Camp.",ผู้อาวุโส ข้าเก็บกวาดค่ายเมฆาขาวเรียบร้อยแล้ว
R10102-3_4_2,"{PlayerSurName}Young hero, you are indeed a young hero.",จอมยุทธน้อย{PlayerSurName} เจ้าช่างเป็นผู้กล้าหาญโดยแท้
R10102-3_4_3,This spear has been with me for decades and I have always taken good care of it. I will give it to you today.,หอกนี้อยู่ข้างกายข้ามานับสิบปี และข้าดูแลมันเป็นอย่างดี บัดนี้ข้าขอมอบให้เจ้า
R10102-3_4_4,"This spear is so valuable, how can I...",หอกเล่มนี้ล้ำค่ามาก ข้าจะ...รับมันได้อย่างไร?
R10102-3_4_5,You saved Beast Manor from a disaster. It's just a spear. Please accept it.,เจ้าช่วยหมู่ตึกหมื่นอสูรให้พ้นภัย ได้โปรดรับไว้เถิด
R10102-3_4_6,"If that's the case... thank you for the spear, elder.",เช่นนั้น ผู้อาวุโส... ข้าขอขอบคุณสำหรับหอกนี้
Kill-2190-2_1_1,"{PlayerSurName}Young hero, are you really going to do this?",จอมยุทธน้อย{PlayerSurName}  เจ้าคิดจะทำเช่นนี้จริงๆ หรือ?
Kill-2190-2_2_1,"{PlayerSurName}Young hero, be careful with your words and actions in the world of martial arts. Don't make such jokes again.",จอมยุทธน้อย{PlayerSurName} การท่องไปในยุทธภพนั้น ต้องระมัดระวังคำพูดคำจาให้มาก
Kill-2190-2_3_1,"Well, it seems that I am really old. Anyone dares to mess with me.",ดี ดูเหมือนว่าข้าจะแก่ลงจริงๆ ถึงขนาดมีใครก็ไม่รู้กล้ามาทำเรื่องป่าเถื่อนใส่ข้าได้
Kill-2190-2_4_1,"{PlayerSurName}Brother, I didn't expect you to be this kind of person! We are enemies from now on!",พี่{PlayerSurName} ข้าไม่เคยคิดเลยว่าเจ้าจะเป็นคนเยี่ยงนี้! นับแต่นี้ข้ากับเจ้าคือศัตรูกัน!
Kill-2190-2_5_1,"{PlayerSurName}Young hero, since you insist on doing this, don't blame me for being rude!",จอมยุทธน้อย{PlayerSurName} ในเมื่อเจ้าตั้งใจเช่นนี้ ก็อย่าหาว่าข้าโหดร้ายกับเจ้าเลย!
Kill-2190-2_6_1,"Let me see your skills, {PlayerSurName} young hero!",ขอดูฝีมือของเจ้าหน่อยเถอะ ท่านจอมยุทธน้อย{PlayerSurName}!
Kill-2190-2_7_1,"This place is a fortress that has been defending the southwest for decades without retreating. It is the Great Wall that ensures the Central Plains are free from disaster in the wild. It is a paradise where birds and beasts play freely. But now, birds fall from the sky, beasts gasp for breath. In the fire, everything turns to ashes. The fortress and the Great Wall no longer exist.",ที่นี่เคยเป็นป้อมปราการปกป้องแดนทางตะวันตกเฉียงใต้ อย่างไม่เคยย่อท้อมาเป็นเวลาหลายสิบปี เป็นกำแพงเมืองที่อยู่ห่างไกลในดินแดนป่าเถื่อน ปกป้องดินแดนจงหยวนจากภัยพิบัติ เป็นสวรรค์ที่นกและสัตว์ป่าจะอยู่อย่างสันติ แต่ตอนนี้ แม้แต่นกก็ตกลงสู่พื้น สัตว์ป่าไม่อาจหายใจ ในเปลวไฟทุกอย่างกลายเป็นเถ้าถ่าน ป้อมปราการและกำแพงเมืองไม่เหลืออยู่อีกต่อไป
Kill-2190-2_7_2,"<size=250%><color=#E3170D>Beast Manor, annihilated!</color></size>",<size=250%><color=#E3170D>หมู่ตึกหมื่นอสูร ถูกทำลายล้างแล้ว!</color></size>
R10102-4_1_1,"Wow, how powerful...|I heard that the manor owner was poisoned and came...|This old Invincible is really powerful...|Damn, I can't even get in the door...|Damn old man!",ช่างแข็งแกร่งอะไรขนาดนี้...|ข้าได้ยินว่าเจ้าตึกโดนพิษเลยมา...|ตาแก่นี้แข็งแกร่งจริงๆ|บ้าเอ้ย ไปที่ประตูยังไม่ได้...|ตาแก่นี่ หนอย!
R10102-4_1_2,"{yell}Come on, is this all you Jiuli Tribe got?",{yell}เข้ามา พวกเผ่าจิ่วลี่ได้แค่นี้รึไง!?
R10102-4_1_3,"Elder, what happened here?",ท่านผู้อาวุโสเกิดอะไรขึ้น?
R10102-4_1_4,"A bunch of Jiuli flies, they smell blood and swarm over.",แค่พวกยุงจากเผ่าจิ่วลี่ มันได้กลิ่นเลือดเลยพากันบินมา
R10102-4_1_5,Jiuli Tribe...,เผ่าจิ่วลี่...
R10102-4_2_1,"Hey, you remnants of the Jiuli Tribe, do you know who I am?",เฮ้ พวกที่เหลือรอดของเผ่าจิ่วลี่ เจ้ารู้ไหมว่าข้าเป็นใคร?
R10102-4_2_2,"You, you are {PlayerName}...",เจ้า เจ้าคือ{PlayerName}...
R10102-4_2_3,"Tsk, we're done for this time, let's retreat!",ชิ คราวนี้เราล้มเหลวแล้ว ถอยกันเถอะ!
R10102-4_3_1,"Hey, did Ah Ge send you guys?",เดี๋ยวนะท่านพี่ส่งพวกเจ้ามารึไง?
R10102-4_3_2,"Saint, Saintess! Why are you with them...",เทพธิดา ท่านเทพธิดาธิดา! ทำไมถึงไปอยู่กับพวกมัน...
R10102-4_3_3,"Cai Die can be with whoever she likes!\nYou haven't answered Cai Die's question yet, did Ah Ge send you?","ไฉ่ตี้จะไปอยู่กับใครก็ได้ทั้งนั้นที่ไฉ่ตี้ชอบ!\nเจ้ายังไม่ตอบคำถามของไฉ่ตี้เลย ว่าท่านพี่ส่งพวกเจ้ามาหรือไง?"
R10102-4_3_4,"What bad luck...|Why is the Saintess here of all places...|If we hurt the Saintess, the chief will...|The angry Saintess is so cute...|We can't afford to offend the Saintess and the chief...",ซวยอะไรเช่นนี้|ทำไมท่านเทพธิดาถึงอยู่นี่...|ถ้าทำร้ายท่านเทพธิดา หัวหน้าเผ่าคง...|ท่านธิดาโกรธแล้วน่ารักชะมัด...|ข้าไม่กล้าลบหลู่
R10102-4_3_5,"You guys from the Beast Manor, you're lucky today, I'll spare your lives!\nLet's retreat!","พวกเจ้าจากหมู่ตึกหมื่นอสูรโชคดีไปนะ ข้าจะไว้ชีวิตไปก่อน!\nกลับ!"
R10102-4_3_6,"Thank you, Little Cai Die, thanks to you they left obediently.",ขอบคุณมากนะ ไฉ่ตี้น้อย เพราะเจ้าเลยพวกนั้นเลยออกไปอย่างว่าง่ายได้
R10102-4_3_7,Huh? But Cai Die didn't do anything...,หือ? แต่ไฉ่ตี้ยังไม่ได้ทำอะไรเลยนะคะ...
R10102-4_4_1,"Senior, let me lend you a hand!",ผู้อาวุโส ให้ข้าช่วยท่านนะ!
R10102-4_4_2,"No need, {PlayerSurName} young hero, they're just annoying bugs, I can handle them alone.",ไม่ต้องหรอก จอมยุทธน้อย{PlayerSurName} พวกมันก็แค่มดปลวก ข้าจัดการคนเดียวได้
R10102-4_4_3,"Damn it, they dare to look down on us!\nLet's show them the power of the Jiuli Tribe!","หน็อย กล้ามาดูถูกพวกข้า!\nงั้นให้พวกมันได้ลิ้มรสความร้ายกาจของเผ่าจิ่วลี่เถอะ"
R10102-4_4_4,"Tsk, these guys have even learned to ambush.\n{PlayerSurName} young hero, I'll leave my back to you.","ชิ พวกมันรู้จักซุ่มโจมตีกันด้วยรึ\nจอมยุทธน้อย{PlayerSurName} ปล่อยให้ข้าระวังหลังให้เจ้าได้เลย"
R10102-4_4_5,"Don't worry, senior, I won't let these guys get close to you!",อย่าห่วงเลยท่านผู้อาวุโส ข้าจะไม่ปล่อยพวกมันเข้าใกล้ท่านแม้แต่ตัวเดียว!
R10102-4_5_1,"This side is taken care of, I need to go help senior--",ฝั่งนี้ข้าจัดการเรียบร้อย ต้องรีบไปช่วยท่านผู้อา--
R10102-4_6_1,It seems like there's no chance for me to intervene...,ดูเหมือนข้าจะไม่มีโอกาสได้แสดงฝีมือสินะ...
R10102-4_6_2,It seems that the young hero has also finished the battle.,ดูเหมือนท่านจอมยุทธน้อยเองก็จัดการฝั่งนั้นเรียบร้อยแล้ว
R10102-4_6_3,"Senior's skills are extraordinary, I admire you very much.",ท่านผู้อาวุโสแข็งแกร่งยิ่งนัก ข้าน้อยขอเลื่อมใส
R10102-4_6_4,"You're too kind, young hero. I haven't exercised for a long time, it took me some time to deal with these bugs.",ท่านก็ชมข้าเกินไปแล้ว จอมยุทธน้อย ข้าไม่ได้ออกกำลังกายมาซะนาน กำจัดมดปลวกแค่นี้ยังต้องใช้เวลาเยอะมากมาย
R10102-4_6_5,"I just didn't expect these bugs to still have the energy to trouble the manor...\n{PlayerSurName} young hero, I'm worried that there are still some of them lurking around the manor, waiting for an opportunity to attack the manor.","ข้าไม่คิดว่ามดปลวกพวกนี้จะยังมีแรงมาก่อปัญหาให้ที่หมู่ตึกเช่นนี้ได้\nจอมยุทธน้อย{PlayerSurName} ข้ากังวลว่าจะมีพวกมันแอบซุ่มรอโอกาสโจมตีหมู่ตึกอยู่อีก"
R10102-4_6_6,"I shouldn't have bothered you, but I need to ensure the safety of the road into the manor, I can't just run away from the manor, could you patrol around the manor for me?",ข้าไม่ควรมารบกวนเจ้าเลย แต่ข้าต้องคอยเฝ้าระวังความปลอดภัยให้กับหมู่ตึกแห่งนี้อยู่ที่นี้ ข้ารบกวนเจ้าออกไปตรวจตรารอบๆแถวนี้แทนได้หรือไม่?
R10102-4_6_7,"It's a small matter, leave it to me.",เรื่องเล็กน้อย ไว้ใจข้าได้
R10102-4_7_1,"Tsk, we've been discovered, attack!|They're from the Beast Manor, attack!|Tsk, how did you find me?!|Since you found me, I have no choice but to kill you!",ชิ โดนเจอตัวแล้ว โจมตี! | พวกมันมาจากหมู่ตึกหมื่นอสูร ลุย! | ชิ หาข้าเจอได้ยังไงกัน!? | ในเมื่อข้าถูกพบ คงปล่อยเจ้าไปไม่ได้แล้ว!
R10102-4_8_1,"There should still be Jiuli Tribe members lurking around the manor, let's go look in another direction.",น่าจะมีพวกเผ่าจิ่วลี่แอบอยู่รอบๆอีก ลองไปหาที่อื่นอีกดู
R10102-4_9_1,"There should be no more Jiuli Tribe members lurking around here, let's go back and report to senior.",ไม่น่ามีพวกเผ่าจิ่วลี่แอบซ่อนอยู่แล้ว ไปรายงานให้ผู้อาวุโสทราบดีกว่า
R10102-4_10_1,"Senior, I've driven away all the Jiuli Tribe members around here.",ท่านผู้อาวุโส ข้าไล่พวกเผ่าจิ่วลี่รอบๆนี้ไปหมดแล้ว
R10102-4_10_2,"Good, as expected of {PlayerSurName} young hero.\nSigh, the manor is really short of hands, even these small matters have to bother the young hero...","ดีมาก อย่างที่ข้าหวังไว้จากท่านจอมยุทธน้อย{PlayerSurName}เลยจริงๆ\nเฮ้อ หมู่ตึกหมื่นอสูรขาดแคลนกำลังคนอย่างมาก เรื่องเล็กเพียงนี้ยังต้องรบกวนท่านจอมยุทธน้อย..."
R10102-4_10_3,"These are some insights I've gained from practicing the spear for many years, I'll give them to you, young hero, I hope they can help you.",นี่เป็นเคล็ดลับที่ข้าได้เรียนรู้หลังจากฝึกฝนเพลงหอกมานานนับสิบปี ข้าจะขอมอบให้เจ้า ท่านจอมยุทธน้อย ข้าหวังว่ามันจะช่วยท่านได้
R10102-4_10_4,"You're too kind, senior.",ท่านอาวุโสเกรงใจเกินไปแล้ว
R10102-4_11_1,"Thanks to you, young hero, we drove away these invaders without a fight.",ขอบคุณท่านมากท่านจอมยุทธน้อย เราไล่พวกบุกรุกไปได้โดยไม่ต้องสู้รบกัน
R10102-4_11_2,"Not at all, you're too kind, senior.",ไม่เลยๆ ท่านกล่าวเกินไป ท่านผู้อาวุโส
R10102-4_11_3,"Sigh, seeing you, young hero, reminds me of my youth...\nIf I were ten years younger, they wouldn't dare to offend!","เฮ้อ จอมยุทธ์น้อยเห็นเจ้าแล้ว ทำให้นึกถึงวัยเยาว์...\nถ้าข้าอายุน้อยกว่านี้สักสิบปี พวกเขาคงไม่กล้ารุกรานหมู่ตึกแน่!"
R10102-4_11_4,"Sigh... Unfortunately, the younger generation of the manor is in decline, and there's no one as capable as you, young hero...",เฮ้อ... น่าเสียดายที่คนรุ่นใหม่ของหมู่ตึกนี้อ่อนแอลง และไม่มีใครจะมีความสามารถเช่นเจ้าเลยสักคน ท่านจอมยุทธ์น้อย..
R10102-4_11_5,"Ah, I'm afraid I've bored you with my complaints. These are some insights I've gained from years of practicing spear, I'll give them to you. I hope they can be of help to you.",อา ข้าเกรงว่าข้าจะทำให้เจ้าเบื่อกับคำบ่นของข้า นี่คือบันทึกประสบการณ์บางส่วนที่ข้าได้รับจากการฝึกฝนเพลงหอกมาหลายปี ข้าจะมอบมันให้กับเจ้า ข้าหวังว่าพวกเขาจะสามารถช่วยเจ้าได้
R10102-4_11_6,"You're too kind, senior.",ท่านอาวุโสเกรงใจเกินไปแล้ว
R10086-5_1_1,"Brother Lu, is there something troubling you?",พี่ลู่ มีปัญหาอะไรกวนใจท่านอยู่เหรอ?
R10086-5_1_2,"You're too kind, Brother {PlayerSurName}, it's just some matters within the manor...",น้อง{PlayerSurName}ใจดีนัก แค่เรื่องบางอย่างเกิดขึ้นในหมู่ตึกน่ะ...
R10086-5_1_3,"Don't be a stranger, Brother Lu. Is there anything I can help with?",มิต้องทำเป็นคนอื่นคนไกลหรอก พี่ลู่มีอะไรอยากให้ข้าช่วยไหม?
R10086-5_1_4,"You're right, I was being too reserved.",ท่านพูดถูก ข้าอาจจะเกรงใจเกินไป
R10086-5_1_5,"Here's the thing, after returning to the manor, I've been learning how to handle the affairs within, but the progress has been rather slow...",เรื่องก็คือหลังจากกลับมายังหมู่ตึก ข้าก็ได้เริ่มเรียนรู้ที่จะสืบทอดกิจการของหมู่ตึกแห่งนี้ แต่การเรียนรู้ของข้านั้นช้ามากนัก...
R10086-5_1_6,"Especially when it comes to the art of Beast Taming... I was too busy playing with Xue Rong before, I have no clue how to train other animals...",โดยเฉพาะเรื่องของการฝึกสัตว์... ข้ามัวแต่เล่นกับเสี่ยหรงอย่างเดียว จนไม่รู้ว่าต้องฝึกสัตว์อื่นๆยังไงเลยทีนี้
R10086-5_1_7,"I wonder how Brother {PlayerSurName} is at Beast Taming. If Brother {PlayerSurName} has mastered it, could you teach me?",ข้าอยากรู้ว่าท่านพี่ {PlayerSurName} เชี่ยวชาญการฝึกสัตว์ถึงเพียงใด หากท่านพี่  {PlayerSurName} ได้สำเร็จวิชานี้แล้ว รบกวนท่านช่วยถ่ายทอดวิชาให้ข้าบ้างเถิด
R10086-5_2_1,Well... I'm not necessarily better than you...,แบบว่า... ข้าเองก็ไม่ได้เก่งไปกว่าท่านเท่าไหร่...
R10086-5_2_2,It seems I'll have to figure it out on my own.,ดูเหมือนข้าต้องหาทางเองสินะ
R10086-5_3_1,"Brother {PlayerSurName}, have you gained any insights into the art of Beast Taming?",น้อง{PlayerSurName} เจ้ามีอะไรเกี่ยวกับทักษาการฝึกสัตว์มาชี้แนะข้าไหม?
R10086-5_4_1,"Uh... I really don't have anything to teach you, Brother Lu...",เอ่อ... ข้าไม่มีอะไรจะสอนท่านเลย พี่ลู่...
R10086-5_4_2,"It seems I'll have to figure it out on my own.\nIf Brother {PlayerSurName} has mastered the art of Beast Taming, please teach me.","ดูเหมือนข้าต้องหาทางเองสินะ\nถ้าน้อง{PlayerSurName}เชี่ยวชาญเมื่อไหร่ ได้โปรดชี้แนะข้าด้วย"
R10086-5_5_1,"I do know a thing or two about Beast Taming. Let's exchange some ideas, Brother Lu.",ข้าพอมีความรู้เรื่องการฝึกสัตว์อยู่บ้าง มาคุยแลกเปลี่ยนความคิดเห็นกันเถอะ
R10086-5_5_2,"As expected of Brother {PlayerSurName}, please don't hesitate to teach me, Brother {PlayerSurName}!",ไม่ผิดหวังจริงๆ น้อง{PlayerSurName} โปรดช่วยชี้แนะข้าด้วยเถอะ!
R10086-5_5_3,"You had a great time exchanging insights on Beast Taming with Lu Jian Nan. Before you knew it, a shichen had quietly passed.",เจ้าได้แลกเปลี่ยนความรู้การฝึกสัตว์กับลู่เจี้ยนหนานอย่างมาก ก่อนที่จะรู้ตัวก็ผ่านไปหนึ่งชั่วยาวอย่างเงียบๆ
R10086-5_6_1,"It took so long, but thanks to {PlayerSurName}, I've learned a lot.",ไม่คิดเลยว่าจะใช้เวลานานขนาดนี้ แต่ต้องขอบคุณน้อง{PlayerSurName} ที่ทำให้ข้ามีความก้าวหน้าอย่างมาก
R10086-5_6_2,"Don't mention it, Brother Lu. I'm glad I could help.",พี่ลู่ ท่านอย่าได้เกรงใจ หากสามารถช่วยเหลือได้ ข้าก็ยินดีเสมอ
R32858-1_1_1,"Young hero, please stop!",จอมยุทธน้อย โปรดหยุดก่อน!
R32858-1_1_2,"Young hero, these are all untamed beasts. Please don't tease them, you might get hurt.",จอมยุทธน้อย สัตว์เหล่านี้ล้วนยังไม่ได้รับการฝึก โปรดอย่าไปหยอกพวกมันเล่น ท่านอาจได้รับบาดเจ็บได้
R32858-1_1_3,"Wait, you're the young hero {PlayerSurName} who saved the manor's master, aren't you?",ช้าก่อน ท่านคือจอมยุทธน้อย{PlayerSurName} ที่ช่วยเหลือท่านเจ้าหมู่ตึกใช่หรือไม่?
R32858-1_1_4,"Yes, I am. And you are?",ใช่ ข้าเอง แล้วเจ้าคือ?
R32858-1_1_5,"I'm the disciple in charge of Beast Taming in the manor. I've been wanting to thank you properly, young hero {PlayerSurName}, but I'm short-handed and can't leave here...",ข้าน้อยเป็นศิษย์ที่รับผิดชอบในการฝึกสัตว์ในหมู่ตึกหลังนี้ ข้าอยากหาโอกาสตอบแทนท่านจริงๆ ท่านจอมยุทธน้อย{PlayerSurName} แต่ตอนนี้กำลังคนขาดแคลนและไม่สามารถไปจากที่นี่ได้...
R32858-1_1_6,Short-handed? Is there anything I can help with?,ขาดแคลนกำลังคนรึ? มีอะไรที่ข้าสามารถช่วยได้หรือไม่?
R32858-1_1_7,"No, no, I couldn't possibly trouble you, young hero {PlayerSurName}, with these dirty and tiring tasks...",ไม่ ไม่ กับงานที่สกปรกและน่าเบื่อเหล่านี้... ข้าน้อยไม่อาจรบกวนท่านได้ ท่านจอมยุทธน้อย{PlayerSurName} 
R32858-1_1_8,"Don't be a stranger. If there's anything you're struggling with, just let me know. I'm willing to help as long as I can.",มิต้องทำเป็นคนอื่นคนไกลไปหรอก หากเจ้ามีปัญหาใดๆ เพียงแค่บอกข้า ตราบใดที่ข้าสามารถช่วยได้ ข้ายินดีที่จะช่วย
R32858-1_1_9,"...Since you've said so, young hero {PlayerSurName}, alright. I'm ashamed to admit, but I am indeed having some difficulties.",...ในเมื่อท่านจอมยุทธน้อย{PlayerSurName} กล่าวเช่นนั้น ข้าน้อยละอายใจที่จะยอมรับ แต่ข้าน้อยก็ประสบปัญหาบางอย่างจริงๆ
R32858-1_1_10,"As you can see, young hero {PlayerSurName}, there aren't many disciples in the manor. Therefore, we can't train a large number of beasts in a short time, so we can only keep them in cages...",ท่านจอมยุทธน้อย{PlayerSurName} อย่างที่ท่านเห็น มีศิษย์ไม่มากนักในหมู่ตึก ดังนั้นเราจึงไม่สามารถฝึกสัตว์จำนวนมากในเวลาอันสั้นได้ ดังนั้นเราจึงทำได้เพียงขังพวกมันไว้ในกรงเท่านั้น...
R32858-1_1_11,"But if we keep them in cages for too long, their wildness will fade... But with only me, I can't tame so many beasts...",แต่ถ้าเราขังพวกมันไว้ในกรงนานเกินไป ความดุร้ายของพวกมันก็จะจางหายไปด้วย... ข้าน้อยเพียงคนเดียวไม่สามารถฝึกสัตว์มากมายขนาดนี้ให้เชื่องได้...
R32858-1_1_12,"So, you want me to help you tame these beasts?",ถ้าเช่นนั้น เจ้าต้องการให้ข้าช่วยเจ้าฝึกสัตว์ร้ายเหล่านี้ให้เชื่องไหม?
