﻿R10136-0_1_1,"I'm a person of ill omen, you'd better stay away from me.",ข้าคือผู้ที่จะนำโชคร้ายมาให้ เจ้าควรอยู่ให้ห่างจากข้าจะดีกว่า
R10136-8_1_1,You finally came.
R10136-8_1_2,"With your means to investigate our movements in advance, it's not surprising."
R10136-8_1_3,Are you here to avenge the Ji family's more than ten lives?
R10136-8_1_4,"Before seeking revenge, I want to understand the reasons, were you the mastermind behind the scenes?"
R10136-8_1_5,"With your current strength, you are not qualified to get an answer from me."
R10136-8_1_6,"What if I ask you, am I qualified enough?"
R10136-8_1_7,"It's not impossible for you to ask, but I won't guarantee that I'll tell the truth."
R10136-8_1_8,What qualifies me to get an answer from you?
R10136-8_1_9,"When you can face me alone with <color=#097a76>sixty percent</color> of my strength, I will grant your wish."
R10136-8_1_10,Deal!
R10136-8_1_11,"{PlayerName}, let's go!"
R10136-8_1_12,"Miss Ji, in my opinion, your cultivation level needs to be at least <color=#097a76>level 50</color> to barely withstand Duke Qi's sixty percent strength."
R10136-8_1_13,"And it's not just about cultivation, you also need stronger skills and equipment to help you increase your chances of winning."
R10136-8_1_14,"Stronger skills, equipment, easier said than done."
R10136-8_1_15,"Everything depends on human effort, even the most formidable masters started from scratch."
R10136-8_1_16,"Yes, I can do it. For the blood feud of the Ji family, I can endure any hardship."
R10136-8_2_1,"{PlayerName}, why didn't you consult me before you decided to assassinate Duke Qi on your own?"
R10136-8_2_2,"I'm helping you. If you wait until you have the strength to take revenge, it will be too late."
R10136-8_2_3,"Duke Qi is dead, and the blood feud of the Ji family has been avenged. Miss Ji, you don't need to worry anymore."
R10136-8_2_4,"I want to know the truth. I don't know the hidden facts behind this, and whether Duke Qi is the real mastermind!"
R10136-8_2_5,How can we comfort the spirits of the Ji family in heaven if we can't bring the real enemy to justice!
R10136-8_2_6,……
R10136-8_2_7,Puff-- (A mouthful of fresh blood spews out)
R10136-8_2_8,"Miss Ji, what's wrong with you?"
R10136-8_2_9,"The elder sister who taught me the Ice Heart Technique told me that my congenital heart meridian was damaged. I can't have too much emotional ups and downs in my life, otherwise, even the gods can't save me when my heart meridian is out of control."
R10136-8_2_10,"You're too agitated. Don't think too much, calm down first."
R10136-8_2_11,"{PlayerName}, I'm tired, I want to go back to Ji Residence. Don't bother me anymore."
R10136-8_2_12,It seems I've messed things up...
R10136-8_3_1,"Miss Ji, your cultivation is still so shallow, this king really has no interest in fighting with you."
R10136-8_4_1,"Miss Ji, are you ready?"
R10136-8_4_2,……
R10136-8_5_1,"This king has plenty of time, as long as you are willing, this king is ready to accompany you at any time."
R10136-8_6_1,"Miss Ji, why do you want to make things difficult for yourself at such a young age?"
R10136-8_6_2,"The spirits of the Ji family know, I have no reason to escape!"
R10136-8_6_3,"You have your own difficulties, and this king is no exception."
R10136-8_6_4,"Come on, today, at this place, at this time, I hope to settle our grudges."
R10136-8_7_1,"I, lost..."
R10136-8_7_2,"You didn't lose to this king, you lost to yourself."
R10136-8_7_3,"This king will wait for you here, to see when you can break through yourself and give this king a reason to lose to you."
R10136-8_8_1,"Good, the blood of the Ji family is indeed inherited."
R10136-8_8_2,Please keep your promise and tell me the reason for the extermination of the Ji family.
R10136-8_8_3,The so-called extermination of the Ji family does indeed have something to do with this king...
R10136-8_8_4,"Young people are impetuous, how can they achieve anything in the future!"
R10136-8_8_5,"Since you admit that the extermination of the Ji family has something to do with you, then you are the enemy of the Ji family, why should we waste our words with you!"
R10136-8_8_6,"Actually, the Ji family can't be considered as exterminated, Ji Yushi is still alive..."
R10136-8_8_7,What did you say? My father is still alive! How is that possible.
R10136-8_8_8,"Ling'er, you've had a hard time these days."
R10136-8_8_9,Father... you're still alive...
R10136-8_8_10,"That's, that's great..."
R10136-8_8_11,Ling'er!
R10136-8_8_12,"She has a chest tightness, congenital heart damage, it's really hard for her."
R10136-8_8_13,"I have stabilized her heart pulse, let her calm down for a while, and then this king will tell her the truth."
R10136-8_8_14,Half a shichen later
R10136-8_9_1,"Miss Ji, do you still think I am the enemy of your Ji family?"
R10136-8_9_2,Of course not.
R10136-8_9_3,"You're wrong, the death of the other members of the Ji family was indeed caused by this king, and this king is fully responsible."
R10136-8_9_4,"Ling'er, don't be rude!"
R10136-8_9_5,Please Duke Qi give me an explanation.
R10136-8_9_6,"Although I am the regent, I am actually just a puppet of Yan Kingdom. Only because I agreed to serve Yan Kingdom as the master, and provide food and beauties without compensation, can Daliang City have a moment of peace."
R10136-8_9_7,"As a royal family, you bow and scrape to the enemy, it's a disgrace to your royal dignity."
R10136-8_9_8,"You're right, this king is ashamed to face his ancestors.\nBut if I don't do this, how can I protect the hundreds of thousands of people in Daliang City?"
R10136-8_9_9,What does this have to do with the Ji family?
R10136-8_9_10,"Ji Yushi is naturally upright. Upon learning that Me has been secretly colluding with the Yan Kingdom, he impeached me while publicly exposing the ambitions of the Yan Kingdom's Wolf through various channels."
R10136-8_9_11,"The people of Daliang gradually developed a defensive mentality towards the people of Yan. Ji Yushi's actions have touched the Yan Kingdom's scales. The Yan Kingdom, claiming that he deliberately sabotaged the diplomatic relations between the two countries, demanded that I must severely punish Ji Yushi as a warning to others."
R10136-8_9_12,"Ji Yushi is a pillar of Me, a pillar of the country. Such talents can be of great use in the future. How can they be succumbed under the lewd power of Yan Kingdom's Special Envoy."
R10136-8_9_13,"I used deceptive tactics to replace Ji Yushi. In this way, I not only deceived the trust of Yan Kingdom's Special Envoy, but also preserved the pillar of the country. However, it's a pity for the rest of the Ji family, I am really powerless."
R10136-8_9_14,I'm sorry for letting you bear the blame and not being able to prove your innocence.
R10136-8_9_15,"Don't mention this again, my honor and disgrace are not worth mentioning."
R10136-8_9_16,"So Duke Qi is not a Coward, but has been enduring for the country and the people.\nWhat's the plan for the next step?"
R10136-8_10_1,"Now that the Yan Kingdom has withdrawn its troops, Daliang City is no longer in danger. The truth can naturally be revealed to the world. The Ji family is loyal and righteous. I will definitely reward them greatly in the name of the regent!"
R10136-8_10_2,I'm not worthy of such praise.
R10136-8_10_3,"Miss Ji, you are both loyal and filial, which I admire very much.\nI present this Manual to you, hoping that you will continue to make progress in the future."
R10136-8_10_4,"Thank you, Prince Duke Qi."
R10136-8_10_5,As for the young hero {PlayerSurName}...
R10136-8_10_6,…………
R10136-8_10_7,"Young hero {PlayerSurName}, you have been brave and righteous, protecting the bloodline of the Ji family from beginning to end. These rewards are my appreciation for you!"
R10136-8_10_8,"Miss Ji is the descendant of a loyal family, young hero {PlayerSurName}, you must protect her for me. If anything goes wrong, I won't let you off!"
R10136-8_10_9,Yes!,ขอรับ!
R10136-8_10_10,"Ling'er, now that the truth is clear, I can finally see the light of day again.\nI'll go back to Ji Residence to deal with things first. If you and young hero {PlayerSurName} have time, remember to come home often."
R10136-8_10_11,"Father, won't you stay a little longer? I have a lot to say to you."
R10136-8_10_12,"There's plenty of time in the future, it doesn't matter at this moment. Seeing you safe and sound, I'm relieved."
R10136-8_10_13,"Young hero {PlayerSurName}, in the words of the jianghu: The road is long, take care of yourself."
R10136-8_10_14,"Farewell, Mr. Yushi."
R10136-8_11_1,"There's no rush. Miss Ji's heart pulse is not stable yet. You should rest for a few shichen first, and then discuss the follow-up matters."
R10136-8_11_2,"Duke Qi, I'm fine."
R10136-8_11_3,"Even if you young people are not tired, I can't stand it at my age. Allow me to rest for a while, and I'll discuss things with you later."
R10136-8_11_4,We'll come to see you tomorrow.
R10136-8_11_5,"Wait a moment, I have some gifts for you, which may be useful in the future."
R10136-8_11_6,"Thank you, Prince Duke Qi."
R10136-8_12_1,"The agreed time has not yet arrived, Duke Qi is still resting, it's not convenient to disturb."
R10136-8_13_1,"This matter also involves the Ji family, so Miss Ji needs to be present. I have to bring Miss Ji."
R10136-8_14_1,"(Continuous plot will be triggered soon, involving multiple battles, please choose carefully.)"
R10136-8_15_1,"Now the jianghu and the court are in a state of disunity, each doing their own thing. I plan to convene various forces to discuss the plan to resist Yan!"
R10136-8_15_2,I'm willing to follow Duke Qi's lead.
R10136-8_15_3,"Such a deep calculation, I really underestimated you!"
R10136-8_16_1,Wanyan Liang!
R10136-8_16_2,"Old fox, if it weren't for my extra vigilance, I would have been fooled by you."
R10136-8_16_3,"Wanyan Liang, what are you trying to do?!"
R10136-8_16_4,"Miss Ji, I've been looking for you so hard. If it wasn't for the extermination of the Ji Residence to lure you back, I'm afraid I would never see you again in this life."
R10136-8_16_5,"You deliberately caused the extermination of the Ji family, you are indeed the culprit!"
R10136-8_16_6,"It can serve as a warning to others and lure you out, killing two birds with one stone, why not?"
R10136-8_16_7,Then let's use your life to commemorate the souls of the Ji family!
R10136-8_16_8,"My death as a small Special Envoy is not a pity, but I can't control what the tens of thousands of Yan Yun Iron Army outside the city will do."
R10136-8_16_9,You secretly deployed and besieged Daliang City!
R10136-8_16_10,"It's mutual, if I came half a step later, I would be the one sitting and waiting for death."
R10136-8_16_11,What do you want now that things have come to this?
R10136-8_16_12,"Execute Ji Hanqing in front of me, or make Ji Fuling my concubine, choose one, and I will order the troops to retreat."
R10136-8_16_13,"A man can die. Duke Qi, do it!"
R10136-8_16_14,"Father, no, don't! I don't want you to die!"
R10136-8_16_15,……
R10136-8_16_16,Puff—
R10136-8_16_17,Let my sick body exchange for a chance of survival for Daliang City...
R10136-8_16_18,"Wanyan Liang, give up, I won't let you succeed today!"
R10136-8_16_19,"{PlayerSurName} young hero, a small tolerance can ruin a big plan."
R10136-8_16_20,"You plot your things, I save my people, don't expect my people to become the sacrifices of your power struggle!"
R10136-8_16_21,You! Truly ignorant.
R10136-8_16_22,Let's see if you can walk out of here alive today.
R10136-8_17_1,"Humph, even if you can protect this woman, I want to see what you can do to protect the entire Daliang City!"
R10136-8_17_2,"Alas, you guys have caused a big trouble."
R10136-8_17_3,"Duke Qi, you can compromise and continue to enjoy peace, but I can't and won't!"
R10136-8_17_4,"The situation in Daliang is precarious, I won't stand by, I'd rather die, and vow to share the fate with Daliang City."
R10136-8_17_5,"Miss Ji, are you willing to accompany me on this journey?"
R10136-8_17_6,"Heaven and earth, wherever you go, I will accompany you."
R10136-8_17_7,"Good, let's go and see the tens of thousands of Yan Yun Iron Army's horses!"
R10136-8_18_1,You are people of Yan country!
R10136-8_18_2,"Old fox, if it weren't for this General's extra vigilance, I would have been fooled by you."
R10136-8_18_3,What are you trying to do?!
R10136-8_18_4,"Duke Qi, you have deceived us Yan country so much that our king is very angry. He asked me to bring tens of thousands of Yan Yun Iron Army to give Duke Qi a friendly reminder."
R10136-8_18_5,"A small Chiliarch, dare to threaten me."
R10136-8_18_6,"I, a small Chiliarch, am indeed insignificant, but the weight of the tens of thousands of Yan Yun Iron Army outside the city, Duke Qi, you have to consider carefully."
R10136-8_18_7,You secretly deployed and besieged Daliang City!
R10136-8_18_8,"It's mutual, if I came half a step later, I would be the one sitting and waiting for death."
R10136-8_18_9,What do you want now that things have come to this?
R10136-8_18_10,"Execute Ji Hanqing in front of me, or offer Ji Fuling to my marshal, choose one, and Daliang City will be safe."
R10136-8_18_11,"A man can die. Duke Qi, do it!"
R10136-8_18_12,"Father, no, don't! I don't want you to die!"
R10136-8_18_13,……
R10136-8_18_14,Puff—
R10136-8_18_15,Let my sick body exchange for a chance of survival for Daliang City...
R10136-8_18_16,"Give up, I won't let you succeed today!"
R10136-8_18_17,"{PlayerSurName} young hero, a small tolerance can ruin a big plan."
R10136-8_18_18,"You plot your things, I save my people, don't expect my people to become the sacrifices of your power struggle!"
R10136-8_18_19,You! Such ignorance!
R10136-8_18_20,Let's see if you can walk out of here alive today.
R10136-8_19_1,"Humph, even if you can protect this woman, I want to see what you can do to protect the entire Daliang City!"
R10136-8_19_2,"Alas, you guys have caused a big trouble."
R10136-8_19_3,"Duke Qi, you can compromise and continue to enjoy peace, but I can't and won't!"
R10136-8_19_4,"The situation in Daliang is precarious, I won't stand by, I'd rather die, and vow to share the fate with Daliang City."
R10136-8_19_5,"Miss Ji, are you willing to accompany me on this journey?"
R10136-8_19_6,"Heaven and earth, wherever you go, I will accompany you."
R10136-8_19_7,"Good, let's go and see the tens of thousands of Yan Yun Iron Army's horses!"
R10136-9-1_1_1,"Miss Ji, I advise you one last time, it's not too late to regret now."
R10136-9-1_1_2,Better to break than to bend.
R10136-9-1_1_3,"If you want to attack Daliang City, you have to step over us two first."
R10136-9-1_2_1,Why should only you two enjoy such a scene?
R10136-9-1_2_2,"Watching you two show affection every day really hurts my eyes, it's better to kill a few Yan dogs."
R10136-9-1_3_1,……
R10136-9-1_3_2,(Put hand on the strings)
R10136-9-1_4_1,"Today, I swear to guard Daliang City to the death!"
R10136-9-1_4_2,"Even if you have thousands of troops and horses, I can wear you down until you're trampled into mud!"
R10136-9-1_5_1,"Even if there are thousands of troops and horses, what do I have to fear!"
R10136-9-1_6_1,"The Yan army has divided into several routes, launching ambushes at several gates of Daliang City at the same time!"
R10136-9-1_6_2,"The Yan army is indeed despicable, what should we do!"
R10136-9-1_6_3,"Divide and conquer, defeat them one by one!"
R10136-9-1_7_1,What do you mean by that?
R10136-9-1_8_1,"(Frowning slightly, not understanding your meaning.)"
R10136-9-1_9_1,"I and Miss Ji will stay here to guard this gate, you guys go to support the other gates quickly."
R10136-9-1_10_1,"Without external reinforcements and internal support, you can't hold this place, you will die!"
R10136-9-1_11_1,"(Shaking head, indicating to fight alongside you till death.)"
R10136-9-1_12_1,"Everyone has to die, it's better for a vagabond to die in a city defense battle than to die in a vendetta. I've already decided, you guys go support!"
R10136-9-1_13_1,Ah... take care of yourself!
R10136-9-1_14_1,"(Sighed, shook head.)"
R10136-9-1_15_1,Whether we can survive today's battle depends on whether the heavens are watching.
R10136-9-1_15_2,"Today, fighting alongside you against the enemy, I have no regrets even if I die."
R10136-9-1_15_3,"{PlayerName}, I admire your courage and tactics.\nA man should know what to do and what not to do, I'll give you a way out, no need to make this pointless sacrifice."
R10136-9-1_15_4,"Unfortunately, I don't plan to give you a way out."
R10136-9-1_15_5,"{yell} A man should be a hero when he is alive, and a ghost hero when he is dead.\nToday, I dedicate my blood to Xuanyuan!"
R10136-9-1_16_1,"Miss Ji, how is your injury?"
R10136-9-1_16_2,"Cough, you still call me Miss Ji... It's okay, don't worry about me."
R10136-9-1_16_3,"If you have any tricks, just use them!"
R10136-9-1_16_4,"I wasted my love for talent, you guys are stubborn, I can only eliminate the future trouble!"
R10136-9-1_17_1,"Hehe, I'm sorry to disappoint you."
R10136-9-1_17_2,"Miss Ji, there are skilled doctors in my Yan country who can cure your chronic disease, why do you have to die with this stinky kid."
R10136-9-1_17_3,"People of the Ji family would not cherish their lives, let alone submit to the Yan dog for personal reasons!"
R10136-9-1_17_4,"Just because I'm a Yan, you keep me at arm's length?"
R10136-9-1_17_5,"{PlayerGivenName} got to know me at the end of the road, didn't mind that I'm the daughter of a criminal, risked his life to help me find out the truth about the Ji family. I respect him for his loyalty and righteousness, which is something you, a treacherous and despicable person, can't compare to!"
R10136-9-1_17_6,"Good, good, good!"
R10136-9-1_17_7,"After you two die, I will scatter your bodies to the ends of the earth, never to meet again in reincarnation!"
R10136-9-1_17_8,"Can't share the same bed in life, can't share the same grave in death..."
R10136-9-1_17_9,"Mutual affection, unchanging in this life!"
R10136-9-1_17_10,"Two dying people, even if they have a moment of clarity, what can they do!"
R10136-9-1_18_1,Who says there are only two of them?
R10136-9-1_18_2,"The remaining Yan troops at the other gates have been repelled by Duke Qi; the remaining troops here are isolated and unsupported, victory or defeat hinges on this!"
R10136-9-1_19_1,(A burst of passionate music)
R10136-9-1_19_2,"It seems that the remaining Yan troops at the other gates have been repelled by Duke Qi; the remaining troops here are isolated and unsupported, victory or defeat hinges on this!"
R10136-9-1_20_1,"Damn, I've overestimated myself this time!"
R10136-9-1_20_2,"Wanyan Liang, leave your life behind!"
R10136-9-1_21_1,"Today's plan failed, Daliang will sooner or later be in the bag of my Yan Yun Iron Army!"
R10136-9-1_21_2,"If you want my life, it's too early!"
R10136-9-1_21_3,"Stop, thief!"
R10136-9-1_21_4,"{PlayerSurName} Young hero, don't chase the desperate enemy, there might be an ambush!"
R10136-9-1_21_5,"Now that the crisis in Daliang City has been resolved, Duke Qi invites you two to discuss matters at Duke Qi's Manor."
R10136-9-1_21_6,"You defeated the Yan army and lifted the siege of Da Liang, and were treated as a distinguished guest by Duke Qi.\nDuke Qi even bestowed the precious elixirs from the imperial collection, which greatly alleviated Ji Fuling's congenital disease. It can be said that it was a double blessing."
R10136-9-1_22_1,"{PlayerName}, does your word still count outside Da Liang City?"
R10136-9-1_22_2,"I've said a lot outside Da Liang City, which one are you referring to?"
R10136-9-1_22_3,"Of course, it's about you. Are you pretending to be confused on purpose?"
R10136-9-1_22_4,"Of course, my word counts. I always keep my promises!"
R10136-9-1_22_5,"Then, should we go back to Ji Residence together? This matter should be reported to my father..."
R10136-9-1_22_6,"Exactly, I wonder if Mr. Ji is satisfied with me."
R10136-9-1_23_1,"Even if you have thousands of troops and horses, I can wear you down until you're trampled into mud!"
R10136-9-1_24_1,"Even if there are thousands of troops and horses, what do I have to fear!"
R10136-9-1_25_1,Whether we can survive today's battle depends on whether the heavens are watching.
R10136-9-1_25_2,"Today, fighting alongside you against the enemy, I have no regrets even if I die."
R10136-9-1_25_3,"{PlayerName}, I admire your courage and tactics.\nA man should know what to do and what not to do, I'll give you a way out, no need to make this pointless sacrifice."
R10136-9-1_25_4,"Unfortunately, I don't plan to give you a way out."
R10136-9-1_25_5,"{yell} A man should be a hero when he is alive, and a ghost hero when he is dead.\nToday, I dedicate my blood to Xuanyuan!"
R10136-9-1_26_1,"Miss Ji, how is your injury?"
R10136-9-1_26_2,"Cough, you still call me Miss Ji... It's okay, don't worry about me."
R10136-9-1_26_3,"If you have any tricks, just use them!"
R10136-9-1_26_4,"I wasted my love for talent, you guys are stubborn, I can only eliminate the future trouble!"
R10136-9-1_27_1,"Hehe, I'm sorry to disappoint you."
R10136-9-1_27_2,"Miss Ji, there are skilled doctors in my Yan country who can cure your chronic disease, why do you have to die with this stinky kid."
R10136-9-1_27_3,"People of the Ji family would not cherish their lives, let alone submit to the Yan dog for personal reasons!"
R10136-9-1_27_4,"Just because I'm a Yan, you keep me at arm's length?"
R10136-9-1_27_5,"{PlayerGivenName} got to know me at the end of the road, didn't mind that I'm the daughter of a criminal, risked his life to help me find out the truth about the Ji family. I respect him for his loyalty and righteousness, which is something you, a treacherous and despicable person, can't compare to!"
R10136-9-1_27_6,"Good, good, good!"
R10136-9-1_27_7,"After you two die, I will scatter your bodies to the ends of the earth, never to meet again in reincarnation!"
R10136-9-1_27_8,"Can't share the same bed in life, can't share the same grave in death..."
R10136-9-1_27_9,"Mutual affection, unchanging in this life!"
R10136-9-1_27_10,"Two dying people, even if they have a moment of clarity, what can they do!"
R10136-9-1_27_11,"Wanyan Liang, leave your life behind!"
R10136-9-1_28_1,"Today's plan failed, Daliang will sooner or later be in the bag of my Yan Yun Iron Army!"
R10136-9-1_28_2,"If you want my life, it's too early!"
R10136-9-1_28_3,"Stop, thief!"
R10136-9-1_28_4,"{PlayerSurName} Young hero, don't chase the desperate enemy, there might be an ambush!"
R10136-9-1_28_5,"Now that the crisis in Daliang City has been resolved, Duke Qi invites you two to discuss matters at Duke Qi's Manor."
R10136-9-1_28_6,"You defeated the Yan army and lifted the siege of Da Liang, and were treated as a distinguished guest by Duke Qi.\nDuke Qi even bestowed the precious elixirs from the imperial collection, which greatly alleviated Ji Fuling's congenital disease. It can be said that it was a double blessing."
R10136-9-1_29_1,"{PlayerName}, does your word still count outside Da Liang City?"
R10136-9-1_29_2,"I've said a lot outside Da Liang City, which one are you referring to?"
R10136-9-1_29_3,"Of course, it's about you. Are you pretending to be confused on purpose?"
R10136-9-1_29_4,"Of course, my word counts. I always keep my promises!"
R10136-9-1_29_5,"Then, should we go back to Ji Residence together? This matter should be reported to my father..."
R10136-9-1_29_6,"Exactly, I wonder if Mr. Ji is satisfied with me."
R10136-9-1_30_1,"On the battlefield, you guys should stop being so intimate first, and think about how to repel the enemy."
R10136-9-2_1_1,"Finally, I advise you not to try to stop the inevitable."
R10136-9-2_2_1,"Young man, your courage and methods impress me.\nA man should know what to do and what not to do. I'll give you a way out, no need to make this pointless sacrifice."
R10136-9-2_2_2,"It's a matter of national and family hatred, it's either you die or I die!"
R10136-9-2_3_1,You're foolishly seeking your own death!
R10136-9-2_4_1,"People from the Central Plains, you have backbone and courage.\nHowever, how can the light of a firefly compete with the bright moon!"
R10136-9-2_5_1,"Hehe, Yan dog, the outcome is still uncertain!"
R10136-9-2_6_1,The outcome is still uncertain!
R10136-10_1_1,"Father, we're back."
R10136-10_1_2,(How should I address Ji girl's father now?)
R10136-10_2_1,"Ah, this fool..."
R10136-10_2_2,"Oh, if young hero {PlayerSurName} is so formal, it seems that you want to discuss national affairs with me."
R10136-10_3_1,"This, this is so sudden..."
R10136-10_3_2,"I know that you people from the jianghu don't care about the trivialities, but our Ji family is a famous official family after all, we still have to pay attention to some etiquette, isn't it a bit early to call me like this?"
R10136-10_4_1,What happened???
R10136-10_4_2,"Young hero {PlayerSurName}, please behave yourself, we're not that familiar yet."
R10136-10_5_1,Junior {PlayerName} pays respect to uncle.
R10136-10_5_2,"Nephew {PlayerSurName}, you and Fuling have been sharing hardships and supporting each other, which makes me very relieved. I will have to rely on you to take care of Fuling for the rest of her life."
R10136-10_5_3,"Who needs him to take care of me, I should be the one taking care of him."
R10136-10_5_4,"Yes, yes, from now on, I will have to rely on sister Fuling to take care of me."
R10136-10_5_5,"I have a gift for you, which I have prepared for nearly sixteen years, and finally have the opportunity to give it."
R10136-10_5_6,"This is not a finished product, I specially ordered it from the innkeeper of Lin'an Painting Shop, it should be ready now, you can take it for your own use."
R10136-10_5_7,"Thank you, uncle, for your kindness."
R10136-10_5_8,"Thank you, father."
R10136-10_6_1,"Innkeeper, I came here specifically for the item that Mr. Ji ordered from you."
R10136-10_6_2,"Ah, the Ji family has been vindicated, Mr. Ji has been reinstated, and the Ji family is about to rise to prominence."
R10136-10_6_3,"Well, I'll take your good words. Where's the item?"
R10136-10_6_4,"This, this, this... Unfortunately, the item is not ready yet, I'm sorry for failing Mr. Ji's trust."
R10136-10_6_5,What do you mean?
R10136-10_6_6,"The Ji family's affairs are not small, after the Ji family had an accident, I didn't dare to let people know that I had any connection with the Ji family, so I took the liberty to burn the finished product."
R10136-10_6_7,……
R10136-10_6_8,"In that case, I will tell Mr. Ji the truth, that the shopkeeper was afraid of getting involved and has broken the contract on his own."
R10136-10_6_9,"Please don't tell Mr. Ji, I have a way to make up for it."
R10136-10_6_10,"This item still has some remaining Material, and the style is still intact. It wouldn't be difficult to remake one, but we are still short of 2 Snow Silkworm Threads, which makes this a bit tricky."
R10136-10_6_11,"I'll go find the Snow Silkworm Thread, you prepare for the other steps as soon as possible, don't let Mr. Ji down."
R10136-10_7_1,"I heard that someone once bid for Snow Silkworm Thread at the <color=#097a76>Night Auction Market</color>. It's worth a fortune, and unless you're wealthy, you can only watch others get it."
R10136-10_8_1,"Here is the Snow Silkworm Thread, please finish the work as soon as possible."
R10136-10_8_2,"Take a good look, my craftsmanship is not a Fake fame!"
R10136-10_8_3,Three shichen later.
R10136-10_9_1,"Phew, with the joint efforts of all the top weavers in Lin'an City, we finally made it. I'm afraid no one will be able to make such exquisite clothes in this lifetime."
R10136-11_1_1,"{PlayerName}, you killed my father, I swear I'll never share the sky with you!"
R10136-11_2_1,"{PlayerName}, even if I become a ghost, I won't let you go!"
R10136-12_1_1,"{PlayerName}, everyone has their own ambitions. You're willing to be a dog for Yan country, from now on, we are enemies!"
R10136-13_1_1,"Wishing for a devoted lover, never to part until white hair..."
R10136-13_1_2,"Miss Ji, what were you saying just now?"
R10136-13_1_3,"No, nothing."
R10136-13_2_1,"Alas, life is short, I would be content if I could strike back for the Ji family in my remaining years. I'm not destined for love in this life."
R10136-13_3_1,"I heard that if you receive the blessing of the Matchmaker, you can establish a bond for three lifetimes and meet again in the next life."
R10136-13_3_2,How about...
R10136-13_3_3,That's exactly what I'm thinking.
R10136-13_3_4,"You two Sharing hardships, your bond is already as strong as gold, whether or not you receive blessings cannot change your feelings for each other.\nThis act is merely to follow local customs and provide some psychological comfort."
R10136-14_1_1,"(Taking so many girls to the God of Marriage's Shrine, there might be unpredictable risks.)"
R10136-14_2_1,"(Each of the sisters around me is my beloved relative, who is my true love in this life, who is the one I truly care about...)"
R10136-14_2_2,"(Today, under the witness of the Matchmaker, I will follow my heart and choose the only one!)"
R10136-14_3_1,Are you itching for a fight? Is your choice fair to me?
R10136-14_4_1,So I'm not the only one in your heart...
R10136-14_5_1,"I should stab a few transparent holes in you, the unfaithful man, with a Dagger."
R10136-14_6_1,"Hey, why didn't you choose me? I thought I was very important to you."
R10136-14_7_1,"Oh, how about trying the new Toxicology I developed?"
R10136-14_8_1,"Boo hoo hoo, sir, don't you want me anymore..."
R10136-14_9_1,"Hmph, I knew there would be someone else in your heart."
R10136-14_10_1,"Well, as long as you're happy."
R10136-14_11_1,"{PlayerName}, you're really too much!"
R10136-14_12_1,What am I to you?
R10136-14_13_1,……
R10136-14_14_1,"Cai Die is not happy, very unhappy!"
R10136-14_15_1,Huff... Huff...
R10136-14_16_1,"Only the laughter of the newlyweds is heard, not the crying of the old..."
R10136-14_17_1,"Choose whoever you want, just don't spoil my mood."
R10136-14_18_1,"I know you're just joking, Wei Er won't believe this is true."
R10136-14_19_1,"So I'm just a nobody to you, it's simply inhuman."
R10136-14_20_1,"{PlayerGivenName}, what are you up to? Be careful, I'll let the sisters beat you up!"
R10136-14_21_1,"Sharing the love of my husband with so many sisters, sigh..."
R10136-14_22_1,Childish...
R10136-14_23_1,"Men like every woman they see, who knows which one they truly love."
R10136-14_24_1,"Sigh, ..."
R10136-14_25_1,"As long as I'm in your heart, even if I'm not the most important, I'm content."
R10136-14_26_1,Is this the choice you make from your heart?
R10136-14_27_1,"It's really torturous, but this is my heartfelt choice, even the God of Marriage would support me."
R10136-14_27_2,The God of Marriage would never support a philanderer like you!
R10136-14_27_3,"Where did you come from? Get out of here, don't bother me!"
R10136-14_27_4,"Do you know that your flirtatious behavior has provoked public anger? You even dare to visit the God of Marriage's Shrine with your lovers, it's a trample on the loyalty of love!"
R10136-14_27_5,"I'm just capricious, it's none of your business!"
R10136-14_27_6,"Today, the God of Marriage is on vacation, I'll teach you a lesson on his behalf."
R10136-14_28_1,Who dares to touch my man!
R10136-14_29_1,"Bold villain, dare to attack {PlayerGivenName}!"
R10136-14_30_1,Looking for death!
R10136-14_31_1,Take my Ye Family Spear!
R10136-14_32_1,"I will make you taste the pain of wanting to live but can't, wanting to die but can't."
R10136-14_33_1,"Bad guy, take my punch!"
R10136-14_34_1,"This fat guy doesn't look so tough, I'll help you deal with him."
R10136-14_35_1,"With Me here, I won't let you hurt {PlayerName} at all!"
R10136-14_36_1,"Fatso, let's see if your skin is thicker or my knife is faster!"
R10136-14_37_1,"Sir, let's fight the enemy together."
R10136-14_38_1,"(Without saying a word, he stands directly in front of you.)"
R10136-14_39_1,"Humph, dare to bully my brother, I'll make you pay!"
R10136-14_40_1,"Be careful, this fat guy is unfathomable."
R10136-14_41_1,"Dare to touch my man, you have to pass me first."
R10136-14_42_1,"Don't rush to fight, let's play a game first, guess how you will lose."
R10136-14_43_1,"Watch out, I will play some special tunes for you, guaranteed to make you feel sick."
R10136-14_44_1,"Arrogant fool, kill!"
R10136-14_45_1,"Dare to fight in front of me, you're overestimating yourself!"
R10136-14_46_1,"Those who offend my man, good luck to you."
R10136-14_47_1,"Make An Example, to deter others."
R10136-14_48_1,"Since you don't give me face, I don't need to be polite to you."
R10136-14_49_1,"Touch my man, die!"
R10136-14_50_1,"Young master, I'm here to help you!"
R10136-14_51_1,You will regret disrespecting my man!
R10136-14_52_1,"Phew, it was just a dream."
