﻿M5003-4_1_1_1,I didn't expect there to be a Tea Stall here... ,ข้าไม่คิดว่าจะมีร้านชาอยู่ที่นี่...
R10029-2_1_2_12,"Thank you, sir, I may be doing some construction in the house next... ",ขอขอบคุณท่านใต้เท้า ข้าคงต้องมีการปรับปรุงที่ดินแห่งนี้ไม่น้อย...
R10029-2_1_2_13,"It's only natural, I will inform the Bailiffs not to mind.",เรื่องธรรมดา ข้าจะบอกเหล่ามือปราบล่วงหน้า มิให้ใส่ใจเรื่องนี้
R10029-2_1_2_14,"Thank you, sir.", ขอบคุณท่านใต้เท้า
R10029-2_1_2_15,"Finally, I can read the storybook... ",ในที่สุดก็ได้เวลานั่งอ่านตำราแล้ว...
R10029-2_1_2_16,"Innkeeper, this courtyard is yours from today.",นายท่าน ตั้งแต่วันนี้เป็นต้นไป จวนหลังนี้เป็นของท่านแล้ว
R10029-2_1_2_17,"Thank you, please thank the Prefect for me.",ขอบคุณมาก ช่วยข้ากล่าวขอบคุณท่านเจ้าเมืองอีกครั้งด้วย
R10029-2_1_2_18,It seems everything went smoothly.,ดูเหมือนว่าทุกอย่างจะราบรื่นดีนะ
R10029-2_1_2_19,"Heh, beggar, your plan cost me five thousand guan! If I can't make this money back, I won't let you off!",เฮอะ ไอ้ขอทาน เจ้าทำให้ข้าต้องเสียเงินไปถึงห้าพันตำลึง! ถ้าหาเงินกลับมาไม่ได้ ข้าไม่มีวันปล่อยเจ้าไว้แน่!
R10029-2_1_2_20,"Hahaha, don't worry, I'll make sure you make a fortune.",ฮ่าฮ่าฮ่า วางใจเถอะ รับรองว่าเจ้าจะได้เงินกลับมาเต็มกระเป๋าแน่นอน
R10029-2_1_2_21,"I'm getting more and more confused, aren't we here to deal with those Rich Merchants... ",ข้าเริ่มงงแล้วนะ พวกเราไม่ได้มาที่นี่เพื่อเล่นงานพวกพ่อค้าหน้าเลือดหรอกหรือ…
R10029-2_1_2_22,"Yes, but we need to prepare first.",ใช่ แต่ต้องเตรียมการให้พร้อมก่อน
R10029-2_1_2_23,"Speaking of which, I smelled the delicious food from the Tower of Prosperity when I passed by just now, it made me hungry. Kid, have you tried the food in the Tower of Prosperity? Since we have some free time, why don't we go and have a feast!",ว่าไปแล้ว ตอนเดินผ่านที่นี่เมื่อครู่ ข้าดันได้กลิ่นอาหารจาก หอเจิดจรัส หอมจนท้องร้องเลยทีเดียว! ไอ้หนู เจ้าเคยลิ้มรสอาหารของภัตตาคารนี้หรือยัง? ไหน ๆ ตอนนี้ก็มีเวลาว่าง พวกเราก็แวะไปหาอะไรลงกระเพาะกันสักหน่อยเถอะ!
R10029-2_1_2_24,"You sure know how to enjoy life, beggar.",เจ้านี่ก็รู้จักใช้ชีวิตไม่น้อยเลยนะ ไอ้ขอทาน
R10029-2_1_2_25,"Hehe, since we're here anyway.",เฮเฮ มาแล้วทั้งทีจะพลาดได้อย่างไร
R10029-2_1_2_26,"Fine, you two go eat, I'll do the errands.",ตามสบายเถอะ พวกเจ้ากินกันไป ส่วนงานวิ่งเต้นอื่น ๆ ข้าจัดการเอง
R10029-2_1_2_27,"Let's go, let's eat and drink!",ไปกันเถอะ มากินให้เต็มคราบ!
R10029-2_2_1_1,Gentlemen... we don't serve beggars here... ,ท่านทั้งสอง... ขออภัย ร้านของเราไม่รับรองขอทาน...
R10029-2_2_1_2,"You look down on people, if it weren't for the delicious food in this Tower of Prosperity, I wouldn't bother coming here!",เจ้าหนูนี่ช่างตาถั่วเสียจริง มองคนแค่เปลือกนอก! ถ้าไม่ใช่เพราะอาหารของ หอเจิดจรัส รสเลิศถึงเพียงนี้ ข้ายังไม่อยากย่างเท้าเข้ามาเลยด้วยซ้ำ!
R10029-2_2_1_3,(Takes out a gold bullion and shakes it),(หยิบทองคำแท่งออกมาแล้วแกว่งเบา ๆ)
R10029-2_2_1_4,"If we enjoy our meal today, this is yours.",วันนี้ หากพวกข้ากินกันอย่างสำราญ เจ้าก็รับนี่ไปเสียเถอะ!
R10029-2_2_1_5,This... ,นี่…
R10029-2_2_1_6,"Girl, what do you say?",ว่าอย่างไรเล่า สาวน้อย?
R10029-2_2_1_7,"I didn't realize we had distinguished guests, please forgive my ignorance, please follow me... ",ที่แท้ก็เป็นแขกผู้ทรงเกียรติ ขออภัยที่ข้ามีตาหามีแววไม่ เชิญสองท่านตามข้ามาทางนี้…
R10029-2_2_1_8,"The Steward of the Tower of Prosperity respectfully leads you to a table.\nE Qigai stands tall and proud, completely ignoring the looks from the passersby.\nA moment later, delicious dishes are served... ","หัวหน้าคนดูแลของหอเจิดจรัส รีบออกมาต้อนรับอย่างนอบน้อม พาท่านทั้งสองไปยังที่นั่งอย่างสมเกียรติ\nเอ้อร์ฉีไก้ เชิดหน้าชูตา มิได้สนใจสายตาของเหล่าผู้คนที่มองมาไม่น้อย\nไม่นานนัก อาหารเลิศรสก็ถูกลำเลียงขึ้นโต๊ะทีละจาน…"
R10029-2_2_1_9,"The food in the Tower of Prosperity is really good, no wonder it's famous, not bad, not bad.",หึม… อาหารของหอเจิดจรัส นี่รสชาติไม่เลวเลยนี่นา สมแล้วที่โด่งดังไปทั่วหล้า ไม่เลว ๆ!
R10029-2_2_1_10,"Indeed, it's a delicacy.",ช่างเป็นรสเลิศจากแดนมนุษย์โดยแท้
R10029-2_2_1_11,Why don't we take the chef of the Tower of Prosperity back to the Nine Factions Sect later.,หรือว่าเราจะพา พ่อครัวของหอเจิดจรัส ไปที่ นิกายเก้าฝ่าย ดี?
R10029-2_2_1_12,This... ,นี่…
R10029-2_2_2_1,Who are you? Did I invite you to sit here?,เจ้าเป็นใครกัน? ข้าเชิญเจ้ามานั่งที่นี่แล้วหรือ?
R10029-2_2_2_2,"Esteemed sir, I overheard your conversation, are you from the Nine Factions Sect?",ท่านผู้มีวรยุทธ์สูงส่ง ข้าน้อยบังเอิญได้ยินบทสนทนาของท่านเข้า ไม่ทราบว่าทั้งสองท่านเป็นคนของ นิกายเก้าฝ่าย ใช่หรือไม่?
R10029-2_2_2_3,Who are you to ask me questions?,เจ้าคิดว่าตัวเองเป็นใคร ถึงมาซักไซ้ข้า?
R10029-2_2_3_1,"Sir, he is... ",ท่านอาวุโส เขาผู้นี้คือ…
R10029-2_2_3_2,"Did I ask you? He has a mouth, let him speak!",ข้าถามเจ้ารึ? ปากมันก็มีมิใช่หรือ? ให้มันพูดเองสิ!
R10029-2_2_4_1,Hey you beggar——,เฮ้ย เจ้าไอ้ขอทานสกปรกนี่—
R10029-2_2_4_2,Step back.,ถอยไป!
R10029-2_2_4_3,... Yes.,…ขอรับ
R10029-2_2_4_4,"My surname is Wan Yan, my name is Liang, I'm from Yan Kingdom.\nJudging by your attire and personality, you must be E Qigai, right?","ข้าน้อยแซ่ ว่านเหยียน นามเดี่ยว เหลียง เป็นชาวแคว้นเยี่ยน\nหากข้ามิได้เข้าใจผิด ท่านก็คือ เอ้อร์ฉีไก้ อาวุโสแห่ง นิกายเก้าฝ่าย ใช่หรือไม่?"
R10029-2_2_4_5,"You're quite observant, kid.\nYes, I am E Qigai.","เจ้าหนูนี่ก็พอมีตาแหลมคมอยู่บ้าง\nไม่ผิด! ข้านี่แหละ เอ้อร์ฉีไก้!"
R10029-2_2_4_6,"Nice to meet you, I would like to discuss a business deal with your sect leader, could you introduce me?",ยินดีที่ได้พบ! ศิษย์ผู้น้อยอยากเจรจาธุรกิจกับ ประมุขของนิกายเก้าฝ่าย ไม่ทราบว่าท่านอาวุโสพอจะช่วยแนะนำได้หรือไม่?
R10029-2_2_4_7,"If you drink this cup of wine, I'll help you.",ดื่มจอกนี้ให้หมด ข้าจะช่วยเจ้า
R10029-2_2_4_8,"(The elder swirls his finger in the cup of wine, how am I supposed to drink this...)",(อาวุโสใช้สองนิ้วกวนในจอกเหล้าสองรอบ นี่มันจะดื่มได้รึเนี่ย…)
R10029-2_2_4_9,Agreed.,หึ เรื่องง่าย!
R10029-2_2_4_10,(Drinks the wine in one gulp),(กระดกเหล้าหมดจอก)
R10029-2_2_4_11,"(Keeps a straight face, this Wanyan Liang is really tough...)",(ไม่แสดงอาการแม้แต่น้อย ว่านเหยียนเหลียงผู้นี้ช่างเป็นคนกล้าหาญเอาเรื่องจริงๆ…)
R10029-2_2_4_12,"Good wine!\nElder, about the introduction... ","เหล้าดี!\nท่านอาวุโส เรื่องแนะนำตัว…"
R10029-2_2_4_13,"I always keep my word! You go back, if the sect leader agrees, someone will come to you.",ข้าเป็นคนรักษาคำพูดเสมอ! เจ้ากลับไปเถอะ หาก ประมุข ตกลง จะมีคนไปหาเจ้าเอง
R10029-2_2_4_14,"Alright, I will wait for the good news.",ดี! เช่นนั้นผู้น้อยจะรอฟังข่าวดี
R10029-2_2_4_15,"Elder, what did you mean just now?",ท่านอาวุโส ท่านหมายความว่าอย่างไร?
R10029-2_2_4_16,"Hmph, those Yan people, they are not of our race, their hearts must be different, who knows what they are thinking.",หึ! เจ้า พวกเยี่ยน หาใช่เผ่าพันธุ์เดียวกับเราไม่ ย่อมมีใจคิดต่าง ใครจะรู้ว่าพวกมันวางแผนอะไรอยู่!
R10029-2_2_4_17,"Since you don't like the Yan people, why did you agree?",ในเมื่อท่านอาวุโสไม่ชอบพวกเยี่ยน แล้วเหตุใดยังรับปาก?
R10029-2_2_4_18,"If it wasn't for the sect leader's order, I wouldn't bother with him!\nAlright, I don't feel like eating anymore, the matter with Iron Rooster should be done, let's go back.","ถ้าไม่ใช่เพราะ ประมุข กำชับไว้ ข้าคงไม่เสียเวลาคุยกับมัน!\nพอแล้ว ไม่มีกะจิตกะใจจะกินข้าวแล้ว! เรื่องของ ไอ้คนขี้เหนียว ก็คงเรียบร้อยดีแล้ว กลับกันเถอะ!"
R10029-2_2_5_1,"Forget it, if we really bring him back, there's no place for him to cook in our sect.\nAfter a full meal, the matter with Iron Rooster should be done, let's go back and deal with those Rich Merchants.","ช่างเถอะๆ ต่อให้พามันกลับไป พวกเราก็ไม่มีโรงครัวอยู่ดี!\nกินอิ่มแล้ว เรื่องของ ไอ้คนขี้เหนียว ก็คงจบแล้ว กลับไปกันเถอะ ถึงเวลาจัดการพวกเศรษฐีหน้าเลือดแล้ว!"
R10029-2_2_6_1,(Do you want to return to the mansion?),(จะกลับจวนเลยหรือไม่?)
R10029-2_option2_1,"Return.<color=#c44b0e>(Three shichen, specific battle)</color>",กลับจวน <color=#c44b0e>（สามชั่วยาม ต่อด้วยศึกสำคัญ）</color>
R10029-2_option2_2,Wait a bit longer.,รออีกสักหน่อย
R10029-2_3_1_1,"Iron Rooster, it seems everything went smoothly since you're back?",ไอ้คนขี้เหนียว ดูจากที่เจ้ากลับมา คงราบรื่นสินะ?
R10029-2_3_2_1,"You're telling me, those Innkeepers all met with misfortune, not a single one survived.",อย่ามาให้พูดเลย เถ้าแก่พวกนั้นน่ะ… ตายหมดแล้ว! ไม่มีใครรอดเลยสักคน!
R10029-2_3_2_2,"Tsk, this is going to be difficult now... ",เฮ้อ… แบบนี้ลำบากแล้วสิ…
R10029-2_3_2_3,What do you mean? Your original plan was... ,หมายความว่าอย่างไร? หรือว่าแผนเดิมของพวกเจ้าคือ…
R10029-2_3_2_4,"We originally planned to let the world see their true colors and then send people to take over their shops at a low price. Now that they're all dead, I'm afraid it's going to cost a lot more.",เดิมทีตั้งใจจะให้ชาวเมืองเห็นธาตุแท้ของพวกมันก่อน แล้วค่อยส่งคนเข้ายึดร้านค้าของพวกมันในราคาถูก แต่ตอนนี้พวกมันตายหมดแล้ว คงต้องเสียเงินมากขึ้นกว่าเดิม!
R10029-2_3_3_1,"You've committed a crime against {PlayerName}, harming innocent innkeepers in Daliang City. You deserve punishment. Come with us.",นักโทษ {PlayerName} เจ้าได้ก่อกรรมทำเข็ญ ฆ่าเหล่าเถ้าแก่ผู้บริสุทธิ์ในเมืองต้าเหลียง ย่อมต้องโทษประหาร! จงตามพวกเราไปเสียโดยดี!
R10029-2_3_3_2,"Tsk, so it was you who caused all this trouble. Let's deal with these lackeys first, then we'll settle the score with you!",ชิ! ต้นเหตุที่ทำให้วุ่นวายก็คือเจ้าเองนี่นะ ไอ้เด็กเวร! จัดการพวกสุนัขรับใช้พวกนี้ก่อน แล้วค่อยสะสางเรื่องของเจ้า!
R10029-2_3_4_1,"Nine Factions Sect... We'll remember this grudge. Sooner or later, we'll bring you to justice!",นิกายเก้าฝ่าย… ความแค้นครั้งนี้ข้าจะจดจำไว้! สักวันหนึ่งจะลากพวกเจ้ามารับโทษให้จงได้!
R10029-2_3_4_2,What do we do now? Have we all become wanted criminals?,เอาไงดี? พวกเรากลายเป็น นักโทษตามหมายจับ ไปแล้วหรือเปล่า?
R10029-2_3_4_3,"Tsk, who told you to act so hastily? Didn't you think it through before you acted?",เฮ้อ! ใครบอกให้เจ้าลงมือเร็วเกินไป! ครั้งหน้าใช้หัวคิดก่อนเถอะ!
R10029-2_3_4_4,"Iron Rooster, given the current situation, we can't do business here anymore. You should ask {PlayerName} for the money you lost.",ไอ้คนขี้เหนียวดูจากสถานการณ์ตอนนี้ ดูท่าคงทำธุรกิจที่นี่ไม่ได้แล้ว เงินที่เจ้าสูญไป ไปเก็บกับ {PlayerName} เถอะ!
R10029-2_3_4_5,"Hmph, five thousand guan is not a small sum. Can he afford it? Let's forget it for now and return to the Nine Factions Sect.",หึ! ห้าพันตำลึง ไม่ใช่เงินจำนวนน้อยนะ เจ้านั่นมีปัญญาจ่ายหรือ? ลืมๆ ไปเถอะ! กลับ นิกายเก้าฝ่าย ก่อนแล้วค่อยว่ากัน!
R10029-2_3_4_6,"You follow E Qigai and Lin Shopkeeper back to the Nine Factions Sect, without a word... ",เจ้าร่วมเดินทางกลับ นิกายเก้าฝ่าย ไปกับ เอ้อร์ฉีไก้ และ เถ้าแก่หลิน ตลอดทางไม่มีผู้ใดเอ่ยวาจา…
R10029-2_3_4_7,"You little brat, this mess is all your fault. Reflect on your actions and don't bother me again.",ไอ้เด็กเวร! งานนี้พังพินาศหมดก็เพราะเจ้านั่นแหละ! กลับไปคิดทบทวนตัวเองให้ดี! อย่ามาวุ่นวายกับข้าอีก!
R10029-2_3_5_1,"You've committed a crime against {PlayerName}, harming innocent innkeepers in Daliang City. You deserve punishment. Come with us.",นักโทษ {PlayerName} เจ้าได้ก่อกรรมทำเข็ญ ฆ่าเหล่าเถ้าแก่ผู้บริสุทธิ์ในเมืองต้าเหลียง ย่อมต้องโทษประหาร! จงตามพวกเราไปเสียโดยดี!
R10029-2_3_5_2,"Tsk, so it was you who caused all this trouble. Let's deal with these lackeys first, then we'll settle the score with you!",ชิ! ต้นเหตุที่ทำให้วุ่นวายก็คือเจ้าเองนี่นะ ไอ้เด็กเวร! จัดการพวกสุนัขรับใช้พวกนี้ก่อน แล้วค่อยสะสางเรื่องของเจ้า!
R10029-2_3_6_1,"Hmph... When we get back, we'll issue a bounty for {PlayerName}. I don't believe we can't catch him!",หึ! กลับไปแล้วข้าจะออกหมายจับ {PlayerName} ให้ทั่ว! ไม่เชื่อว่าจะจับมันไม่ได้!
R10029-2_3_6_2,What do we do now? Have we all become wanted criminals?,เอาไงดี? พวกเรากลายเป็น นักโทษตามหมายจับ ไปแล้วหรือเปล่า?
R10029-2_3_6_3,"Tsk, who told you to act so hastily? Didn't you think it through before you acted?",เฮ้อ! ใครบอกให้เจ้าลงมือเร็วเกินไป! ครั้งหน้าใช้หัวคิดก่อนเถอะ!
R10029-2_3_6_4,"Iron Rooster, given the current situation, we can't do business here anymore. You should ask {PlayerName} for the money you lost.",ไอ้คนขี้เหนียวดูจากสถานการณ์ตอนนี้ ดูท่าคงทำธุรกิจที่นี่ไม่ได้แล้ว เงินที่เจ้าสูญไป ไปเก็บกับ {PlayerName} เถอะ!
R10029-2_3_6_5,"Hmph, five thousand guan is not a small sum. Can he afford it? Let's forget it for now and return to the Nine Factions Sect.",หึ! ห้าพันตำลึง ไม่ใช่เงินจำนวนน้อยนะ เจ้านั่นมีปัญญาจ่ายหรือ? ลืมๆ ไปเถอะ! กลับ นิกายเก้าฝ่าย ก่อนแล้วค่อยว่ากัน!
R10029-2_3_6_6,"You follow E Qigai and Lin Shopkeeper back to the Nine Factions Sect, without a word... ",เจ้าร่วมเดินทางกลับ นิกายเก้าฝ่าย ไปกับ เอ้อร์ฉีไก้ และ เถ้าแก่หลิน ตลอดทางไม่มีผู้ใดเอ่ยวาจา…
R10029-2_3_6_7,"You little brat, this mess is all your fault. Reflect on your actions and don't bother me again.",ไอ้เด็กเวร! งานนี้พังพินาศหมดก็เพราะเจ้านั่นแหละ! กลับไปคิดทบทวนตัวเองให้ดี! อย่ามาวุ่นวายกับข้าอีก!
R10029-2_4_1_1,"Hmph, how could things not go smoothly? \nThree shichen later, all the innkeepers from Daliang City will be here.","ฮึ่ม! มีหรือจะไม่ราบรื่น?\nอีกเพียงสามชั่วยาม เหล่าพ่อค้าจาก เมืองต้าเหลียง ก็จะมารวมตัวกันที่นี่แล้ว"
R10029-2_4_1_2,"Good, very good. Our efforts weren't in vain.",ดีมาก ดีเยี่ยม เช่นนี้พวกเราก็ไม่ได้เสียแรงเปล่า
R10029-2_4_1_3,"You beggar, you've been well fed and taken care of. What have you been doing?",เจ้าขอทานโสมม! เจ้ากินอิ่มดื่มเต็มมาตลอด แล้วทำอะไรไว้บ้าง?
R10029-2_4_1_4,"Hehe, isn't it time for us to put in some effort?",เฮเฮ… คราวนี้แหละ ถึงเวลาที่พวกเราต้องออกแรงกันแล้ว!
R10029-2_4_1_5,"{PlayerName}, you've been wanting to deal with those rich merchants, right? It's almost time. Before they arrive for the appointment, let's count their faults one by one!",{PlayerName} เจ้าไม่ได้อยากจัดการพวกเศรษฐีหน้าเลือดเหล่านั้นหรือ? อดใจรออีกหน่อยเถอะ! รอให้พวกมันมาถึงก่อน พวกเราค่อยๆ ไล่เช็กบัญชีความผิดของพวกมันทีละข้อ!
R10029-2_4_1_6,Finally... I can't wait any longer!,ในที่สุด… ข้าแทบจะรอไม่ไหวแล้ว!
R10029-2_4_1_7,"You rub your hands together, ready to expose the true faces of those unscrupulous rich guys.\nThree shichen later... ","เจ้ากำหมัดแน่น เตรียมพร้อมที่จะเปิดโปงความชั่วของพวกเศรษฐีขี้ฉ้อ\nเวลาผ่านไปสามชั่วยาม…"
R10029-2_4_1_8,"Congratulations on your opening|May your business prosper|Let's do more business in the future|Wow, you can actually afford this house|You seem quite wealthy",ขอแสดงความยินดีที่เปิดกิจการใหม่ | ขอให้ทรัพย์สินไหลมาเทมา กิจการเจริญรุ่งเรือง | ภายหน้าหวังว่าจะได้ติดต่อกันบ่อยขึ้น | โอ้! ถึงกับสามารถซื้อจวนหลังนี้ได้เลยหรือ? | ดูท่าทางเจ้านี่มั่งคั่งไม่น้อยเลยนะ!
R10029-2_4_1_9,"Thank you all Innkeepers for your presence, it brings glory to my humble abode.",ขอบคุณเถ้าแก่ทุกท่านที่สละเวลามาร่วมงาน ท่านทำให้บ้านอันต่ำต้อยของข้าเจิดจรัสขึ้นมาทันตา!
R10029-2_4_1_10,It seems everyone is here... ,ดูเหมือนทุกคนจะมากันครบแล้วสินะ…
R10029-2_4_1_11,"Where did this Beggar come from?|What's this stinky Beggar doing here?|Go away, beg somewhere else|Such bad luck",ขอทานที่ใดโผล่มา? | เจ้าขอทานโสโครก มายุ่งอันใดที่นี่? | ไปให้พ้น! หากจะขอทาน ไปที่อื่นเถิด! | ช่างอัปมงคลยิ่งนัก!
R10029-2_4_2_1,"Hmm, it feels like some people are missing, but never mind, I can't be bothered with that now.",อืม… เหมือนจะขาดไปบางคน แต่ก็นั่นแหละ ช่างมันเถอะ…
R10029-2_4_3_1,"Hehe, all these Innkeepers are here, it couldn't be better.",เฮเฮ… พวกพ่อค้าขี้ฉ้อเหล่านี้มาพร้อมหน้าพร้อมตากันหมดแล้ว ช่างเป็นโอกาสเหมาะจริงๆ!
R10029-2_4_4_1,"Greetings to all Innkeepers, how has this Iron Rooster treated you?",คารวะท่านเถ้าแก่ทั้งหลาย มิทราบว่าคนขี้เหนียวผู้นี้ดูแลพวกท่านเป็นอย่างไรบ้าง?
R10029-2_4_4_2,"Stinky beggar, I'll leave this place to you.",เจ้าขอทานกลิ่นเหม็น เรื่องนี้ข้าขอฝากเจ้าแล้ว!
R10029-2_4_4_3,What does it mean?|Why are the Innkeepers leaving?|What's going on?,หมายความว่าเช่นไร? | ไฉนท่านเถ้าแก่ถึงจากไปเสียแล้ว? | นี่มันเรื่องอันใดกันแน่?
R10029-2_4_4_4,"Innkeepers, please calm down and listen to me.",ท่านทั้งหลายใจเย็นก่อน ขอให้ฟังข้าพูดสักคำ!
R10029-2_4_4_5,"All of you Innkeepers are respectable people in Daliang City, living in wealth and abundance. But I think you all know how you got your money.",ทุกท่านล้วนเป็นคหบดีใหญ่โตใน เมืองต้าเหลียง ใช้ชีวิตสุขสบายกินดีอยู่ดี แต่พวกท่านคิดว่าทรัพย์สมบัติที่ได้มานั้นบริสุทธิ์หรือไม่? พวกท่านต่างรู้ดีอยู่แก่ใจมิใช่หรือ?
R10029-2_4_4_6,"What do you mean?|I run my business with integrity|I have no guilt in my self-reflection|What right do you have to speak, you beggar?",เจ้าหมายความว่าเช่นไร? | ข้าทำการค้าโดยสุจริตมาโดยตลอด | ใจข้าย่อมบริสุทธิ์ ไร้สิ่งให้ต้องละอาย | ขอทานเยี่ยงเจ้า มีสิทธิ์เอ่ยปากอันใดด้วยหรือ?
R10029-2_4_4_7,"Since you all are respectable people, I'll give you a chance. Whoever wants to transfer their business, now is the chance to run away, or else... ",ไหนๆ ทุกท่านก็เป็นนักธุรกิจที่มีหน้ามีตา เช่นนั้นข้าขอเสนอทางเลือกหนึ่งให้พวกท่าน ใครที่ยินดีขายกิจการของตนให้แก่เรา ตอนนี้ยังพอมีโอกาสหนีไปได้ แต่หากปล่อยให้เวลาผ่านไป…
R10029-2_4_4_8,"Run away?|Huh, how could I give up?|This guy must be out of his mind.|What's this all about?",จะให้พวกข้าหนีไปน่ะหรือ? | ฮึ! ฝันไปเถอะ! | เจ้าคงเสียสติไปแล้ว! | นี่มันเรื่องอะไรกันอีกล่ะ?
R10029-2_4_4_9,"I gave you all a chance, but since you don't want to be respectable, I have no choice.",ข้าให้โอกาสพวกเจ้าแล้ว แต่ในเมื่อพวกเจ้าล้วนไม่คิดรักษาหน้าตัวเอง เช่นนั้นข้าก็จนปัญญา!
R10029-2_4_5_1,"Golden Fortune Shop Innkeeper, not only did you collude with the Tomb Raider Sect to resell burial objects, but you also forged antiques and sold them at high prices. Most of the fake antiques in Daliang City are from you!",เจ้าของร้านโชคทองคำ ไม่เพียงสมคบคิดกับ สำนักปล้นสุสาน ค้าโลงศพและของฝังศพเถื่อน ยังปลอมแปลงของเก่า หลอกขายในราคาสูง ของปลอมใน เมืองต้าเหลียง กว่าครึ่ง ล้วนมาจากมัน!
R10029-2_4_5_2,How does he know... ,มะ...มันรู้ได้อย่างไร…
R10029-2_4_6_1,"The Literature Bookstore owner has taken many bribes, tampering with children's primers, distorting classic Coin chapters into unrecognizable and meaningless texts. Can you expect the children who read these books to become pillars of society in the future?",เจ้าของร้านหนังสือวรรณกรรม ไม่รู้รับสินบนจากผู้ใดไปมากเท่าใด ถึงได้บิดเบือนตำราเรียนของเด็กเล็ก แก้ไขบทความพื้นฐานจนผิดเพี้ยน ไร้ความหมายโดยสิ้นเชิง เจ้าคิดหรือว่าเด็กที่อ่านหนังสือเช่นนี้ จะเติบใหญ่เป็นเสาหลักของแผ่นดินได้หรือ?
R10029-2_4_6_2,I... I was just following orders... ,ข้า…ข้าก็แค่ทำตามคำสั่ง…
R10029-2_4_7_1,"The Fragrance Square owner has been living a luxurious life for the past few years, completely losing the honesty and integrity of a merchant. He dares to sell shoddy goods at high prices to customers, and those who come to argue are met with sharp and sarcastic ridicule.",เจ้าของจตุรัสเครื่องหอม เจ้ากินดีอยู่ดี ใช้ชีวิตสุขสบายมาหลายปีแล้วมิใช่หรือ? แต่ความซื่อสัตย์ในฐานะพ่อค้ากลับสูญสิ้น ของปลอมของเสียกลับกลายเป็นของล้ำค่า กล้าขายในราคาแพงลิบ! แม้ลูกค้าจะมาต่อว่ากลับถูกเจ้าสบประมาทและเหยียดหยามเสียอีก!
R10029-2_4_7_2,"Hmph, no business is without deceit, you're no different",ฮึ่ม! พ่อค้าไหนกันไม่มีเล่ห์เหลี่ยม! เจ้าก็ใช่ว่าจะดีไปกว่าข้า!
R10029-2_4_8_1,"The goods sold by Cloud Fabric Shop are indeed not problematic, and the reputation is not bad... ",ร้านผ้าเมฆา อาจขายของดี ไม่เคยมีปัญหา ชื่อเสียงก็ไม่นับว่าแย่…
R10029-2_4_8_2,"However, every year the government orders merchants to set up porridge stalls to help the poor and collect clothes for the disaster-stricken to keep warm. What have you done? You should know how many people have frozen and starved to death because of you.",แต่ทุกปีทางการสั่งให้เหล่าพ่อค้าช่วยกันเปิดโรงทาน แจกข้าวต้มและเสื้อผ้าให้ผู้ยากไร้ เจ้าทำอะไรบ้าง? เจ้าคิดหรือไม่ว่าปีหนึ่งๆ มีคนอดตายเพราะเจ้ามากเพียงใด?
R10029-2_4_8_3,……,……
R10029-2_4_9_1,"As for you, the doctor of Clinic House, you might be thinking, what kind of handle could I have on a living Bodhisattva like you who has a miraculous hand to Regenerate and has saved countless lives.",ส่วนเจ้า หมอจากหอสมุนไพรหุ่ยชุนถัง เจ้าคงคิดว่าตัวเองเป็นเทพนักบุญ รักษาผู้คนมามากมาย ข้าจะหาเรื่องอะไรเจ้ากันเล่า ใช่หรือไม่?
R10029-2_4_9_2,"You have three principles for treating diseases: no money, no treatment; severe illness, no treatment; cheap medicine, no treatment. How many people's treatment have you delayed with these three principles? Don't you think you are extremely guilty with these three principles!",แต่หลักการของเจ้าคือ ‘สามไม่รักษา’— ไม่มีเงินก็ไม่รักษา! อาการหนักก็ไม่รักษา! ใช้ยาราคาถูกก็ไม่รักษา! เพียงเพราะ ‘สามไม่รักษา’ นี้ เจ้าทำให้คนต้องพลาดโอกาสได้รับการเยียวยาไปเท่าไหร่? เจ้ายังคิดว่าตัวเองบริสุทธิ์อยู่หรือไม่!?
R10029-2_4_9_3,"Inseparable has a life, what does it have to do with me!",ชีวิตคนเรามีวาสนาเป็นตัวกำหนด ข้าจะไปยุ่งเกี่ยวได้อย่างไร!
R10029-2_4_10_1,"Our Nine Factions Sect always acts with a clear conscience, we will not wrong the good people, nor will we indulge the evil ones.",นิกายเก้าฝ่าย ทำสิ่งใดล้วนมีเหตุผล! มิได้กลั่นแกล้งผู้บริสุทธิ์ แต่ก็ไม่ปล่อยคนชั่วให้ลอยนวล!
R10029-2_4_10_2,"Innkeepers, you should be seeking the welfare of the people, but what you're doing now, dare you expose it under the sun for everyone to see?",ท่านเถ้าแก่ทั้งหลาย! พวกเจ้าควรจะเป็นผู้มอบความสุขให้แก่ชาวบ้าน แต่สิ่งที่พวกเจ้าทำ…พวกเจ้ากล้าหรือไม่ที่จะให้ผู้คนได้เห็นความจริง!
R10029-2_4_10_3,……,……
R10029-2_4_10_4,"If you still have a shred of conscience, transfer your properties to me at a low price, and I can let you live and return to your hometown. If not... ",หากพวกเจ้ายังมีความสำนึกอยู่บ้าง จงขายกิจการให้แก่ข้าในราคาต่ำ แล้วข้าจะไว้ชีวิต ให้พวกเจ้ากลับบ้านเกิดได้อย่างปลอดภัย… แต่หากพวกเจ้ายังดื้อดึง…
R10029-2_4_10_5,I don't mind acting for the heavens!,ข้ามิอาจนิ่งเฉยต่อความอยุติธรรม ข้าจะลงทัณฑ์แทนสวรรค์เอง!
