﻿Fame-35_1_1,This pigeon letter...,นกพิราบส่งสาร...
PLD-1-1-1_1_9,I'm also quite puzzled.,อาตมาก็รู้สึกแปลกใจในประเด็นนี้อยู่ไม่น้อย
PLD-1-1-1_1_10,Could it be... this person was waiting for Master Hui Yuan to catch up?,หรือว่า... ผู้นั้นตั้งใจรอให้ไต้ซือฮุ่ยหยวนไล่ตามทัน?
PLD-1-1-1_1_11,But why would he do that?,แต่เหตุใดเขาจึงต้องทำเช่นนั้นด้วยเล่า?
PLD-1-1-1_1_12,Could it be that this person wanted to provoke Master Hui Yuan by doing this?,หรือว่าผู้นั้นตั้งใจยั่วยุไต้ซือฮุ่ยหยวนด้วยวิธีนี้?
PLD-1-1-1_1_13,"Master Hui Yuan, what was the person's outfit?",ไต้ซือฮุ่ยหยวน ผู้นั้นสวมอาภรณ์เช่นไร?
PLD-1-1-1_1_14,"He was wearing night clothes and a cloak, it was too dark to see clearly.",อาตมาเห็นเพียงร่างในชุดยามราตรีและเสื้อคลุมยาว ด้วยความมืดสลัวยามค่ำคืนทำให้มิอาจเห็นรายละเอียดได้ชัดเจน
PLD-1-1-1_1_15,What about his martial arts style?,แล้ววรยุทธ์ของเขาเล่า เป็นเช่นไร?
PLD-1-1-1_1_16,"It was just a palm's strength, I couldn't see any style.",เพียงแค่แรงฝ่ามือเท่านั้น อาตมามิอาจเห็นร่องรอยของวิชายุทธ์ใดๆ
PLD-1-1-1_1_17,(It seems that I can't get more useful clues here.),(ดูท่าว่าจะไม่มีร่องรอยใดที่จะช่วยไขปริศนานี้ได้อีกแล้ว... คงต้องหาทางสืบค้นจากที่อื่นต่อไป)
PLD-1-1-1_1_18,"Thank you, Master Hui Yuan, please rest more.",ขอบคุณท่านไต้ซือฮุ่ยหยวน ขอท่านได้พักผ่อนเถิด
PLD-1-1-1_1_19,Amitabha.,อามิตาพุทธ
PLD-1-2_1_1,Why are there no gatekeeper disciples in this Confucius Temple today?,ทำไมวันนี้ถึงไม่มีศิษย์ยามเฝ้าประตูที่วัดขงจื๊อนี่เลย?
PLD-1-2_1_2,What is that person doing up there...,คนที่อยู่ข้างบนนั่นกำลังทำอะไรอยู่...
PLD-1-2_1_3,Why is there blood here...|I've been wiping for a long time and it's still not clean|It flowed into the cracks...|Who is the one who insulted the sage!,ทำไมถึงมีเลือดอยู่ตรงนี้... เช็ดมานานแล้วยังไม่สะอาดเลย มันไหลซึมเข้าไปในร่องรอยแตกด้วย... ใครกันที่กล้าดูหมิ่นองค์ปราชญ์!
PLD-1-2_1_4,What exactly is going on...,เกิดอะไรขึ้นกันแน่...
PLD-1-2_1_5,"Everyone, over here...",ทุกคน รีบมาดูทางนี้เร็ว...
PLD-1-2_1_6,"Can't you see we're busy? The Dojokeeper ordered to close the door and refuse visitors today, whoever you are, please run away!",มองไม่เห็นหรือไงว่าพวกเรากำลังยุ่ง? เจ้าสำนักมีคำสั่งห้ามเปิดประตูรับแขกวันนี้ ไม่ว่าท่านจะเป็นผู้ใด รีบไปให้พ้นจากที่นี่เสีย!
PLD-1-2_1_7,"(These disciples are all busy, they don't even look up at me...)",(พวกศิษย์เหล่านี้ยุ่งกันใหญ่ ถึงขนาดไม่เงยหน้ามองข้าด้วยซ้ำ...)
PLD-1-2_1_8,(Could something have happened at the Confucius Temple?),(อาจจะมีเรื่องบางอย่างเกิดขึ้นที่วัดขงจื๊อกระมัง...?)
PLD-1-2_1_9,Isn't this the great hero {PlayerSurName}?,โอ้! นี่มิใช่จอมยุทธ {PlayerSurName} ผู้เลื่องชื่อหรอกหรือ?
PLD-1-2_1_10,Who are you?,ท่านเป็นใครกัน?
PLD-1-2_1_11,"I am the Pavilion Master of Blue Water Pavilion, Ma Qingshan. The one who fought with the Master of Lengxiang Gate on the Sword Debate Platform was me.",ข้าคือ หม่าชิงซาน เจ้าสำนักศาลาวารีคราม ผู้ที่ประมือกับเจ้าสำนักเหลิงเซียง บนลานวิจารณ์กระบี่ ก็คือตัวข้าเอง
PLD-1-2_1_12,(On the Sword Discussion Stage... seems like there is such a person...),(ที่ชุมนุมวิจารณ์กระบี่... ข้าจำได้ว่ามีผู้หนึ่งมีลักษณะเช่นนี้...)
PLD-1-2_1_13,"Nice to meet you, why is HorsePavilion Master here?",ยินดีที่ได้พบ ไม่ทราบว่าเหตุใดท่านเจ้าสำนักหม่าจึงมาปรากฏกาย ณ ที่นี้?
PLD-1-2_1_14,"On the Sword Discussion Stage, Cai Dean gave me some advice, so I came to Confucius Temple, hoping to get more guidance from Cai Dean.",ณ ชุมนุมวิจารณ์กระบี่ ท่านอาจารย์ไช่ได้ประทานคำชี้แนะแก่ข้า ด้วยเหตุนี้ข้าจึงมุ่งหน้าสู่วัดขงจื๊อ หวังว่าจะได้รับคำสั่งสอนเพิ่มเติมจากท่านอาจารย์ไช่
PLD-1-2_1_15,"But when I arrived, it was a mess here.",ทว่าเมื่อข้ามาถึง ที่นี่กลับอยู่ในสภาพยับเยิน
PLD-1-2_1_16,Does HorsePavilion Master know what happened?,ท่านเจ้าสำนักหม่า ท่านทราบเรื่องที่เกิดขึ้นหรือไม่?
PLD-1-2_1_17,"Although I don't know the details, I saw some things.",แม้ข้าจะไม่ทราบเรื่องราวโดยละเอียด แต่ก็ได้เห็นบางสิ่งบางอย่าง
PLD-1-2_1_18,"For example, this statue of Confucius, when I came just now, it was splashed with pig's blood, and there were seven blood characters written on it, ""The pursuit of Longevity is in vain"".","อย่างเช่นรูปปั้นขงจื๊อองค์นี้ เมื่อครู่ที่ข้ามาถึง พบว่ามีผู้เอาเลือดสุกรมาสาดไว้ ทั้งยังเขียนอักษรเจ็ดตัวด้วยเลือด ความว่า ""แสวงหาชีวิตนิรันดร์ สุดท้ายว่างเปล่าไร้ซึ่งกัน"""
PLD-1-2_1_19,"In addition, it seems that someone has entered the Wenyuan Pavilion in the Confucius Temple. I saw disciples going in and out there, sweating profusely.",ยิ่งไปกว่านั้น ดูเหมือนจะมีผู้บุกรุกเข้าไปในหอคุณธรรมในบริเวณวัดขงจื๊อ ข้าเห็นเหล่าศิษย์วิ่งเข้าออกที่นั่น เหงื่อท่วมกายดั่งสายฝน
PLD-1-2_2_1,Someone entered the Wenyuan Pavilion? Are my treasured Calligraphy safe?,มีผู้บังอาจบุกรุกเข้าหอคุณธรรมกระนั้นหรือ? บรรดาตำราลายพู่กันอันล้ำค่าของข้าจะปลอดภัยดีหรือไม่?
PLD-1-2_2_2,I'm not sure about that.,เรื่องนี้ข้าก็ไม่อาจรู้แน่ชัด
PLD-1-2_3_1,I hope my scrolls are safe.,ข้าหวังว่าม้วนคัมภีร์ของข้าจะยังปลอดภัยดี
PLD-1-2_4_1,"Wait, Wenyuan Pavilion... Could the thief be after that...",เดี๋ยวก่อน หอคุณธรรม... หรือว่าโจรผู้นั้นจะมาเพื่อสิ่งนั้นกระมัง...
PLD-1-2_4_2,"Senior Shu Kuang, do you know something?",เดี๋ยวก่อน หอคุณธรรม... หรือว่าโจรผู้นั้นจะมาเพื่อสิ่งนั้นกระมัง...
PLD-1-2_4_3,"...The Dojokeeper previously lent the Hall of righteousness to the Ling siblings. That hall was originally the place where Confucius Temple stored books, but the Dojokeeper specifically moved a book to the Wenyuan Pavilion...",...ท่านเจ้าสำนักเคยให้พี่น้องตระกูลหลิงยืมหอคุณธรรมไป หอนั้นแต่เดิมเป็นที่เก็บตำราของวัดขงจื๊อ แต่ท่านเจ้าสำนักกลับแยกตำราเล่มหนึ่งไปเก็บที่หอคุณธรรมเป็นพิเศษ..
PLD-1-2_4_4,Sounds suspicious... What book is it?,ช่างชวนสงสัยนัก... ว่าแต่ตำราเล่มนั้นคือตำราอันใด?
PLD-1-2_4_5,"""Book of Yu Xia""...",《คัมภีร์อวี่เซี่ย》...
PLD-1-2_4_6,"No, I can't rest assured about my Calligraphy, I'll be back soon!",ไม่ ข้าไม่อาจวางใจเรื่องงานอักษรวิจิตรของข้าได้ ข้าขอไปดูสักครู่แล้วจะรีบกลับมา!
PLD-1-2_5_1,"Wait for me, I'm going too.","รอก่อน, ข้าไปด้วย!"
PLD-1-2_6_1,A moment later...,ครู่ต่อมา...
PLD-1-2_6_2,"Phew... Fortunately, my Calligraphy are all still there.",เฮ้อ... โชคดีที่อักษรวิจิตรของข้ายังอยู่ครบ
PLD-1-2_7_1,My paintings are also still there.,ภาพวาดของข้าก็ยังอยู่ครบ
PLD-1-2_8_1,"Senior, what about that book?","ท่านผู้อาวุโส, แล้วคัมภีร์เล่มนั้นเล่า?"
PLD-1-2_8_2,Huh? What book?,หืม? คัมภีร์อะไรหรือ?
PLD-1-2_8_3,"The ""Book of Yu Xia"" you just mentioned...",《คัมภีร์อวี่เซี่ย》ที่ท่านเพิ่งกล่าวถึง...
PLD-1-2_8_4,……,……
PLD-1-2_8_5,"You didn't forget it, did you, senior...",ท่านผู้อาวุโส... ท่านไม่ได้ลืมมันไปแล้วใช่ไหม...
PLD-1-2_8_6,"No, the secret compartment for storing books was opened, and that book is indeed gone.",ไม่ใช่... ช่องลับที่ใช้เก็บตำราถูกเปิดออก และคัมภีร์เล่มนั้นหายไปจริงๆ
PLD-1-2_8_7,"Could it be that the thief who made a mess of the Confucius Temple was after this ""Book of Yu Xia""?",เป็นไปได้หรือไม่ว่า โจรที่ทำวุ่นวายในวัดขงจื๊อนั้น กำลังตามหา《คัมภีร์อวี่เซี่ย》เล่มนี้?
PLD-1-2_8_8,"Not only that, not everyone can find that secret compartment, whoever this thief is, they have a certain understanding of the Confucius Temple.",ไม่เพียงเท่านั้น ไม่ใช่ใครก็สามารถหาช่องลับนั้นเจอได้ ไม่ว่าโจรผู้นี้จะเป็นใคร พวกเขาต้องมีความรู้ความเข้าใจเกี่ยวกับวัดขงจื๊อพอสมควร
PLD-1-2_9_1,Someone entered the Wenyuan Pavilion? My scrolls...,มีคนบุกเข้าไปในหอคุณธรรมด้วยหรือ? ม้วนคัมภีร์ของข้า...
PLD-1-2_9_2,I'm not sure about that.,เรื่องนี้ข้าก็ไม่อาจรู้แน่ชัด
PLD-1-2_9_3,"Wait, Wenyuan Pavilion... Could the thief be after that...",เดี๋ยวก่อน หอคุณธรรม... หรือว่าโจรผู้นั้นจะมาเพื่อสิ่งนั้นกระมัง...
PLD-1-2_9_4,"Senior Hua Chi, do you know something?",ท่านอาจารย์ฮวาชือ ท่านพอจะทราบเรื่องราวใดบ้างหรือไม่?
PLD-1-2_9_5,"...The Dojokeeper previously lent the Hall of righteousness to the Ling siblings. That hall was originally the place where Confucius Temple stored books, but the Dojokeeper specifically moved a book to the Wenyuan Pavilion...",...ท่านเจ้าสำนักเคยให้พี่น้องตระกูลหลิงยืมหอคุณธรรมไป หอนั้นแต่เดิมเป็นที่เก็บตำราของวัดขงจื๊อ แต่ท่านเจ้าสำนักกลับแยกตำราเล่มหนึ่งไปเก็บที่หอคุณธรรมเป็นพิเศษ..
PLD-1-2_9_6,Sounds suspicious... What book is it?,ช่างชวนสงสัยนัก... ว่าแต่ตำราเล่มนั้นคือตำราอันใด?
PLD-1-2_9_7,"""Book of Yu Xia""...",《คัมภีร์อวี่เซี่ย》...
PLD-1-2_9_8,"No, I can't rest assured about my scrolls, wait here for me, I'll be back soon!",ไม่ได้ ข้าเป็นห่วงม้วนคัมภีร์ของข้า รออยู่ที่นี่ก่อน ข้าจะรีบกลับมา!
PLD-1-2_9_9,A moment later...,ครู่ต่อมา...
PLD-1-2_10_1,"Fortunately, those scrolls were not affected.",โชคดีที่ม้วนคัมภีร์เหล่านั้นไม่ได้รับความเสียหาย
PLD-1-2_10_2,"The secret compartment where the ""Book of Yu Xia"" was stored was opened, and the book is gone.",ช่องลับที่เก็บ《คัมภีร์อวี่เซี่ย》ถูกเปิดออก และตำราก็หายไปแล้ว
PLD-1-2_10_3,"Could it be that the thief who made a mess of the Confucius Temple was after this ""Book of Yu Xia""?",เป็นไปได้หรือไม่ว่า โจรที่ทำวุ่นวายในวัดขงจื๊อนั้น กำลังตามหา《คัมภีร์อวี่เซี่ย》เล่มนี้?
PLD-1-2_10_4,"Not only that, not everyone can find that secret compartment, whoever this thief is, they have a certain understanding of the Confucius Temple.",ไม่เพียงเท่านั้น ไม่ใช่ใครก็สามารถหาช่องลับนั้นเจอได้ ไม่ว่าโจรผู้นี้จะเป็นใคร พวกเขาต้องมีความรู้ความเข้าใจเกี่ยวกับวัดขงจื๊อพอสมควร
PLD-1-2_11_1,Wenyuan Pavilion... Could it be that book!,หอคุณธรรม... เป็นไปได้ว่าจะเป็นตำราเล่มนั้น!
PLD-1-2_11_2,"Brother Cai, have you thought of something?",พี่ไฉ่ ท่านคิดอะไรออกแล้วหรือ?
PLD-1-2_11_3,"My father previously lent the Hall of righteousness to the Ling siblings. That hall was originally the place where Confucius Temple stored books, but my father specifically moved a book to the Wenyuan Pavilion...",ท่านพ่อของข้าเคยให้พี่น้องสกุลหลิงยืมหอคุณธรรม ที่นั่นเดิมเป็นที่เก็บคัมภีร์ของวัดขงจื๊อ แต่ท่านพ่อกลับย้ายหนังสือเล่มหนึ่งไปไว้ที่หอคุณธรรมโดยเฉพาะ...
PLD-1-2_11_4,What book is it?,มันคือตำราเล่มไหน?
PLD-1-2_11_5,"""Book of Yu Xia""...",《คัมภีร์อวี่เซี่ย》...
PLD-1-2_11_6,"Brother {PlayerSurName}, I can't rest assured, allow me to go and check.",น้อง{PlayerSurName} ข้ายังวางใจไม่ได้ ขอข้าไปดูสักครู่
PLD-1-2_11_7,A moment later...,ครู่ต่อมา...
PLD-1-2_12_1,……,……
PLD-1-2_12_2,"Looking at Brother Cai's face, could it be...",ดูจากสีหน้าของพี่ไฉ่แล้ว หรือว่า...
PLD-1-2_12_3,"Yes, the secret compartment for storing books was opened, and that book is gone.",ใช่แล้ว ช่องลับสำหรับเก็บตำราถูกเปิดออก และตำราเล่มนั้นหายไปแล้ว
PLD-1-2_12_4,"Could it be that the thief who made a mess of the Confucius Temple was after this ""Book of Yu Xia""?",เป็นไปได้หรือไม่ว่า โจรที่ทำวุ่นวายในวัดขงจื๊อนั้น กำลังตามหา《คัมภีร์อวี่เซี่ย》เล่มนี้?
PLD-1-2_12_5,"Not only that, not everyone can find that secret compartment, whoever this thief is, they have a certain understanding of the Confucius Temple.",ไม่เพียงเท่านั้น ไม่ใช่ใครก็สามารถหาช่องลับนั้นเจอได้ ไม่ว่าโจรผู้นี้จะเป็นใคร พวกเขาต้องมีความรู้ความเข้าใจเกี่ยวกับวัดขงจื๊อพอสมควร
PLD-1-2_13_1,"""Book of Yu Xia""...\nThis is what the thief wanted.","《คัมภีร์อวี่เซี่ย》...\nนี่คือสิ่งที่โจรต้องการ"
PLD-1-2_14_1,Wenyuan Pavilion... Could the thief be trying to steal something from the Wenyuan Pavilion?,หอคุณธรรม... หรือว่าโจรกำลังจะไปขโมยของบางอย่างจากหอคุณธรรม?
PLD-1-2_14_2,Such a guess is reasonable.,ข้อสันนิษฐานเช่นนี้ฟังดูสมเหตุสมผล
PLD-1-2_15_1,If we could find someone in the Confucius Temple to ask...,ถ้าเราพอจะหาใครสักคนในวัดขงจื๊อมาสอบถามได้...
PLD-1-2_15_2,"Give it up, look at them, they are so busy, who has time to deal with you?",เลิกคิดเถอะ ดูพวกเขาสิ ยุ่งวุ่นวายกันขนาดนั้น ใครจะมีเวลามาสนใจเจ้า?
PLD-1-2_15_3,"Moreover, knowing them as I do, they would never let such a family scandal be known to others.",ยิ่งไปกว่านั้น ข้ารู้จักนิสัยพวกเขาดี พวกเขาไม่มีทางยอมให้เรื่องอื้อฉาวในสำนักขงจื้อรั่วไหลออกไปให้คนอื่นรู้แน่
PLD-1-2_15_4,"{PlayerSurName} hero, it's better not to waste time here.",ท่านจอมยุทธ์ {PlayerSurName} ไม่ควรมาเสียเวลาอยู่ที่นี่
PLD-1-2_15_5,……,……
PLD-1-2_16_1,What a sin...,ช่างเป็นบาปกรรมอะไรเช่นนี้...
PLD-1-2_16_2,"Sir, what is this...",นายท่าน... นี่มันเกิดอะไรขึ้นกันแน่...
PLD-1-2_16_3,"Alas... Young man, this is the Confucius Temple. It's in ruins now, but a few years ago, it was a place where scholars from all over the world aspired to be.",ฮือ... เจ้าหนุ่มน้อย ที่นี่คือวัดขงจื๊อ แม้ยามนี้จะเหลือเพียงซากปรักหักพัง แต่เมื่อไม่กี่ปีก่อน ที่แห่งนี้คือสถานที่ที่บัณฑิตและผู้แสวงหาความรู้จากทั่วหล้าต่างใฝ่ฝันที่จะได้มาเยือนสักครา
PLD-1-2_16_4,"Back in the day, I studied hard in the hope of being accepted into the Confucius Temple, but I was always turned away at the door...",ในอดีตนั้น ข้าได้มุ่งมั่นศึกษาเล่าเรียนอย่างหนัก ด้วยความหวังว่าจะได้รับการยอมรับให้เข้าวัดขงจื๊อ แต่ทว่า... ข้ากลับถูกปฏิเสธที่หน้าประตูทุกครั้งไป..
PLD-1-2_16_5,"But now, it's in ruins. Apart from me who still comes to visit and walk around every day, no one else comes anymore...",แต่บัดนี้ วัดแห่งนี้กลับกลายเป็นเพียงซากปรักหักพัง นอกจากข้าที่ยังคงมาเยือนและเดินวนเวียนที่นี่ทุกวัน ก็หามีผู้ใดย่างกรายมาอีกไม่...
PLD-1-2_16_6,"Sir, I know this is the Confucius Temple. What I want to ask is what are you doing?",ท่านอาวุโส ข้าทราบดีว่าที่นี่คือวัดขงจื๊อ สิ่งที่ข้าอยากถามคือ... ท่านกำลังทำอะไรอยู่?
PLD-1-2_16_7,"Alas... Today when I came here, I saw that the statue of the great sage had been splashed with pig's blood, and the words ""The pursuit of Longevity is in vain"" were written in blood.","อนิจจา... วันนี้เมื่อข้ามาที่นี่ ข้าพบว่ารูปปั้นของมหาปราชญ์ถูกราดด้วยเลือดสุกร และมีตัวอักษรเขียนด้วยเลือดว่า ""แสวงหาชีวิตนิรันดร์ สุดท้ายว่างเปล่าไร้ซึ่งกัน"""
PLD-1-2_16_8,I don't know which ignorant person did this. All I can do is fetch water and clean the statue myself...,ข้าไม่รู้ว่าเป็นผู้ใดที่โง่เขลาทำเรื่องเช่นนี้ได้ สิ่งที่ข้าพอจะทำได้ก็มีแต่ไปตักน้ำมาทำความสะอาดรูปปั้นด้วยตนเอง..
PLD-1-2_16_9,……,……
PLD-1-2_16_10,"(It seems that someone must have caused a ruckus at the Confucius Temple. The Confucius Temple is now extinct, and there's no more information to be gained by staying here.)",(ดูเหมือนว่าจะมีผู้ก่อความวุ่นวายที่วัดขงจื๊อ วัดขงจื๊อถึงกาลอวสานแล้ว และอยู่ที่นี่ต่อไปก็คงไม่ได้ข้อมูลอะไรเพิ่ม)
PLD-1-2_17_1,"I understand the situation now. Thank you, sir. I'll take my leave.",ข้าเข้าใจสถานการณ์แล้ว ขอบคุณท่านมาก ข้าขอลา
PLD-1-2_18_1,"Sir, let me help you clean the statue.",นายท่าน ให้ข้าช่วยท่านทำความสะอาดรูปปั้นเถิด
PLD-1-2_18_2,"Thank you, thank you. If only all young people were like you...",ขอบคุณ ขอบคุณ หากคนหนุ่มสาวเป็นเช่นเจ้าทุกคนก็คงดี..
PLD-1-2_18_3,………………,………………
PLD-1-2_18_4,"You silently join the Old Scholar in cleaning the statue. An hour later, the stains on the statue are finally cleaned.",ท่านร่วมกับท่านบัณฑิตชราทำความสะอาดรูปปั้นอย่างเงียบๆ หนึ่งชั่วยามต่อมา คราบเปื้อนบนรูปปั้นก็ถูกทำความสะอาดจนหมดสิ้น
PLD-1-2_19_1,"Thank you, young man. I'm sure the sage would be pleased with this.",ขอบคุณท่านมาก พ่อหนุ่ม ข้าเชื่อว่าท่านปราชญ์จะต้องพอใจเป็นแน่
PLD-1-2_19_2,It's just a small effort.,เป็นเพียงเรื่องเล็กน้อยเท่านั้น
PLD-1-2_19_3,"Very good, very good.",ดีมาก ดีมาก
PLD-1-2_19_4,"Oh, my back...",โอ้ หลังของข้า...
PLD-1-2_19_5,Let me help you get home.,ให้ข้าช่วยพาท่านกลับบ้านเถิด.
PLD-1-2_19_6,"No need, no need, this old man is not so old that he can't return home.",ไม่จำเป็น ไม่จำเป็น ชายชราคนนี้ยังไม่แก่ขนาดที่จะกลับบ้านเองไม่ได้เสียหน่อย
PLD-1-2_19_7,"There's nothing to do here, I might as well run away too.",ที่นี่ไม่มีอะไรให้ทำแล้ว ข้าก็คงต้องไปเหมือนกัน
PLD-1-2_20_1,Is this... a pigeon message?,นี่คือ... ข้อความจากนกพิราบงั้นรึ?
PLD-1-2_20_2,"It's another letter from Senior Fu Yaozi, let's see what it says...",เป็นจดหมายอีกฉบับจากผู้อาวุโส ฝูเหยาจื่อ มาดูกันว่ามันเขียนว่าอะไร...
PLD-1-2_20_3,"""Please come to Linlang Temple quickly, {PlayerName}."" Only these few words, could something have happened at Linlang Temple?","""{PlayerName} โปรดมาที่วัดหลินหลางโดยด่วน"" ข้อความมีเพียงเท่านี้ หรือว่าจะมีเรื่องอะไรเกิดขึ้นที่วัดหลินหลาง?"
PLD-1-2_20_4,"First it was the three sects, now it's Linlang Temple... It's really worrying, I should hurry to Linlang Temple.",ตอนแรกก็สามสำนักใหญ่ ตอนนี้ก็วัดหลินหลาง... น่าเป็นห่วงจริง ๆ ข้าควรรีบไปที่วัดหลินหลาง
PLD-1-3_1_1,It seems that everything is calm and nothing has happened at the Taoist Sect.,ดูเหมือนว่าทุกอย่างที่สำนักเต๋าจะสงบดี ไม่มีอะไรผิดปกติเกิดขึ้น
PLD-1-3_1_2,"Since I'm here, I might as well pay a visit to Spiritual Master Zhong Yangzi.",ในเมื่อมาถึงที่นี่แล้ว ก็ควรจะไปเยี่ยมคารวะท่านอาจารย์ฉงหยางสื่อสักหน่อย
PLD-1-3_2_1,"Boundless Heavenly Lord, {PlayerName}, we meet again.",ท่านจ้าวสวรรค์ไร้ขอบเขต {PlayerName} พวกเราได้พบกันอีกครั้ง
PLD-1-3_2_2,"Zhong YangziSpiritual master, after parting on the Sword Discussion Stage, has there been any changes in the Taoist Sect?",ท่านอาจารย์ฉงหยางสื่อ หลังจากที่พวกเราแยกจากกันที่งานชุมนุมวิจารณ์กระบี่ มีความเปลี่ยนแปลงอะไรในสำนักเต๋าบ้างหรือไม่?
PLD-1-3_2_3,"For now, everything is normal, there's nothing unusual. I think that Gongsun Hui was just making an empty threat, how dare he really cause trouble in the three sects?",ตอนนี้ทุกอย่างก็ยังปกติดี ไม่มีอะไรผิดแปลกไป ข้าคิดว่ากงซุนฮุ่ยคงแค่ขู่เท่านั้น เขาจะกล้ามาก่อกวนสามสำนักใหญ่ได้อย่างไรกัน
PLD-1-3_3_1,That's not necessarily the case...,ก็ไม่แน่เสมอไปนะ...
PLD-1-3_3_2,You tell Zhong Yangzi about what happened earlier.,ท่านอาจารย์ฉงหยางสื่อ ข้าต้องเล่าเรื่องที่เกิดขึ้นก่อนหน้านี้ให้ท่านฟัง...
PLD-1-3_3_3,"Such a thing actually happened! Thank you for the warning, I will immediately order my disciples to strengthen their vigilance.",เรื่องแบบนี้เกิดขึ้นจริงๆ หรือนี่! ขอบคุณที่เตือน ข้าจะสั่งให้ศิษย์เพิ่มความระแวดระวังในทันที
PLD-1-3_4_1,"That being said, it's better to be safe than sorry, senior should still be careful.",ถึงอย่างไรก็ตาม ระวังไว้ก่อนย่อมดีกว่าแก้ไขภายหลัง ท่านอาจารย์อาวุโสก็ควรจะระมัดระวังตัวด้วยนะขอรับ
PLD-1-3_4_2,"That's true, I will arrange for my disciples to be more vigilant.",จริงอย่างที่เจ้าว่า ข้าจะจัดการให้ศิษย์ของข้าเพิ่มความระมัดระวังมากขึ้น
PLD-1-3_5_1,"Master, something terrible has happened!",อาจารย์! เกิดเรื่องร้ายแรงขึ้นแล้ว!
PLD-1-3_5_2,"Calm down, what happened?",ใจเย็นๆ ก่อน มีอะไรเกิดขึ้นหรือ?
PLD-1-3_5_3,"No, no, no... The stone door of the Cave of Infinity has been opened!",ม.. ไม่.. ไม่นะ... ประตูหินของถ้ำไร้ประมาณถูกเปิดออกแล้ว!
PLD-1-3_5_4,What did you say!,อะไรนะ!
PLD-1-3_5_5,"Spiritual master, I was patrolling the mountain today and came near the Cave of Infinity, and found that the stone door was wide open...",ท่านปรมาจารย์ วันนี้ข้าออกตรวจตระเวนภูเขา ได้ผ่านไปยังบริเวณใกล้เคียงกับถ้ำไร้ประมาณ และพบว่าบานประตูศิลาเปิดอ้าอยู่...
PLD-1-3_5_6,"The stone door is usually closed, how could it...",ปกติบานประตูศิลานั้นปิดอยู่เสมอ เหตุใดจึง...
PLD-1-3_5_7,Someone has indeed been here...,มีคนเคยมาที่นี่จริง ๆ ...
PLD-1-3_5_8,"This, the carvings on this stone wall are...",นี่ รอยสลักบนผนังศิลานี้คือ...
PLD-1-3_6_1,"This is a profound martial arts technique, Disciple saw it when he was here before.",นี่มันเคล็ดวิทยายุทธ์อันล้ำลึก ศิษย์เคยเห็นตอนมาที่นี่ครั้งก่อน
PLD-1-3_7_1,This seems... to be a martial arts technique?,นี่ดูเหมือน...จะเป็นเคล็ดวิทยายุทธ์?
PLD-1-3_8_1,"What I mean is, when was this carved here?",ที่ข้าหมายถึงคือ สิ่งนี้ถูกสลักไว้ที่นี่ตั้งแต่เมื่อใด?
PLD-1-3_8_2,This... Disciple doesn't know... Disciple only knows that this mural has been here for a long time...,เรื่องนี้... ศิษย์ไม่ทราบ... ศิษย์รู้เพียงแต่ว่าภาพจิตรกรรมฝาผนังนี้มีมานานแล้ว...
PLD-1-3_8_3,What's wrong with the martial arts technique on this mural?,เคล็ดวิทยายุทธ์บนภาพจิตรกรรมฝาผนังนี้มีอะไรผิดปกติหรือ?
PLD-1-3_8_4,"...Close the stone door, let's go back and talk.",...ปิดประตูกันเถอะ กลับไปคุยกันข้างในดีกว่า
PLD-1-3_8_5,"On the way back from the Cave of Infinity, Zhong Yangzi was silent with a stern face. You've never seen Zhong Yangzi so serious.",ระหว่างทางกลับจากถ้ำไร้ประมาณ ฉงหยางสื่อเงียบขรึมด้วยสีหน้าเคร่งเครียด เจ้าไม่เคยเห็นฉงหยางสื่อจริงจังขนาดนี้มาก่อน
PLD-1-3_8_6,"Spiritual master, what's wrong?",ท่านอาจารย์ มีอะไรผิดปกติหรือ?
PLD-1-3_8_7,Sigh...,เฮ้อ...
PLD-1-3_8_8,"{PlayerName}, you mentioned the ""Xuan-Yuan Treasure Codex"" on the Sword Discussion Stage, do you still remember?",{PlayerName} เจ้าเคยพูดถึง《บันทึกซวนหยวน》บนเวทีชุมนุมวิจารณ์กระบี่ เจ้ายังจำได้หรือไม่?
PLD-1-3_8_9,I remember.,ข้าจำได้
PLD-1-3_8_10,Fu Yaozi originally divided a part of it and gave it to the old Taoist for safekeeping.,เดิมที ฝูเหยาจื่อ ได้แบ่งส่วนหนึ่งของคัมภีร์นั้น และมอบให้ผู้อาวุโสนักพรตเต๋าเก็บรักษาไว้
PLD-1-3_8_11,"More than a decade ago, a Disciple in the sect somehow learned of the existence of this book and actually peeked at its contents.",เมื่อสิบกว่าปีก่อน ศิษย์ในสำนักคนหนึ่งล่วงรู้ถึงการมีอยู่ของคัมภีร์เล่มนี้ และได้แอบดูเนื้อหาข้างใน
PLD-1-3_8_12,"At that time, the old Taoist, considering the feelings of his fellow disciples, only punished him to reflect in the Cave of Infinity, but he didn't expect...",ในตอนนั้น ข้าคำนึงถึงความรู้สึกของศิษย์ร่วมสำนัก จึงเพียงลงโทษให้เขาไปสำนึกตนในถ้ำไร้ประมาณ แต่คาดไม่ถึงว่า...
PLD-1-3_8_13,Could it be that what's carved on the wall of the Cave of Infinity is the content of that part?!,หรือว่าสิ่งที่สลักอยู่บนผนังถ้ำไร้ประมาณ คือเนื้อหาของคัมภีร์ส่วนนั้น?!
