﻿M2341-14_0_0_1,There is a lingering smell of white vinegar...,มีกลิ่นน้ำส้มสายชูขาวจางๆ ที่ไม่จางหายไป...
M2348-0-2_0_1,"I always feel... once I enter this cave, I won't be able to come out for a while. If I'm not prepared, or haven't finished investigating, or haven't chosen the right teammates, it's better not to enter rashly.",ข้ารู้สึกว่า... หากย่างกรายเข้าสู่ถ้ำนี้ คงมิอาจออกมาได้ชั่วคราว หากข้ายังมิได้เตรียมตัวให้พร้อม หรือยังมิได้สืบสวนให้ถี่ถ้วน หรือแม้แต่ยังมิได้เลือกสหายร่วมเดินทางที่เหมาะสม ก็อย่าได้ผลีผลามเข้าไปเลยจะดีกว่า
M2348-0-2_0_2,Are you sure you want to go in?,แน่ใจแล้วหรือว่าจะเข้าไป?
M2348-0-2_op1_1,Enter! <color=#097a76>(End investigation.)</color>,เข้าไป! <color=#097a76>(ยุติการสืบสวน)</color>
M2348-0-2_op1_2,Don't enter for now.,ยังไม่พร้อมจะเข้าไป
M2348-1_0_1,Am I going to run away from the Martial Tomb? I probably won't be able to come back.,ข้าจะออกจากสุสานยุทธ์แล้วใช่หรือไม่? คงมิอาจหวนคืนกลับมาได้อีกแล้ว
M2348-1_op1_1,I'm leaving.,จากไป
M2348-1_op1_2,Don't leave for now.,ยังมิถึงเวลาที่ข้าต้องไป
M2348-1_3_1,"I finally made up my mind to come in, let's explore this place before leaving.",ข้าตัดสินใจก้าวเข้ามาทั้งที ขอสำรวจที่นี่ให้ทั่วเสียก่อน แล้วค่อยจากไปก็ยังมิสาย
M2348-1_4_1,"Damn it, this stone door is completely blocked, I can't get out at all...",บัดซบ ประตูหินนี้ปิดตายสนิท ไม่มีทางออกไปได้เลย...
M2348-1_0_1_1,"""Eight pitiful people, who falsely claim to be saints. They speak of benevolence and righteousness, but harbor thieves and prostitutes. They pretend to guard the city, but in reality, they steal names.""","""ช่างน่ารังเกียจ! แปดคนผู้หลงตนว่าเป็นเซียน ปากกล่าวธรรมะ แต่ใจกลับเต็มไปด้วยกิเลสตัณหา แสร้งทำเป็นผู้พิทักษ์เมือง แต่แท้จริงคือจอมปลอมที่หวังเพียงชื่อเสียง"""
M2348-1_0_1_2,"""The so-called eight saints, first is Fu Yaozi who does not distinguish right from wrong, only talks about the color of money, second is Zhong Yangzi who is faithless and unrighteous, like rotten wood, third is Hui Yuan who is short-sighted and deceives people in hiding.""","""ผู้ที่ถูกเรียกว่า แปดเซียน คนแรกคือ ฝูเหยาจื่อ ผู้ไม่แยกแยะผิดถูก สนใจเพียงเงินทอง คนที่สองคือ ฉงหยางจื่อ ผู้ทรยศหักหลัง ไร้ค่าดังไม้ผุ ส่วนคนที่สามคือ ฮุ่ยหยวน ผู้มองการใกล้ คิดแต่จะหลอกลวงผู้คนในโลกหล้า"""
M2348-1_0_1_3,"""Fourth is Cai Yuanchang, a wolf with wild ambitions, who pretends to be wise, fifth is Jian Chi who is unmoved by the eight winds and has no help from all directions, sixth is Tang Tai Jun who flees to the southwest and treats beasts as the way.""","""สี่คือ ไช่หยวนฉาง ผู้มีใจทมิฬหยาบช้า แสร้งทำเป็นคนดี ห้าคือ มารกระบี่ ผู้ไม่หวั่นไหวต่อคำเยินยอ และไม่เคยยื่นมือเข้าช่วยผู้ใด หกคือ ถังไท่จุน ผู้หลบหนีไปอยู่แดนตะวันตกเฉียงใต้ ใช้สัตว์ร้ายเป็นเครื่องมือ"""
M2348-1_0_1_4,"""Seventh is Chu Kuangsheng who is violent and arrogant, eighth is Yan Gexing who speaks without restraint and is blinded by dust and smoke.""","""เจ็ดคือ ฉู่กวงเฉิง ผู้โหดเหี้ยมอำมหิต หยิ่งผยองอวดดี แปดคือ เยี่ยนเก้อซิง ผู้ปากพล่อยไร้การควบคุม มัวเมามืดบอดในโลกมายา"""
M2348-1_0_1_5,This is pure slander! Making things up and framing people.,นี่มันใส่ร้ายกันชัดๆ! ปั้นเรื่องขึ้นมาใส่ความคนอื่นอย่างไม่มีมูลความจริงเลย
M2348-1_0_2_1,What does it mean by speaking without restraint and being blinded by dust and smoke? This Blood Rakshasa peeping through the door crack is infuriating me!,พูดจาเหลวไหล ปากพล่อย มัวเมามืดบอดในโลกมายาอะไรกัน! เจ้ารากษสโลหิตนี่มันมองคนผ่านรูประตูเสียจริง ทำข้าเดือดดาลนัก!
M2348-1_0_3_1,"""These eight people, who claim to have no desires or demands, are actually greedy and indulgent in the martial tomb. They know they are obsessed but do not retreat until their muscles and veins break and their meridians reverse, dying and becoming a laughingstock for the world.""","""คนทั้งแปดนี้ ปากพล่อยว่าไร้ซึ่งกิเลสตัณหา แต่แท้จริงกลับโลภโมโทสัน หมกมุ่นในสุสานยุทธ์ รู้ทั้งรู้ว่าเดินลมปราณผิดพลาดก็ยังไม่ยอมหยุด จนกระทั่งเส้นชีพจรแตกดับ พลังลมปราณไหลย้อนกลับจนตาย กลายเป็นตัวตลกให้คนทั่วหล้าได้หัวเราะเยาะ"""
M2348-1_0_3_2,Did Blood Rakshasa write all his fantasies here? My comment is: a dog's picture of a tiger.,รากษสโลหิตเขียนจินตนาการของตัวเองไว้ที่นี่หรือนี่? ข้าขอประเมินว่า: วาดเสือแต่กลับได้หมา
M2348-1_0_3_3,"Not to mention the literary talent, just talking about the calligraphy, the characters are so ugly that they are unbearable to look at. As for the content, the narrow-minded resentment is overflowing in every line, which is even more ridiculous.",อย่าว่าแต่วรรณศิลป์เลย แค่ลายมือก็ขี้เหร่จนไม่อาจทนดูได้แล้ว เนื้อหาเองก็เต็มไปด้วยความริษยาและโทสะที่แสดงออกมาในทุกตัวอักษร ช่างน่าสมเพชยิ่งนัก
M2348-1_0_4_1,"""The so-called eight thieves are the eight extremely evil people from the four directions of east, west, south, and north, who are named after their alliance.""","""ที่เรียกขานกันว่าแปดโจรนั้น คือเหล่าคนชั่วแปดคนจากทั่วทุกสารทิศ รวมตัวกันตั้งเป็นชื่อเรียกขานอันน่ารังเกียจ"""
M2348-1_0_4_2,"""These eight thieves, first is the traitorous and deceiving people's Horse Slayer, second is the one who feeds dogs with people, third is He Gao Fu who causes chaos in the government, fourth is Yuan Wen Zi who takes filth to refine pills.""","""แปดโจรเหล่านี้ หนึ่งคือ ซือหม่าซา ผู้ขายชาติหลอกลวงราษฎร สองคือ อู๋ซาเหร่อ ผู้ใช้มนุษย์เป็นอาหารเลี้ยงสุนัข สามคือ เหอเกาฝู่ ผู้ก่อความวุ่นวายในราชสำนัก สี่คือ หยวนเหวินจื่อ ผู้สกัดอวัยวะภายในมาปรุงยา"""
M2348-1_0_4_3,"""Fifth is Miao Shang Er who spreads plague everywhere, sixth is Ming Xiao Sheng who confuses people's hearts and disrupts their nature, seventh is Mo Yi Tang who can't distinguish between men and women, eighth is Gong Sun Shuo who forces people to listen to music.""","""ห้าคือ เมียวซังเอ่อร์ ผู้โปรยพิษร้ายไปทั่วทุกสารทิศ หกคือ หมิงเสี่ยวเซิง ผู้ล่อลวงจิตใจให้ลุ่มหลง เจ็ดคือ โม่อี้ถัง ผู้แยกชายหญิงไม่ออก แปดคือ กงซุนซั่ว ผู้บังคับให้ผู้อื่นฟังดนตรี"""
M2348-1_0_4_4,"(The first few seem indeed insane and extremely evil, but are those who can't distinguish between men and women and force people to listen to music also worthy of sitting at the same table with them?)",(พวกคนก่อนหน้ามันชั่วร้ายจนเกินบรรยายจริง แต่พวกแยกชายหญิงไม่ออก กับบังคับคนฟังดนตรีนี่ มันคู่ควรมานั่งร่วมโต๊ะกับพวกนั้นด้วยหรือ?)
M2348-1_0_4_5,(This Gong Sun Shuo who forces people to listen to music has some style of a madman.),(กงซุนซั่วผู้บังคับผู้อื่นฟังดนตรีนี่ ยังพอมีมาดนักเลงอยู่บ้าง)
M2348-1_1_1_1,"""These eight people, although their sins are different in severity, they are united and act together, now they have escaped here. They even learn from the sages and carve their life experiences on the stone wall, leaving them for future generations, like monkeys wearing crowns, their characters are as ugly as insects, their sentences are chaotic and incoherent, making people laugh.""","""แปดคนนี้ แม้ความผิดจะหนักเบาต่างกัน แต่ก็รวมตัวกันกระทำความชั่ว บัดนี้หนีมาอยู่ที่นี่ กลับบังอาจเลียนแบบเซียน สลักข้อคิดโง่ ๆ ไว้บนผนังหิน หวังให้คนรุ่นหลังได้จดจำ ช่างเหมือนลิงสวมหมวกมนุษย์ ลายมือขี้เหร่ราวหนอนไช เขียนผิดเขียนถูกจนอ่านไม่รู้เรื่อง น่าหัวเราะเยาะนัก"""
M2348-1_1_1_2,(Does the great hero have a strong cultural bias?),(จอมยุทธ์ผู้ยิ่งใหญ่ผู้นี้มีทัศนคติเหยียดวัฒนธรรมอย่างรุนแรงเลยนี่หว่า?)
M2348-1_1_1_3,"""After the eight thieves were executed, I read the whole text, although it is The Devil, there are some good points, I am pleased. So I thought for seven days, erased the original text, blended the works of the thieves with my lifelong learning, and carved them into six rooms.""","""หลังจากที่พวกแปดโจรถูกสังหารจนสิ้นซาก ข้าพิจารณาคัมภีร์ที่พวกมันทิ้งไว้ แม้จะเป็นวิชาของมารร้าย แต่กลับมีหลายส่วนที่น่าสนใจนัก ข้าเกิดความยินดีในใจ จึงครุ่นคิดอยู่เจ็ดราตรี จากนั้นจึงลบเลือนเนื้อหาเดิม แล้วนำวิชาของพวกโจรเหล่านั้นมาหลอมรวมกับวิชาที่ข้าได้ร่ำเรียนมาตลอดชีวิต สลักเป็นอักษรไว้ในหกห้องลับ"""
M2348-1_1_1_4,"""These six rooms, the first is sword, the second is Confucianism, the third is Buddhism, the fourth is Taoism, the fifth is Longevity, the sixth is devil.""","""ห้องลับทั้งหกนั้น หนึ่งคือวิถึแห่งกระบี่ สองคือวิถึแห่งปรัชญาขงจื๊อ สามคือวิถึแห่งพุทธองค์ สี่คือวิถึแห่งเต๋า ห้าคือวิถึแห่งชีวิตนิรันด์ และหกคือวิถึแห่งมาร"""
M2348-1_1_1_5,"(Long...Longevity! Is it true? If this is known by some princes and ambitious people, wouldn't it cause chaos in the world and there will be no peace?)",(ช...ชีวิตนิรันด์! จริงหรือนี่? หากเรื่องนี้ไปถึงหูพวกขุนนางสูงศักดิ์ หรือผู้มีใจใฝ่สูงทะเยอทะยานแล้วไซร้ บ้านเมืองมิต้องลุกเป็นไฟ หาความสงบสุขมิได้ไปชั่วนิรันดร์หรือ?)
M2348-1_1_1_6,"""What a pity! What a pity! I don't know the way of the military, the art of numbers, otherwise I would have eight families, wouldn't they correspond one by one?""",น่าเสียดาย! น่าเสียดาย! ข้ามิได้เชี่ยวชาญในตำราพิชัยสงครามและศาสตร์การคำนวณ หากข้ารวบรวมได้ครบแปดสำนัก วิชาเหล่านั้นคงเกื้อหนุนซึ่งกันและกันอย่างสมบูรณ์มิใช่หรือ?
M2348-1_1_1_7,"(The great hero also has a bit of obsessive-compulsive disorder? But he knows martial arts, Confucianism, Buddhism, Taoism, as well as the way of longevity and the devil, he is already a learned person in the world.)",(จอมยุทธ์ผู้ยิ่งใหญ่ผู้นี้ดูจะมีอาการย้ำคิดย้ำทำอยู่บ้าง? แต่กระนั้น ท่านก็แตกฉานทั้งวรยุทธ์ ปรัชญาขงจื๊อ ธรรมของพุทธองค์ และ วิถีธรรมชาติของเต๋า ทั้งยังล่วงรู้เคล็ดลับชีวิตนิรันด์และวิถีมาร นับว่าเป็นผู้รู้แจ้งแห่งใต้หล้าแล้ว)
M2348-1_1_1_8,Hmm... I've read it all.,อืม... อ่านจบหมดแล้ว
M2348-1_1_2_1,"""These eight people, Fu Yaozi disregarded the contradiction of lifespan, falsely claimed to be a friend of the founding emperor, and arbitrarily decided the martial arts of the Central Plains. Zhong Yangzi is the head of the Taoist Sect, forcibly twisting the old and the new, and arbitrarily seizing the way of heaven.""","""แปดคนนี้ ฝูเหยาจื่อ ไม่สนใจกฎแห่งอายุขัย อ้างตนว่าเป็นสหายขององค์ปฐมฮ่องเต้ ผูกขาดวงการยุทธภพในแผ่นดินจงหยวน ฉงหยางสื่อ ในฐานะประมุขแห่งสำนักเต๋า ฝืนกฎแห่งธรรมชาติ แย่งชิงวิถีแห่งสวรรค์โดยไร้ซึ่งความชอบธรรม"""
M2348-1_1_2_2,"""Hui Yuan presides over Shifa Temple, sits on the land, and hides evil in his heart. Jian Chi, as the Pavilion Master of Langya Sword Pavilion, only cares about the Appliance, not the people's livelihood. Tang Tai Jun, the Manor Lord of Beast Manor, respects beasts and belittles humans.""","""ฮุ่ยหยวน เป็นเจ้าอาวาสอารามซื่อฟา ยึดครองที่ดินทำกิน ปกปิดความชั่วร้ายของพวกพ้อง มารกระบี่ เป็นประมุขศาลากระบี่หลางหยา สนใจแต่ศาสตราวุธ ไม่เคยเหลียวแลความเป็นอยู่ของราษฎร ถังไท่จุน เป็นประมุขหมู่ตึกหมื่นอสูร ยกย่องสัตว์เดรัจฉาน และ เหยียดหยามมนุษย์"""
M2348-1_1_2_3,"""Chu Kuangsheng, the head of Nine Factions Sect, acts on his likes and dislikes, and takes human lives lightly. Yan Gexing, the deputy of Nine Factions Sect, is short-sighted and acts on impulse.""","""ฉู่กวงเฉิง เป็นประมุขแห่งนิกายเก้าฝ่าย กระทำการตามใจชอบ เห็นชีวิตคนเป็นผักปลา เยี่ยนเก้อซิง เป็นรองประมุขแห่งนิกายเก้าฝ่าย ตามืดบอด ใช้อำนาจตามอารมณ์"""
M2348-1_1_2_4,"This seems to be an introduction, could it be that Blood Rakshasa still thinks that future generations will come here for a visit?",ดูเหมือนว่านี่เป็นการเขียนคำแนะนำ หรือว่ารากษสโลหิตยังคิดว่าคนรุ่นหลังจะมาเยี่ยมเยือนที่นี่กันนะ?
M2348-1_2_1_1,"""The tomb of Horse, a man from the Zhao Kingdom, who died under the fan of He Gao Fu. Once a traitor, he died at the hands of another traitor. How ironic!""","""สุสานของซือหม่าซา คนผู้นี้เป็นชาวแคว้นจ้าว ตายด้วยพัดของเหอเกาฝู่ เมื่อครั้งยังมีชีวิตเป็นคนพาล กระทำการทรยศ วันนี้ตายด้วยมือของคนพาลที่อยู่เบื้องหลัง ช่างน่าขัน น่าขันยิ่งนัก!"""
M2348-1_2_2_1,"""The tomb of Fu Yaozi, his birth and death are unknown, because no one gave him money, he sat and watched everything, and finally died without money and food.""","""สุสานของฝูเหยาจื่อ ไม่อาจสืบค้นวันเกิด วันตาย และภูมิลำเนาได้ เพราะไม่มีใครมอบเงินทองให้ จึงได้แต่นั่งมองความวุ่นวายต่างๆ เฉยเมยต่อทุกสิ่ง สุดท้ายก็ตายเพราะไม่มีทรัพย์สินและอาหาร"""
M2348-1_2_2_2,"(If the Eight Saints really died here, no matter how they died, when future generations come to explore, they will not see the truth, but only believe in the content written on the stone tablet, then Blood Rakshasa's purpose will really be achieved.)",(หากแปดเซียนตายที่นี่จริง ๆ ไม่ว่าจะตายด้วยวิธีใดก็ตาม เมื่อคนรุ่นหลังมาสำรวจ ก็จะไม่เห็นความจริง เห็นแต่สิ่งที่จารึกบนศิลาแล้วเชื่อโดยปราศจากข้อกังขา เช่นนั้นแล้ว เป้าหมายของรากษสโลหิตก็จะสำเร็จอย่างแท้จริง)
M2348-1_3_1_1,"""Wusa Raya and his dog's tomb, this man is a Yan Yun person. Trapped in the Secret Chamber with his beloved dog, the smell of blood from his wounds aroused the dog's appetite, and the man and the dog fought each other, both dying in the martial tomb.""","""สุสานของอู๋ซาเหร่อและสุนัขของมัน คนผู้นี้เป็นชาวแคว้นเยียนหยุน ถูกขังอยู่ในห้องลับพร้อมกับสุนัขคู่ใจ เนื่องจากได้รับบาดเจ็บมีเลือดไหลออกมา กลิ่นของเลือดกระตุ้นความอยากอาหารของสุนัข คนและสุนัขต่อสู้กันจนตายทั้งคู่ในสุสานยุทธ์นี้"""
M2348-1_3_2_1,"""The tomb of Zhong Yangzi, the head of the Taoist Sect. He tried to understand the Taoist tomb but failed, and died because of his strong resistance to Yin and Yang.""","""สุสานของฉงหยางสื่อ ประมุขแห่งสำนักเต๋า พยายามทำความเข้าใจสุสานเต๋าแต่ไม่สำเร็จ ฝืนลิขิตฟ้าดินจนถึงแก่ความตาย"""
M2348-1_4_1_1,"""The tomb of He Gao Fu, a man from the southeast. In the past, he twisted right and wrong, misjudged cases. Today, under my judgment, he cut out his own heart and liver for Yuan Wen Zi and died.""","""สุสานของเหอเกาฝู่ คนผู้นี้เป็นชาวตะวันออกเฉียงใต้ เมื่อครั้งยังมีชีวิตได้บิดเบือนความถูกต้อง ตัดสินคดีอย่างอยุติธรรม บัดนี้ภายใต้การพิพากษาของข้า เขาได้คว้านหัวใจและตับของตนเองมอบให้หยวนเหวินจื่อแล้วจึงสิ้นใจลง"""
M2348-1_4_1_2,The actions of this great hero... don't seem like a righteous hero at all?,การกระทำของจอมยุทธ์ผู้ยิ่งใหญ่นี้... เหตุใดจึงไม่เหมือนจอมยุทธ์ผู้ผดุงคุณธรรมเลยสักนิด?
M2348-1_4_2_1,"Humph, how can a righteous hero practice and study magic skills?",ฮึ่ม! จอมยุทธ์ผู้ผดุงคุณธรรมจะฝึกฝนวิชามารได้อย่างไรกัน?
M2348-1_4_3_1,"""The tomb of Hui Yuan, the head of Shifa Temple. He tried to understand the Buddha's tomb but failed, and died in obsession, hearing the Buddha's reprimand, and scared witless.""","""สุสานของฮุ่ยหยวน เจ้าอาวาสแห่งอารามซื่อฟา พยายามทำความเข้าใจสุสานพุทธองค์แต่ไม่สำเร็จ จิตใจว้าวุ่นจนเข้าสู่ห้วงมาร ได้ยินเสียงพระพุทธองค์ตำหนิ หัวใจและตับแตกสลายจนถึงแก่ความตาย"""
M2348-1_4_3a_1,Hearing Buddha's rebuke? This story sounds incredibly amazing!,ได้ยินเสียงพระพุทธองค์ตำหนิหรือ? เรื่องราวนี้ฟังดูพิสดารพันลึกยิ่งนัก!
M2348-1_4_3a_2,This... isn't it cursing Hui Yuan Abbot? Why do you seem to enjoy it?,นี่... นี่มันไม่ใช่การสาปแช่ง ท่านเจ้าอาวาสฮุ่ยหยวนหรอกหรือ? เหตุใดเจ้าถึงดูชอบใจเช่นนั้นเล่า?
M2348-1_4_3a_3,"Monks walk uprightly, sit uprightly, naturally not afraid of such boring curses, but this ""Hearing Buddha's rebuke"" is much more interesting than the stories in the Buddhist scriptures!","ผู้ทรงศีลย่อมกระทำแต่ความดีงาม ไม่เกรงกลัวต่อคำสาปแช่งไร้สาระเช่นนี้ แต่เรื่อง ""ได้ยินเสียงพุทธองค์ตำหนิ"" นี่ช่างน่าสนใจยิ่งกว่าเรื่องราวในพระไตรปิฎกเสียอีก!"
M2348-1_5_1_1,"""The tomb of Yuan Wen Zi, a man from Zhongzhou. In pursuit of immortality, he studied the Taoist scriptures. He intended to combine the wonders of external and internal alchemy, but ended up taking human organs into the alchemy furnace, a grave mistake with a heavy blood debt.""","""สุสานของหยวนเหวินจื่อ ชายผู้มาจากแผ่นดินจงโจว เพื่อแสวงหาความเป็นเซียน จึงทุ่มเทอ่านคัมภีร์เต๋าจนบรรลุ หวังหลอมรวมเคล็ดลับโอสถภายนอกและโอสถภายในเข้าด้วยกัน แต่กลับหลงผิดควักอวัยวะภายในของผู้คนมาหลอมในเตาโอสถ ก่อกรรมทำเข็ญนองเลือด"""
M2348-1_5_1_2,"""Listen to my words, think that you can become an immortal, grateful and tearful, throw yourself into the alchemy furnace, and die in the fire.""","""เมื่อได้ฟังคำพูดของข้า ก็หลงเข้าใจผิดคิดว่าตนเองจะได้บรรลุความเป็นเซียน เกิดความซาบซึ้งใจจนน้ำตาไหลพราก จากนั้นจึงกระโดดเข้าเตาหลอมโอสถ ถูกเผาไหม้จนถึงแก่ความตาย"""
M2348-1_5_1_3,"This great hero's mouth is really powerful, he actually persuaded this villain to throw himself into the alchemy furnace and die, and before he died, he thanked the great hero for pointing out the way to become an immortal.",คารมของจอมยุทธ์ผู้ยิ่งใหญ่ผู้นี้ช่างร้ายกาจยิ่งนัก ถึงกับใช้เพียงวาจาหว่านล้อมให้คนชั่วผู้นั้นกระโดดลงเตาหลอมโอสถตายเองได้ แถมก่อนสิ้นใจยังเอ่ยขอบคุณที่ชี้แนะหนทางสู่ความเป็นเซียนอีกด้วย
M2348-1_5_2_1,This combination of external and internal alchemy sounds really weird... The so-called external alchemy is to throw various metals and minerals into the alchemy furnace.,การหลอมรวมโอสถภายนอกและโอสถภายในเข้าด้วยกันนี้ฟังดูพิสดารยิ่งนัก... โอสถภายนอกที่ว่านั้นคือการนำแร่ธาตุต่างๆ เช่น ทองคำ กำมะถัน และปรอท มาใส่ไว้ในเตาหลอมโอสถ
M2348-1_5_2_2,"The so-called internal alchemy is to regard the human body as a furnace, the human body's meridians as the channels of internal alchemy, and condense the ""essence"", ""qi"", and ""spirit"" into a pill. In fact, it's just a health practice.","โอสถภายในที่ว่านั้น คือการมองร่างกายมนุษย์เป็นเหมือนเตาหลอม มองเส้นลมปราณในร่างกายเป็นเส้นทางของการฝึกฝนโอสถภายใน แล้วนำ ""แก่นแท้"" ""ลมปราณ"" และ ""จิตวิญญาณ"" มาหลอมรวมกันเป็นโอสถ พูดง่ายๆ ก็คือเคล็ดวิชาบำรุงรักษาสุขภาพนั่นเอง"
M2348-1_5_2_3,"To combine these two and come up with the terrifying act of dissecting human organs and throwing them into the furnace in order to refine the pill, this Yuan Wenzi is also a big devil...",การนำโอสถภายนอกและโอสถภายในมาผสมผสานกันจนเกิดการกระทำอันน่าหวาดกลัวอย่างการผ่าเครื่องในมนุษย์แล้วนำไปใส่ในเตาหลอมเพื่อปรุงโอสถนั้น หยวนเหวินจื่อผู้นี้ก็เป็นจอมมารตัวเอ้เช่นกัน...
M2348-1_5_3_1,What does this external and internal alchemy mean?,โอสถภายนอก โอสถภายใน นี่มันหมายความว่าอะไรกันแน่?
M2348-1_5_3_2,The so-called external alchemy is to throw various metals and minerals into the alchemy furnace.,ที่เรียกกันว่าโอสถภายนอก ก็คือการนำแร่ธาตุต่างๆ เช่น ทอง หิน ปรอท ใส่ลงในเตาหลอมโอสถนั่นเอง
M2348-1_5_3_3,"The so-called internal alchemy is to regard the human body as a furnace, the human body's meridians as the channels of internal alchemy, and condense the ""essence"", ""qi"", and ""spirit"" into a ""golden pill"", which is left in the body.",โอสถภายในที่กล่าวขานกันนั้นไซร้ ก็คือการมองร่างกายเป็นดั่งเตาหลอมโอสถ มองเส้นลมปราณเป็นเส้นทางแห่งการบ่มเพาะ หลอมรวมพลังหยิน พลังปราณ และจิตวิญญาณให้กลายเป็นโอสถทองคำ เก็บไว้ในร่างกาย
M2348-1_5_3_4,"This Yuan Wenzi had a wild idea, combining the two, thinking of dissecting human organs, throwing them into the furnace, in order to refine the pill, it is really infuriating to both humans and gods, this kind of end is really karma!",หยวนเหวินจื่อผู้นี้ช่างเพ้อฝัน เอาแนวคิดทั้งสองมาผสมกัน คิดแผนการอันน่าสะพรึงกลัวอย่างการผ่าเครื่องในมนุษย์ใส่ลงในเตาหลอมโอสถหวังปรุงโอสถวิเศษ ช่างเป็นการกระทำที่ฟ้าดินพิโรธ จุดจบเช่นนี้ สมแล้วที่เป็นวัฏจักรแห่งกรรม!
M2348-1_5_4_1,What does this external and internal alchemy mean?,โอสถภายนอก โอสถภายใน นี่มันหมายความว่าอะไรกันแน่?
M2348-1_5_4_2,"Confused, aren't you? Actually, I only understand it roughly myself. That external elixir, it's made by throwing various metals and minerals into a furnace. But consuming it can easily lead to poisoning, so we Taoist Sect don't mess with it anymore.",ไม่เข้าใจใช่ไหมล่ะ? จริงๆ แล้วกระบี่เฒ่าผู้นี้ก็พอจะเข้าใจอยู่บ้าง โอสถภายนอกที่ว่านั้นคือการนำแร่ธาตุต่างๆ เช่น ทองคำ หิน ตะกั่ว และปรอท มาใส่ในเตาหลอม แต่การกินโอสถภายนอกนั้นง่ายต่อการถูกพิษ สำนักเต๋าของเราจึงไม่ทำเรื่องเช่นนี้แล้ว
M2348-1_5_4_3,"In plain terms, internal elixir is just a health cultivation technique, treating the human body as a furnace and condensing ""essence"", ""energy"", and ""spirit"" into a ""golden elixir"".",โอสถภายในพูดง่ายๆ ก็คือวิชาบำรุงชีวิต มองร่างกายเป็นเตาหลอมโอสถ หลอมรวมพลังหยิน พลังปราณ และจิตวิญญาณให้กลายเป็นโอสถทองคำ
M2348-1_5_4_4,"I don't know if this Yuan Wenzi has damaged his brain by consuming external elixirs, combining the two and coming up with the idea of dissecting human organs and throwing them into a furnace in an attempt to refine elixirs, causing the death of so many people. Such an end is truly the wheel of karma!",หยวนเหวินจื่อผู้นี้ ไม่รู้ว่ากินโอสถภายนอกมากไปจนสมองกลวงหรือเปล่า นำทั้งสองสิ่งนี้มารวมกัน คิดการผ่าเครื่องในมนุษย์ใส่ลงในเตาหลอม เพื่อปรุงโอสถ ทำให้ผู้คนมากมายต้องตาย จุดจบเช่นนี้ช่างเป็นวัฏจักรแห่งกรรมที่แท้จริง!
M2348-1_5_5_1,"""The living tomb of Cai Yuanchang, the head of the Confucius Temple, who was greedy for the art of longevity, succeeded, and was forever trapped in the tomb of longevity.""","""สุสานคนเป็นของไช่หยวนฉาง ประมุขแห่งวัดขงจื๊อ โลภโมโทสันฝึกวิชาอมตะ เมื่อสำเร็จวิชาแล้ว กลับต้องถูกจองจำอยู่ในสุสานอมตะนั้นชั่วนิรันดร์"""
M2348-1_5_5_2,"What's going on? Could the art of Longevity here be real? But it's said that once mastered, one is forever trapped in the Tomb of Longevity. Is there some mystery to this?",เกิดอะไรขึ้น? หรือว่าศาสตร์ชีวิตนิรันด์ของที่นี่จะเป็นของจริง? แต่ก็บอกว่าร่ำเรียนสำเร็จแล้ว กลับต้องถูกจองจำอยู่ในสุสานอมตะตลอดไป มันต้องมีปริศนาอะไรซ่อนอยู่แน่ๆ!
M2348-1_6_1_1,"""The tomb of Miao Shang Er, a man from the southwestern Jiuli. On the surface a traveling merchant, but wherever he went, he spread plague. When I cornered him, we fought with poison, and he lost and died.""","""สุสานของเมียวซังเอ่อร์ คนผู้นี้มาจากเผ่าจิวลี่แห่งแดนตะวันตกเฉียงใต้ เบื้องหน้าเป็นเพียงพ่อค้าที่เดินทางไปทั่ว แต่แท้จริงแล้วที่ใดที่มันไปเยือน ล้วนแพร่กระจายโรคระบาด เมื่อข้าไล่ตามมันจนถึงทางตัน มันได้ต่อสู้กับข้าด้วยพิษ แต่พ่ายแพ้และถึงแก่ความตาย"""
M2348-1_6_1_2,"The great hero is actually proficient in toxicology, truly remarkable, truly remarkable.",จอมยุทธ์ผู้ยิ่งใหญ่ผู้นี้ยังเชี่ยวชาญศาสตร์พิษอีกด้วย ช่างน่าทึ่ง น่าทึ่งยิ่งนัก
M2348-1_6_2_1,"""The tomb of Jian Chi, the head of the Langya Sword Pavilion, who failed to comprehend the sword tomb and died in a fight with his inner demons.""","""สุสานของมารกระบี่ ประมุขแห่งศาลากระบี่หลางหยา พยายามทำความเข้าใจสุสานกระบี่แต่ไม่สำเร็จ ต่อสู้กับจิตมารจนถึงแก่ความตาย"""
M2348-1_6_2_2,"This reason feels like it was made up on the spot, just to get it over with...",เหตุผลนี้ฟังดูเหมือนแต่งเรื่องไม่ทัน เลยรีบๆ เขียนให้ผ่านๆ ไป...
M2348-1_7_1_1,"""The tomb of Ming Xiao Sheng, a man from Xiangfan. Born with the ability to read minds, he could read the hearts of those in front of him. He liked to spread rumors and disrupt order, leading people astray and ruining their lives.""","""สุสานของหมิงเสี่ยวเซิง คนผู้นี้เป็นชาวเซียงฝาน มีความสามารถในการอ่านใจตั้งแต่เกิด สามารถอ่านใจผู้คนตรงหน้าได้ ชอบปล่อยข่าวลือยุแหย่ ก่อความวุ่นวายในระเบียบสังคม หรือล่อลวงผู้อื่นให้กระทำผิด ทำลายชีวิตผู้อื่น"""
