﻿BuffEffect_OnEnable,{0} gains <#00FF00>{1}</color> status,{0} ได้รับ สถานะ <#00FF00>{1}</color> 
BuffInfo_伙伴特征风情万种,"Within a 2-tile range of yourself, the Action Speed of male enemy characters is reduced by 10%."
BuffInfo_伙伴特征风情万种_光环附属1,Action Speed is reduced by 10%.
BuffInfo_伙伴特征生财有道,"After joining the protagonist's team, you can earn 1 Coin per day if you are not bonded with the protagonist, and 5 Coins per day if you are bonded with the protagonist."
BuffInfo_伙伴特征燕国郡主,"When attacking, for each level your Fame is higher than the opponent's, the final Damage increases by 5%."
BuffInfo_伙伴特征杀伐果决,"<#29F161>Critical hit chance increases by 10%</color>, when triggering a critical hit, <#29F161>critical hit increases damage by 15%</color>."
BuffInfo_伙伴特征杀敌立威,"During battle, for each enemy killed, you gain an additional 15 points of Spirit."
BuffInfo_伙伴特征窈窕淑女,"Within a 2-tile range of yourself, the Action Speed of male ally characters is increased by 10%."
BuffInfo_伙伴特征窈窕淑女_光环附属1,Action Speed is increased by 10%.
BuffInfo_伙伴特征花中魁首,"After entering the battle, for each additional female teammate on your side, your <#29F161>Action Speed increases by 3%</color>, <#29F161>final Increases Damage by 5%</color>, with a maximum Action Speed increase of 12%, and a maximum final damage increase of 20%."
BuffInfo_伙伴特征断情绝欲,"It's not easy to improve Relations, the effect of Gift is reduced by 50%."
BuffInfo_伙伴特征天籁妙音,"When attacking, for every 10 points higher your Musical is than the opponent's, <#29F161>final Increases Damage by 1%</color>."
BuffInfo_伙伴特征此恨绵绵,"When attacking males and receiving Spirit from male attacks, the Spirit gained increases by 100%."
BuffInfo_伙伴特征绝代风华,"After entering the battle, for each additional female teammate on your side, your <#29F161>Action Speed increases by 5%</color>, <#29F161>final Increases Damage by 10%</color>, with a maximum Action Speed increase of 20%, and a maximum final damage increase of 40%."
BuffInfo_伙伴特征听声辩位,"<#29F161>Accuracy increases by 50%</color>, Blind Immunity."
BuffInfo_伙伴特征以小博大,"When attacking, for every 1 level lower your Level is than the opponent's, <#29F161>Critical increases by 1%</color>, <#29F161>Critical Increases Damage by 0.5%</color>."
BuffInfo_伙伴特征输赢天定,"When attacking, there is a 50% chance of final Increases Damage by 50%, and a 50% chance of receiving 10% Reflect effect from the damage of this attack."
BuffInfo_伙伴特征九黎之主,"After the first action, 3 lizards appear on the field to assist in the battle."
BuffInfo_伙伴特征养蛊为患,"When attacking the enemy, it carries 10 points of Poisoned, and you will also get 10 points of Poisoned."
BuffInfo_伙伴特征精研毒术,Toxicology limit is 350.
BuffInfo_伙伴特征酒酣尽兴,"When in the ""exhilarated"" state, triggering Critical will <#29F161>increase Critical Damage by 15%</color>, and cause <#FE2929>5 points of Internal Injury</color> to the enemy."
BuffInfo_伙伴特征战意盎然,"Upon entering battle, <#29F161>initial Spirit is 100</color>."
BuffInfo_伙伴特征古之恶来,"Upon entering battle, <#29F161>initial Spirit is 50</color>, and Spirit <#29F161>increases by 100%</color>."
BuffInfo_伙伴特征目盲耳聪,"<#29F161>Accuracy increases by 50%</color>, Blind Immunity."
BuffInfo_血气方刚,"Strong body, full of vitality. <#29F161>Max HP increases by 15%</color>."
BuffInfo_聪颖过人,"Like a sudden enlightenment, as if guided by a sage, all problems are easily solved, <#29F161>the experience required to learn martial arts is reduced by 30%, and the MP loss when using external skills is reduced by 20%</color>."
BuffInfo_好事成双,"It's like being favored by the two elders of fortune and prosperity, a lucky star falling from the sky! <#29F161>There is a 25% chance to drop an extra item when killing an enemy</color>."
BuffInfo_先发制人,"Agile and quick, always taking the initiative in any situation, <#29F161>each action starts accumulating energy from 100</color>."
BuffInfo_以力破巧,"Overpowering, any technique is worthless in front of absolute power. <#29F161>Final damage increases by 15%</color>."
BuffInfo_人畜无害,"You are benevolent and merciful, not even willing to step on an ant, like a Buddha in the world, saving all beings. <#29F161>Non-boss wild animals in the wild will not attack you actively</color>."
BuffInfo_恶名赫赫,"You are notorious, causing unrest wherever you go, even children dare not cry at the sound of your name. <#29F161>When you do evil, non-boss characters who are 15 levels below you will run away</color>."
BuffInfo_义薄云天,"Your righteousness is well-known, you would risk your life for your friends, everyone in the martial arts world wants to befriend you. When improving relations with other characters, <#29F161>an additional 25% increase</color>."
BuffInfo_见利忘义1,"Righteous? Friends? How much are these things worth? It's most important to benefit yourself! <#29F161>The EXP gained from killing the opponent in battle is doubled, but the EXP gained by teammates is halved</color>."
BuffInfo_见利忘义2,"Suffering from injustice, <#29F161>the EXP gained from killing the opponent in battle is halved</color>."
BuffInfo_彬彬有礼,"You are courteous in your actions, always leaving a good first impression. <#29F161>When meeting a non-enemy character for the first time, the relations value increases by an additional 20</color>."
BuffInfo_无礼之徒,"You are unconventional, acting in a strange and unrestrained manner, it's extremely difficult to gain others' approval. <#29F161>The effect of gifts is only one-tenth of the normal situation</color>."
BuffInfo_童叟无欺,"In business, honesty is the foundation, only your sincerity can exchange for truly valuable things. <#29F161>When trading, the value of our items increases by 50%</color>."
BuffInfo_以次充好,"Trustworthy? Only fools talk about trustworthiness! This stone of mine is the essence of the sun and the moon, not just picked up from the roadside, selling it for 10 guan is not too much, right? <#29F161>The price of items sold increases by 50%</color>."
BuffInfo_万夫之勇1,"You are full of courage, even if there are millions of enemies, you dare to stand on the front line. Your posture encourages everyone around you, <#29F161>all allies' final damage increases by 15%</color>."
BuffInfo_万夫之勇2,"Inspired by you, they fight more bravely, <#29F161>final damage increases by 15%</color>."
BuffInfo_狐假虎威,"You always stand with your friends against strong enemies, but in fact, you can't wait to run away. <#29F161>For each surviving teammate in battle, your damage increases by 15%</color>."
BuffInfo_七窍玲珑,"Extremely smart? Unparalleled insight? No, no, no, these can no longer describe you, you must be the legendary Wenchu Star reincarnated! <#29F161>Intelligence+2</color>."
BuffInfo_傻人傻福,"People say that fools have their own luck. Although you don't understand what this means, you only know that good things always happen to you and you live happily every day. <#29F161>Luck+2</color>."
BuffInfo_震山拳套buff1,Cause <#FE2929>8 points of internal injury</color> to the enemy when attacking.
BuffInfo_铁虎爪buff1,Reduce the enemy's <#FE2929>25 points of energy</color> when attacking.
BuffInfo_奔雷铁手buff1,<#29F161>Final damage increases by 10%</color> when attacking.
BuffInfo_幽冥拳套buff1,Cause <#FE2929>8 points of poison damage</color> to the enemy when attacking.
BuffInfo_金刚护手buff1,Gain an extra <#29F161>5 points of spirit</color> when attacking the enemy.
BuffInfo_寒铁拳套buff1,"When attacking the enemy from the side, <#29F161>combo rate increases by 5%</color>."
BuffInfo_昆仑buff1,Gain an extra <#29F161>10 points of spirit</color> when attacking the enemy.
BuffInfo_昆仑buff2,"During Attack, reduce the enemy's <#FE2929>energy by 75 points</color>."
BuffInfo_降龙buff1,"Trigger critical hit when attacking, <#29F161>critical damage increases by 30%</color>."
BuffInfo_降龙buff2,Cause <#FE2929>15 points of internal injury</color> to the enemy when attacking.
BuffInfo_乾坤buff1,"When attacking the enemy from the side, <#29F161>combo rate increases by 15%</color>."
BuffInfo_乾坤buff2,"When attacking the enemy from the side, there is a 25% chance to trigger <#FE2929>Disable technique</color> effect [<#F3DE99>Disable technique: Unable to use martial arts and special moves</color>]."
BuffInfo_开明buff1,<#29F161>Final damage increases by 25%</color> when attacking.
BuffInfo_开明buff2,Gain an extra <#29F161>10 points of spirit</color> when attacking the enemy.
BuffInfo_少昊buff1,<#29F161>10% of the damage dealt to the enemy will be converted into your own HP</color> when attacking.
BuffInfo_少昊buff2,Cause <#FE2929>15 points of seal</color> to the enemy when attacking.
BuffInfo_北冥buff1,Absorb <#29F161>5% of the enemy's remaining MP</color> each time you attack.
BuffInfo_北冥buff2,"During Attack, reduce the enemy's <#FE2929>energy by 75 points</color>."
BuffInfo_青罡剑buff1,Gain an extra <#29F161>5 points of spirit</color> when attacking the enemy.
BuffInfo_倚天剑buff1,Cause <#FE2929>8 points of blindness</color> to the enemy when attacking.
BuffInfo_青冥剑buff1,<#29F161>Final damage increases by 10%</color> when attacking.
BuffInfo_承影剑buff1,Reduce the enemy's <#FE2929>25 points of energy</color> when attacking.
BuffInfo_百炼剑buff1,Cause <#FE2929>8 points of bleeding</color> to the enemy when attacking.
BuffInfo_龙渊剑buff1,"When attacking the enemy from the back, <#29F161>combo rate increases by 5%</color>."
BuffInfo_干将buff1,Gain an extra <#29F161>10 points of spirit</color> when attacking the enemy.
BuffInfo_干将buff2,Inflict <#FE2929>15 points of Bleeding</color> on the enemy during an Attack.
BuffInfo_含光buff1,There is a 25% chance of inflicting a <#FE2929>Vulnerable</color> effect on the enemy during an Attack【<#F3DE99>Vulnerable: Guaranteed to be Critical when Attacked</color>】.
BuffInfo_含光buff2,There is a 50% chance of reducing the enemy's <#FE2929>150 points of Qi accumulation</color> during an Attack.
BuffInfo_鱼肠buff1,"When performing a Back attack on the enemy, your own <#29F161>Combo rate increases by 15%</color>."
BuffInfo_鱼肠buff2,Inflict <#FE2929>15 points of Bleeding</color> on the enemy during an Attack.
BuffInfo_轩辕buff1,"When performing a Side attack on the enemy, your own <#29F161>Combo rate increases by 15%</color>."
BuffInfo_轩辕buff2,"When performing a Side attack on the enemy, there is a 25% chance of inflicting a <#FE2929>Cut tendon</color> effect【<#F3DE99>Cut tendon: Movement Range reduced by 3 squares</color>】."
BuffInfo_九凤buff1,<#29F161>Final damage increases by 25%</color> when attacking.
BuffInfo_九凤buff2,"During Attack, reduce the enemy's <#FE2929>energy by 75 points</color>."
BuffInfo_巨阙buff1,"When an Attack triggers a Critical, <#29F161>Critical damage increases by 30%</color>."
BuffInfo_巨阙buff2,Cause <#FE2929>15 points of internal injury</color> to the enemy when attacking.
BuffInfo_大石剑buff1,"For non-boss Characters below your level by 10, there is a 10% chance of triggering <#29F161>Instant death</color>."
BuffInfo_大石剑buff2,"When using martial arts, MP Cost <#29F161>increases by 200%</color>."
BuffInfo_碎宇刀buff1,"When an Attack triggers a Critical, <#29F161>Critical damage increases by 10%</color>."
BuffInfo_冷艳锯buff1,<#29F161>Final damage increases by 10%</color> when attacking.
BuffInfo_绣春刀buff1,"When performing a Side attack on the enemy, your own <#29F161>Combo rate increases by 5%</color>."
BuffInfo_太乙刀buff1,Gain an extra <#29F161>5 points of spirit</color> when attacking the enemy.
BuffInfo_修罗刀buff1,Cause <#FE2929>8 points of bleeding</color> to the enemy when attacking.
BuffInfo_绿露刀buff1,Cause <#FE2929>8 points of poison damage</color> to the enemy when attacking.
BuffInfo_玄铁菜刀buff1,"When attacking, cause <#FE2929>10 points of Bleeding</color> to the enemy."
BuffInfo_大夏龙雀buff1,"When an Attack triggers a Critical, <#29F161>Critical damage increases by 25%</color>."
BuffInfo_大夏龙雀buff2,Inflict <#FE2929>15 points of Bleeding</color> on the enemy during an Attack.
BuffInfo_犬神刀buff1,Inflict <#FE2929>15 points of Blinded</color> on the enemy during an Attack.
BuffInfo_犬神刀buff2,"When performing a Back attack on the enemy, there is a 25% chance of inflicting a <#FE2929>Cut tendon</color> effect【<#F3DE99>Cut tendon: Movement Range reduced by 3 squares</color>】."
BuffInfo_龙牙刀buff1,"When performing a Back attack on the enemy, your own <#29F161>Combo rate increases by 15%</color>."
BuffInfo_龙牙刀buff2,Reduce the enemy's <#FE2929>50 points of Qi accumulation</color> during an Attack.
BuffInfo_昆吾buff1,Gain an extra <#29F161>10 points of spirit</color> when attacking the enemy.
BuffInfo_昆吾buff2,There is a 50% chance of reducing the enemy's <#FE2929>150 points of Qi accumulation</color> during an Attack.
BuffInfo_应龙buff1,"When performing a Side attack on the enemy, there is a <#29F161>25% chance to Pierce the enemy's armor</color>."
BuffInfo_应龙buff2,<#29F161>Final damage increases by 25%</color> when attacking.
BuffInfo_刑天buff1,<#29F161>10% of the damage dealt to the enemy will be converted into your own HP</color> when attacking.
BuffInfo_刑天buff2,Inflict <#FE2929>15 points of Bleeding</color> on the enemy during an Attack.
BuffInfo_梨花枪buff1,Inflict <#FE2929>8 points of Sealed</color> on the enemy during an Attack.
BuffInfo_霸王枪buff1,Damage is additionally <#29F161>increased by 10%</color> during an Attack.
BuffInfo_沥泉枪buff1,There is a <#29F161>25% chance to Pierce the enemy's armor</color> during an Attack.
BuffInfo_沥泉枪buff2,"When an Attack triggers a Critical, this Attack's <#29F161>Combo increases by 15%</color>."
BuffInfo_句芒buff1,"When an Attack triggers a Critical, <#29F161>Critical damage increases by 30%</color>."
BuffInfo_句芒buff2,Gain an extra <#29F161>10 points of spirit</color> when attacking the enemy.
BuffInfo_勾陈buff1,Damage is additionally <#29F161>increased by 20%</color> during an Attack.
BuffInfo_勾陈buff2,Cause <#FE2929>15 points of seal</color> to the enemy when attacking.
BuffInfo_混沌buff1,"When performing a Side attack on the enemy, your own <#29F161>Combo rate increases by 15%</color>."
BuffInfo_混沌buff2,Reduce the enemy's <#FE2929>50 points of Qi accumulation</color> during an Attack.
BuffInfo_盘龙棍buff1,Damage is additionally <#29F161>increased by 10%</color> during an Attack.
BuffInfo_齐天棍buff1,Cause <#FE2929>8 points of internal injury</color> to the enemy when attacking.
BuffInfo_囚龙柱buff1,Reduce the enemy's <#FE2929>25 points of energy</color> when attacking.
BuffInfo_烛阴buff1,"When an Attack triggers a Critical, <#29F161>Critical damage increases by 30%</color>."
BuffInfo_烛阴buff2,There is a 25% chance of inflicting a <#FE2929>Broken bone</color> effect on the enemy during an Attack【<#F3DE99>Broken bone: Attack damage is further reduced by 15%</color>】.
BuffInfo_穷奇buff1,Damage is additionally <#29F161>increased by 20%</color> during an Attack.
BuffInfo_穷奇buff2,"There is a 25% chance of inflicting an <#FE2929>Unconscious</color> effect on the enemy during an Attack【<#F3DE99>Unconscious: Unable to act, guaranteed to be Critical when Attacked</color>】."
BuffInfo_亮银锤buff1,"When attacking, for every point your Strength is higher than the opponent's, <#29F161>Attack increases damage by 3%</color>."
BuffInfo_大铁锤buff1,"When used by Wang Dachui, <#29F161>final damage increases by 15%</color>, when used by others, <#FE2929>final damage decreases by 50%</color>."
BuffInfo_大铁锤buff2,"For every point of Strength when attacking, <#29F161>damage increases by 1%</color>."
BuffInfo_西江月buff1,Damage is additionally <#29F161>increased by 10%</color> during an Attack.
BuffInfo_满江红buff1,Gain an extra <#29F161>5 points of spirit</color> when attacking the enemy.
BuffInfo_破阵子buff1,Reduce the enemy's <#FE2929>25 points of energy</color> when attacking.
BuffInfo_定风波buff1,"When attacking, triggers Critical, <#29F161>Critical damage increases by 15%</color>."
BuffInfo_浪淘沙buff1,Cause <#FE2929>8 points of internal injury</color> to the enemy when attacking.
BuffInfo_卜算子buff1,Cause <#FE2929>8 points of bleeding</color> to the enemy when attacking.
BuffInfo_祝融buff1,"When an Attack triggers a Critical, <#29F161>Critical damage increases by 25%</color>."
BuffInfo_祝融buff2,"During Attack, reduce the enemy's <#FE2929>energy by 75 points</color>."
BuffInfo_夸父buff1,Gain an extra <#29F161>10 points of spirit</color> when attacking the enemy.
BuffInfo_夸父buff2,"When performing a Side attack on the enemy, there is a <#29F161>25% chance to Pierce the enemy's armor</color>."
BuffInfo_青丘buff1,"When performing a Side attack on the enemy, your own <#29F161>Combo rate increases by 15%</color>."
BuffInfo_青丘buff2,Gain an extra <#29F161>10 points of spirit</color> when attacking the enemy.
BuffInfo_飞来梭buff1,"When attacking, triggers Critical, <#29F161>Critical damage increases by 15%</color>."
BuffInfo_流云锥buff1,Gain an extra <#29F161>5 points of spirit</color> when attacking the enemy.
BuffInfo_孤星刺buff1,"When attacking the enemy's side, your <#29F161>Combo rate increases by 8%</color>."
BuffInfo_飞影匕buff1,Damage is additionally <#29F161>increased by 10%</color> during an Attack.
BuffInfo_织女梭buff1,Cause <#FE2929>8 points of blindness</color> to the enemy when attacking.
BuffInfo_残雪刺buff1,"When attacking the enemy's back, your <#29F161>Combo rate increases by 8%</color>."
BuffInfo_嘲风buff1,"When performing a Back attack on the enemy, there is a 25% chance of inflicting a <#FE2929>Cut tendon</color> effect【<#F3DE99>Cut tendon: Movement Range reduced by 3 squares</color>】."
BuffInfo_嘲风buff2,Cause <#FE2929>8 points of bleeding</color> to the enemy when attacking.
BuffInfo_精卫buff1,"When attacking the enemy's back, there's a 25% chance to inflict <#FE2929>Frozen</color> effect【<#F3DE99>Frozen: Action Speed decreases by 15%</color>】."
BuffInfo_精卫buff2,"During Attack, reduce the enemy's <#FE2929>energy by 75 points</color>."
BuffInfo_睚眦buff1,"When performing a Side attack on the enemy, your own <#29F161>Combo rate increases by 15%</color>."
BuffInfo_睚眦buff2,"When performing a Side attack on the enemy, there is a <#29F161>25% chance to Pierce the enemy's armor</color>."
BuffInfo_鸡距buff1,Inflict <#FE2929>8 points of Sealed</color> on the enemy during an Attack.
BuffInfo_鹿毛buff1,Cause <#FE2929>8 points of internal injury</color> to the enemy when attacking.
BuffInfo_龙须buff1,Gain an extra <#29F161>5 points of spirit</color> when attacking the enemy.
BuffInfo_麟角buff1,Damage is additionally <#29F161>increased by 10%</color> during an Attack.
BuffInfo_太虚buff1,"When attacking the enemy's side, there's a 25% chance to inflict <#FE2929>Disarm</color> effect【<#F3DE99>Disarm: Weapon attributes and effects are nullified</color>】."
BuffInfo_太虚buff2,Cause <#FE2929>15 points of seal</color> to the enemy when attacking.
BuffInfo_玄黄buff1,Damage is additionally <#29F161>increased by 20%</color> during an Attack.
BuffInfo_玄黄buff2,"During Attack, reduce the enemy's <#FE2929>energy by 75 points</color>."
BuffInfo_洪荒buff1,"When attacking, there's a 25% chance to inflict <#FE2929>Disable technique</color> effect【<#F3DE99>Disable technique: Unable to use martial arts and special moves</color>】."
BuffInfo_洪荒buff2,"When attacking, there's a 25% chance to inflict <#FE2929>Internal break</color> effect【<#F3DE99>Internal break: Unable to trigger Main Internal effect</color>】."
BuffInfo_春雷buff1,Cause <#FE2929>8 points of internal injury</color> to the enemy when attacking.
BuffInfo_焦尾buff1,Reduce the enemy's <#FE2929>25 points of energy</color> when attacking.
BuffInfo_绿绮buff1,Inflict <#FE2929>8 points of Sealed</color> on the enemy during an Attack.
BuffInfo_绕梁buff1,"When attacking, there's a 25% chance to reduce the enemy's <#FE2929>125 energy points</color>."
BuffInfo_绕梁buff2,"When attacking, there's a 25% chance to inflict <#FE2929>Internal break</color> effect【<#F3DE99>Internal break: Unable to trigger Main Internal effect</color>】."
BuffInfo_号钟buff1,"When attacking, there's a 25% chance to inflict <#FE2929>Confuse</color> effect【<#F3DE99>Confuse: Attack damage fluctuates between 50% and 100%</color>】."
BuffInfo_号钟buff2,Cause <#FE2929>15 points of internal injury</color> to the enemy when attacking.
BuffInfo_囚牛buff1,There is a <#29F161>25% chance to Pierce the enemy's armor</color> during an Attack.
BuffInfo_囚牛buff2,"When attacking, there's a 25% chance to inflict <#FE2929>Energy loss</color> effect【<#F3DE99>Energy loss: Each action reduces current MP by 5%</color>】."
BuffInfo_枉凝眉Buff1,Cause <#FE2929>8 points of internal injury</color> to the enemy when attacking.
BuffInfo_关山月Buff1,Reduce the enemy's <#FE2929>25 points of energy</color> when attacking.
BuffInfo_冷沧浪Buff1,Inflict <#FE2929>8 points of Sealed</color> on the enemy during an Attack.
BuffInfo_有凤来仪buff1,"When attacking, there's a 25% chance to inflict <#FE2929>Energy loss</color>."
BuffInfo_有凤来仪buff2,Cause <#FE2929>15 points of internal injury</color> to the enemy when attacking.
BuffInfo_碧海潮声buff1,"When attacking, there's a 25% chance to inflict <#FE2929>Unconscious</color>."
BuffInfo_碧海潮声buff2,"During Attack, reduce the enemy's <#FE2929>energy by 75 points</color>."
BuffInfo_笑傲江湖buff1,"When attacking, there's a 25% chance to inflict <#FE2929>Confuse</color> effect【<#F3DE99>Confuse: Attack damage fluctuates between 50% and 100%</color>】."
BuffInfo_笑傲江湖buff2,Cause <#FE2929>15 points of seal</color> to the enemy when attacking.
BuffInfo_双凤琵琶Buff1,Gain an extra <#29F161>5 points of spirit</color> when attacking the enemy.
BuffInfo_绕殿雷Buff1,Reduce the enemy's <#FE2929>25 points of energy</color> when attacking.
BuffInfo_烧槽Buff1,Cause <#FE2929>8 points of internal injury</color> to the enemy when attacking.
BuffInfo_玄象buff1,"When attacking, there's a 25% chance to reduce the enemy's <#FE2929>Spirit by 50%</color>."
BuffInfo_玄象buff2,Gain an extra <#29F161>5 points of spirit</color> when attacking the enemy.
BuffInfo_青山buff1,"When attacking, there's a 25% chance to inflict <#FE2929>Charm</color> effect【<#F3DE99>Charm: Loses mind, helps the enemy attack their own people</color>】."
BuffInfo_青山buff2,Cause <#FE2929>15 points of internal injury</color> to the enemy when attacking.
BuffInfo_狮子丸buff1,There is a <#29F161>25% chance to Pierce the enemy's armor</color> during an Attack.
BuffInfo_狮子丸buff2,There is a 25% chance of inflicting a <#FE2929>Vulnerable</color> effect on the enemy during an Attack【<#F3DE99>Vulnerable: Guaranteed to be Critical when Attacked</color>】.
BuffInfo_流云衫Buff1,"When attacked, triggers Evasion, you gain <#29F161>50 energy points</color>."
BuffInfo_金刚甲Buff1,"When attacked, triggers Parry, <#29F161>Parry damage reduction effect increases by 25%</color>."
BuffInfo_明光铠Buff1,"When suffering a side attack, the attacker's <#FE2929>Critical rate temporarily decreases by 25%</color>."
BuffInfo_朱雀服Buff1,"When attacked, gain an extra <#29F161>5 points of Spirit</color>."
BuffInfo_麒麟甲Buff1,"When attacked, the <#29F161>damage taken is reduced by 15%</color>."
BuffInfo_玄武铠Buff1,"When suffering a Back attack, your <#29F161>Parry increases by 10%</color>."
BuffInfo_紫罗裙Buff1,"When attacked by males, <#29F161>damage taken is reduced by 20%</color>."
BuffInfo_山海袍Buff1,Fame Level <#29F161>increases by 1</color>.
BuffInfo_袈裟Buff1,"Each time you are attacked, <#29F161>5% of the damage is reflected back to the attacker</color>."
BuffInfo_太极服Buff1,"When attacked, damage from sword-based martial arts is <#29F161>reduced by 30%</color>."
BuffInfo_黑色披风Buff1,"When suffering a Back attack, your <#29F161>Evasion increases by 10%</color>."
BuffInfo_秀才服Buff1,"Educate enemies within a radius of 2 squares. When the enemy attacks, the final damage is reduced by 3% for each level the enemy's Fame is lower than yours. When attacked, the final damage taken increases by 3% for each level the enemy's Fame is lower than yours."
BuffInfo_秀才服Buff1_光环,"When attacking, for each level your Fame is lower than the opponent's, final damage is reduced by 3%. When attacked, for each level your Fame is lower than the opponent's, final damage taken increases by 3%."
BuffInfo_隐形披风Buff1,"In stealth mode at night (Hai Shi~Chou Shi), you <#29F161>will not be detected by NPCs</color>."
BuffInfo_天蚕宝衣buff1,"When attacked, damage from sword and blade martial arts is <#29F161>reduced by 45%</color>."
BuffInfo_天蚕宝衣buff2,"Each time you are attacked, <#29F161>8% of the damage is reflected back to the attacker</color>."
BuffInfo_兽王宝甲buff1,"When attacked, damage from fist and short weapon martial arts is <#29F161>reduced by 45%</color>."
BuffInfo_兽王宝甲buff2,"When attacked and Parry is triggered, gain an extra <#29F161>5 points of Spirit</color>."
BuffInfo_霹雳宝铠buff1,"When attacked, damage from musical and long weapon martial arts is <#29F161>reduced by 45%</color>."
BuffInfo_霹雳宝铠buff2,"When attacked, gain <#29F161>50 points of Qi</color>."
BuffInfo_紫薇buff1,"After action, <#29F161>recover 5% of lost HP, up to 220 HP</color>."
BuffInfo_紫薇buff2,"When attacked, the <#29F161>damage taken is reduced by 30%</color>."
BuffInfo_狻猊buff1,"When attacked, the attacker gains <#FE2929>15 points of Bleeding</color>."
BuffInfo_狻猊buff2,"When attacked, the attacker gains <#FE2929>15 points of Internal Injury</color>."
BuffInfo_真武buff1,"After each attack, <#29F161>recover 5% of lost MP, up to 65 MP</color>."
BuffInfo_真武buff2,"When attacked, the attacker gains <#FE2929>15 points of Internal Injury</color>."
BuffInfo_碧霞buff1,"When attacked by males, <#29F161>Evasion increases by 15%</color>."
BuffInfo_碧霞buff2,"When attacked, gain <#29F161>50 points of Qi</color>."
BuffInfo_不动山buff1,"When being attacked, the <#29F161>damage received is reduced by 45%</color>."
BuffInfo_不动山buff2,"Within a range of 2 squares of yourself, your Character's <#29F161>Parry increases by 8%</color>."
BuffInfo_不动山buff2_光环,<#29F161>Parry increases by 8%</color>.
BuffInfo_佛手玉坠Buff1,"The higher the Wisdom, the less EXP required to learn Martial Arts. For each point of Wisdom, <#29F161>learning efficiency increases by 0.15%</color>."
BuffInfo_投名状Buff1,"The higher the Righteous, the higher the damage. For each point of Righteous, <#29F161>damage increases by an additional 0.15%</color>."
BuffInfo_工字佩Buff1,"The higher the Propriety, the less Spirit generated when attacking a target. For each point of Propriety, <#29F161>Enemy Spirit decreases by 0.6%</color>."
BuffInfo_三彩乐俑Buff1,"The lower the Wisdom, the higher the combat proficiency. For each point decrease in Wisdom, <#29F161>proficiency increases by 0.15%</color>."
BuffInfo_三足金蟾Buff1,"Every day, you will receive <#29F161>100 coins</color> as a fixed income."
BuffInfo_酒葫芦Buff1,"Entering a battle will consume a bottle of wine 100% of the time, <#29F161>increasing Critical, Evasion, and Action Speed, but decreasing Defense</color>. The higher the quality of the wine, the more noticeable the effects."
BuffInfo_檀木念珠Buff1,"The higher your Benevolence, the higher your Defense. For every point of Benevolence, <#29F161>the final Damage reduction effect increases by 0.15%</color>."
BuffInfo_茱萸花Buff1,"After each action, <#29F161>reduce your own Poisoned and Bleeding status by 8 points</color>."
BuffInfo_牡丹花Buff1,<#29F161>Gift effect to the opposite sex increases by 10%</color>.
BuffInfo_护心镜Buff1,"When attacked, the <#29F161>damage received is reduced by 10%</color>."
BuffInfo_狗皮膏药Buff1,"After each action, <#29F161>recover 5% of lost HP, up to 50 points</color>."
BuffInfo_静心玉环Buff1,"After each action, <#29F161>recover 5% of lost MP, up to 50 points</color>."
BuffInfo_锦帕Buff1,"After each action, <#29F161>recover 1% of maximum HP and MP, up to 50 points</color>."
BuffInfo_碎玉风铃Buff1,<#29F161>Action Speed increases by 5 points</color>.
BuffInfo_板砖Buff1,"Ambush <#29F161>success rate increases by 10%, Ambush growth rate increases by 50%</color>."
BuffInfo_官府腰牌Buff1,"When entering a battle, a constable with a knife will assist in the fight. The constable's level is fixed and only appears once per battle."
BuffInfo_黑玉扳指Buff1,"When entering a battle and using Fist type martial arts, <#29F161>Damage increases by 12%</color>."
BuffInfo_青须剑穗Buff1,"When entering a battle and using Sword type martial arts, <#29F161>Damage increases by 12%</color>."
BuffInfo_双鱼玉佩Buff1,"When killing an enemy, there is a <#29F161>25% chance of triggering extra drops</color>."
BuffInfo_玉莲花Buff1,"After each action, <#29F161>recover 8% of lost HP and MP</color>."
BuffInfo_滴水观音Buff1,The <#29F161>EXP gained from killing an opponent in battle increases by 15%</color>.
BuffInfo_玉辟邪Buff1,"After each action, <#29F161>reduce Poisoned, Blinded, Internal Injury, and Bleeding status by 10 points each</color>."
BuffInfo_金雕长羽Buff1,"The higher your Courage, the higher your final damage. For every point of Courage, <#29F161>damage increases by an additional 0.25%</color>."
BuffInfo_兽皮鼓Buff1,"When entering a battle and using Musical type martial arts, <#29F161>Damage increases by 12%</color>."
BuffInfo_云纹琉璃珠Buff1,<#29F161>Throwing increases by 20 points</color>.
BuffInfo_青铜面具Buff1,"After accurately attacking the enemy, Critical is guaranteed to be triggered, MP Cost doubles, when being attacked, Critical is guaranteed, and the first five actions are not controlled."
BuffInfo_玉蝉Buff1,"When hit by a Finishing Strike, there is a <#29F161>25% chance of becoming Invincible, recovering 10% of maximum HP and 10% of maximum MP</color>. This can only occur once per battle."
BuffInfo_青风令牌Buff1,"When entering a battle, for every point of Righteousness, <#29F161>the Critical rate increases by an additional 0.1%</color>."
BuffInfo_太极玉佩Buff1,"After each action, <#29F161>recover 75 MP</color>."
BuffInfo_虎威镖旗Buff1,<#29F161>Pathfinding skill increases by 1 level</color>.
BuffInfo_虎威镖旗Buff2,<#29F161>Accuracy increases by 10%</color>.
BuffInfo_爪甲挟刀Buff1,Steal<#29F161>success rate increases by 25%</color>.
