﻿UI_InstantKill,Instant death,เสียชีวิตทันที
PlayerCreateUI_UIAbility_Abilities_Content_能力_生存_探索_lv,0,0
PlayerCreateUI_UIAbility_Abilities_Content_能力_生存_识图_lv,0,0
PlayerCreateUI_UIAbility_Abilities_Content_能力_生存_驯兽_lv,0,0
PlayerCreateUI_UIAbility_Abilities_Content_能力_市井_暗取_lv,0,0
PlayerCreateUI_UIAbility_Abilities_Content_能力_市井_点穴_lv,0,0
PlayerCreateUI_UIAbility_Abilities_Content_能力_市井_下毒_lv,0,0
PlayerCreateUI_UIAbility_Abilities_Content_能力_市井_机关_lv,0,0
PlayerCreateUI_UIAbility_Abilities_Content_能力_市井_突袭_lv,0,0
PlayerCreateUI_UIAbility_Abilities_Title1_Text(TMP),Pick,เลือก
PlayerCreateUI_UIAbility_Abilities_Title2_Text(TMP),Create,สร้าง
PlayerCreateUI_UIAbility_Abilities_Title3_Text(TMP),Identify,พิสูจน์
PlayerCreateUI_UIAbility_Abilities_Title4_Text(TMP),Life,ชีวิต
PlayerCreateUI_UIAbility_Abilities_Title5_Text(TMP),Market,ตลาด
PlayerCreateUI_UIAbility_Continue_Text(TMP),Next,ถัดไป
PlayerCreateUI_UIAbility_Return_Text(TMP),Back,ย้อนกลับ
PlayerCreateUI_UIAbility_Info_Tip,"<#FEED62>Tip:</color> Skills that have reached the maximum level when clearing the game can be chosen to inherit when opening a new save. The higher the difficulty, the more choices you have. Try to unlock more max-level skills.",<#FEED62>เคล็ดลับ:</color> ทักษะที่ถึงระดับสูงสุดเมื่อเคลียร์เกมสามารถเลือกรับสืบทอดเมื่อเปิดบันทึกใหม่ได้ ยิ่งความยากสูงเท่าใด คุณก็จะมีตัวเลือกมากขึ้นเท่านั้น พยายามปลดล็อกทักษะระดับสูงสุดเพิ่มเติม
PlayerCreateUI_UIAbility_Info_Title,Max Level Skill Selection,การเลือกทักษะระดับสูงสุด
PlayerCreateUI_UIAbility_Info_AbilitySelect,Please select 5 max-level skills (2/3),โปรดเลือก 5 ทักษะระดับสูงสุด (2/3)
PlayerCreateUI_RoleName_Continue_Text(TMP),Start the Adventure,เข้าสู่ยุทธภพ
PlayerCreateUI_RoleName_Return_Text(TMP),Back,ย้อนกลับ
PlayerCreateUI_RoleName_Title,"What is your name, young hero?",จอมยุทธ์น้อย ท่านมีนามว่าอะไร?
PlayerCreateUI_RoleName_Name_xing,Family Name,แซ่
PlayerCreateUI_RoleName_Name_xing_Image_InputField(TMP)_TextArea_Placeholder,Small,เล็ก
PlayerCreateUI_RoleName_Name_xing_Image_InputField(TMP)_TextArea_Text,​, 
PlayerCreateUI_RoleName_Name_ming,Given Name,ชื่อ
PlayerCreateUI_RoleName_Name_ming_Image_InputField(TMP)(1)_TextArea_Placeholder,Shrimp,เสี่ยวเซีย
PlayerCreateUI_RoleName_Name_ming_Image_InputField(TMP)(1)_TextArea_Text,​, 
PropModifyDisplayer_PropName,con,พลังกาย
PropModifyDisplayer_PropValue,33,33
NewsTitlePrefab1_Content,Issue Seventeen,ฉบับที่สิบเจ็ด
NewsTitlePrefab1_Content(1),Issue Seventeen,ฉบับที่สิบเจ็ด
NewsTitlePrefab1_Content(2),Issue Seventeen,ฉบับที่สิบเจ็ด
NewsTitlePrefab1_Content(3),Issue Seventeen,ฉบับที่สิบเจ็ด
NewsTitlePrefab2_Content,Issue Seventeen,ฉบับที่สิบเจ็ด
NewsTitlePrefab2_Content(1),Issue Seventeen,ฉบับที่สิบเจ็ด
NewsTitlePrefab2_Content(2),Issue Seventeen,ฉบับที่สิบเจ็ด
NewsTitlePrefab2_Content(3),Issue Seventeen,ฉบับที่สิบเจ็ด
NewsTitlePrefab3_Content,World Ranking,อันดับโลก
NewsTitlePrefab3_Content(1),World Ranking,อันดับโลก
NewsTitlePrefab3_Content(2),World Ranking,อันดับโลก
NewsTitlePrefab3_Content(3),World Ranking,อันดับโลก
NewsTitlePrefab4_Content,World Ranking,อันดับโลก
NewsTitlePrefab4_Content(1),World Ranking,อันดับโลก
NewsTitlePrefab4_Content(2),World Ranking,อันดับโลก
NewsTitlePrefab4_Content(3),World Ranking,อันดับโลก
NewsTitlePrefab5_Content,World Ranking,อันดับโลก
NewsTitlePrefab5_Content(1),World Ranking,อันดับโลก
NewsTitlePrefab5_Content(2),World Ranking,อันดับโลก
NewsTitlePrefab5_Content(3),World Ranking,อันดับโลก
NewsTitlePrefab6_Content,World Ranking,อันดับโลก
NewsTitlePrefab6_Content(1),World Ranking,อันดับโลก
NewsTitlePrefab6_Content(2),World Ranking,อันดับโลก
NewsTitlePrefab6_Content(3),World Ranking,อันดับโลก
UINews_Center_Tips_TipsContent,"<rotate=""90"">Tips for each issue tips tips tips tips tips tips tips tips tips tips tips tips tips</rotate>","<rotate=""90"">เคล็ดลับสำหรับแต่ละประเด็น</rotate>"
UINews_Center_Contents_Content,"<rotate=""90"">Anecdotes and Stories</rotate>","<rotate=""90"">เกร็ดเล็กเกร็ดน้อยและเรื่องราว</rotate>"
HeadMsg_HeadChat,11111111,11111111
HeadMsg_HeadName,HeadName
RelationMainTitle_textMainName,Table of Contents,สารบัญ
RelationNpcBox_textName,Kitty,ลูกแมว
RelationNpcBox_textValue,Friendly（30）,เป็นมิตร（30）
RelationSubTitle_textName,Wudang,บู๊ตึ๊ง
RelationSubTitle_textValue,Hatred (100),ความเกลียดชัง (100)
UIRelation_right_EmptyTip_Text(TMP),Choose any faction to see the Relations between the characters in the faction and yourself,เลือกฝ่ายใดก็ได้เพื่อดูความสัมพันธ์ระหว่างเจ้าและตัวละครแต่ละฝ่าย
UIRelation_right_boxTitle_text,Storyline Title,ชื่อเรื่อง
UIRelation_right_Scroll_Viewport_boxScrollArea_text,Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content,เนื้อหาโครงเรื่อง
RoamingUI_RoamingHud_PlayerStateGroup_State_Stamina_StateBar_Text,80/100,80/100
RoamingUI_RoamingHud_PlayerStateGroup_State_Stamina_StateBar_BuffName,Full of vigor,พลังเต็มเปี่ยม
RoamingUI_RoamingHud_PlayerStateGroup_State_Mood_StateBar_Text,80/100,80/100
RoamingUI_RoamingHud_PlayerStateGroup_State_Mood_StateBar_BuffName(1),Despair,สิ้นหวัง
RoamingUI_RoamingHud_PlayerStateGroup_State_Rep_StateBar_Text,80/100,80/100
RoamingUI_RoamingHud_PlayerStateGroup_State_Rep_StateBar_BuffName(1),Despair,สิ้นหวัง
RoamingUI_RoamingHud_PlayerStateGroup_State_Coin_Text,1 Guan 600 Wen,1 ตำลึง 600 อีแปะ
RoamingUI_RoamingHud_FunctionButtons_Button_Inventory_Text(TMP),Item,สิ่งของ
RoamingUI_RoamingHud_FunctionButtons_Button_Kungfu_Text(TMP),Martial Arts,วรยุทธ
RoamingUI_RoamingHud_FunctionButtons_Button_JM_Text(TMP),Meridian,เส้นลมปราณ
RoamingUI_RoamingHud_FunctionButtons_Button_Ability_Text(TMP),Skill,ทักษะ
RoamingUI_RoamingHud_FunctionButtons_Button_Story_Text(TMP),Journal,บันทึก
RoamingUI_RoamingHud_FunctionButtons_Button_Save_Text(TMP),Save,บันทึก
RoamingUI_RoamingHud_FunctionButtons_Button_Load_Text(TMP),Load,โหลด
RoamingUI_RoamingHud_TeamMembers_TeamMemberPrefab_Text(TMP),Dying,ใกล้ตาย
RoamingUI_RoamingHud_TeamMembers_TeamMemberPrefab(1)_Text(TMP),Dying,ใกล้ตาย
RoamingUI_RoamingHud_TeamMembers_TeamMemberPrefab(2)_Text(TMP),Dying,ใกล้ตาย
RoamingUI_RoamingHud_TeamMembers_TeamMemberPrefab(3)_Text(TMP),Dying,ใกล้ตาย
RoamingUI_RoamingHud_TeamMembers_TeamMemberPrefab(4)_Text(TMP),Dying,ใกล้ตาย
RoamingUI_RoamingHud_TeamMembers_TeamMemberPrefab(5)_Text(TMP),Dying,ใกล้ตาย
RoamingUI_RoamingHud_Button_Inventory(1)_Text(TMP),Console
RoamingUI_TimePanelGroup_Days_Text(TMP),{0}<size=24><voffset=0.2em><#5E92A9>Day(s)</size>,<size=24><voffset=0.2em><color=#5E92A9>วันที่</color></size> {0}
RoamingUI_TimePanelGroup_TimePanel_Overlay_Text,Early Morning,รุ่งสาง
RoamingUI_TimePanelGroup_ReportButton_Text(TMP),"Problem\nFeedback"
RoamingUI_BattleStealthControlGroup_SafeHarbourGroup_NormalGroup_Button_StealthSwitch_Text,Stealth,ลอบเร้น
RoamingUI_BattleStealthControlGroup_SafeHarbourGroup_NormalGroup_Button_ToBattle_Text,Battle,ต่อสู้
RoamingUI_BattleStealthControlGroup_SafeHarbourGroup_StealthGroup_Actions_Button_HotkeyNode_KeyText,1,1
RoamingUI_BattleStealthControlGroup_SafeHarbourGroup_StealthGroup_Actions_Button(1)_Text(TMP),Selected Poison Name,ชื่อพิษที่เลือก
RoamingUI_BattleStealthControlGroup_SafeHarbourGroup_StealthGroup_Actions_Button(1)_HotkeyNode_KeyText,1,1
RoamingUI_BattleStealthControlGroup_SafeHarbourGroup_StealthGroup_Actions_Button(2)_HotkeyNode_KeyText,1,1
RoamingUI_BattleStealthControlGroup_SafeHarbourGroup_StealthGroup_Actions_Button(3)_HotkeyNode_KeyText,1,1
RoamingUI_BattleStealthControlGroup_SafeHarbourGroup_StealthGroup_Actions_Switch_Text,Exit,ออก
RoamingUI_BattleStealthControlGroup_SafeHarbourGroup_StealthGroup_Center_Text(TMP),Meow Meow,เหมียว เหมียว
RoamingUI_BattleStealthControlGroup_SafeHarbourGroup_StealthGroup_Center_HotkeyNode_KeyText,1,1
RoamingUI_StoryLog_Layer_Line0_bg_txtTitle,Mission Title,ชื่อภารกิจ
RoamingUI_StoryLog_Layer_Line0_txtContent,Retrieve the Stolen Cat's Eighteen Palms,นำฝ่ามือสิบแปดแมวเหมียวที่ถูกขโมยไปคืนมา
RoamingUI_StoryLog_Layer_Line0_txtTimeLimit,Time Limit: 1 Day,จำกัดเวลา: 1 วัน
RoamingUI_StoryLog_Layer_Line1_bg_txtTitle,Mission Title,ชื่อภารกิจ
RoamingUI_StoryLog_Layer_Line1_txtContent,Retrieve the Stolen Cat's Eighteen Palms,นำฝ่ามือสิบแปดแมวเหมียวที่ถูกขโมยไปคืนมา
RoamingUI_StoryLog_Layer_Line1_txtTimeLimit,Time Limit: 1 Day,จำกัดเวลา: 1 วัน
RoamingUI_StoryLog_Layer_Line2_bg_txtTitle,Mission Title,ชื่อภารกิจ
RoamingUI_StoryLog_Layer_Line2_txtContent,Retrieve the Stolen Cat's Eighteen Palms,นำฝ่ามือสิบแปดแมวเหมียวที่ถูกขโมยไปคืนมา
RoamingUI_StoryLog_Layer_Line2_txtTimeLimit,Time Limit: 1 Day,จำกัดเวลา: 1 วัน
RoamingUI_PetPanel_PetBg_Protait_imgbg_State_Hunt_Text(TMP)(1),Raise
RoamingUI_PetPanel_PetBg_Protait_imgbg_State_FarAway_Text(TMP)(1),Stay Away,อยู่ห่าง ๆ
RoamingUI_PetPanel_PetBg_Label_Hp,HP,HP
RoamingUI_PetPanel_PetBg_Label_Stuffed,Full,ความอิ่ม
RoamingUI_PetPanel_PetBg_Label_Relation,Relations,ความสัมพันธ์
RoamingUI_PetPanel_PetBg_Info_Hp,Bring Pet,นำสัตว์เลี้ยงมาด้วย
RoamingUI_PetPanel_PetBg_Info_Stuffed,Continuous Click,คลิกอย่างต่อเนื่อง
RoamingUI_PetPanel_PetBg_Info_Relation,Very Fun,สนุกมาก
SceneNameIndicatorUI_Layout_SceneName,Scene Name,ชื่อฉาก
SceneNameIndicatorUI_Layout_SceneName_SceneName(1),Scene Name,ชื่อฉาก
SceneNameIndicatorUI_Layout_SceneName_SceneName(2),Scene Name,ชื่อฉาก
SceneNameIndicatorUI_Layout_SceneName_SceneName(3),Scene Name,ชื่อฉาก
SceneNameIndicatorUI_Layout_SceneName_SceneName(4),Scene Name,ชื่อฉาก
UIReport_Image_title_info(1),Problem Feedback,ข้อเสนอแนะปัญหา
UIReport_Image_confirm_Text(TMP),Submit,ส่ง
UIReport_Image_info,Problem Description:,คำอธิบายปัญหา:
UIReport_Image_InputField(TMP)_TextArea_Placeholder,Please Enter...,กรุณาใส่...
UIReport_Image_InputField(TMP)_TextArea_Text,​,
UIReport_Image_Thanks,"*Please describe the process and phenomenon of the problem, so that we can locate the problem as soon as possible and provide you with a better gaming experience",*กรุณาอธิบายกระบวนการและปรากฏการณ์ของปัญหา เพื่อให้เราสามารถค้นหาปัญหาได้โดยเร็วที่สุด และมอบประสบการณ์การเล่นเกมที่ดีขึ้นให้กับคุณ
ScenarioAside_ScenarioAside_text,What the big brother said is right,ที่พี่ใหญ่พูดก็ถูกแล้ว
ScenarioSkipButton_Skip_txtSkip,Skip,ข้าม
ScenarioSkipButton_Skip_HotkeyNode_KeyName,EEE,EEE
DropdownItem_NameBg_HotKeyName,Move Forward,เคลื่อนที่ไปข้างหน้า
Option A,Option A,ตัวเลือก A
Option B,Option B,ตัวเลือก B
Option C,Option C,ตัวเลือก C
UISetting_Center_BottomButtonGroup_ButtonReset_Text(TMP),Default,ค่าเริ่มต้น
UISetting_Center_BottomButtonGroup_ButtonApply_Text(TMP),Apply,นำไปใช้
UISetting_Center_AudioPanel_MusicSetting_Value_MusicVolumeValue,50,50
UISetting_Center_AudioPanel_SfxVolumeSetting_Value_SfxVolumeValue,50,50
UISetting_Center_HotkeyPanel_HotkeyEditPanel_HotkeyEditDesc,Please Enter Key (Press ESC to Delete Shortcut),กรุณากดปุ่มคีย์ลัด (กดปุ่ม ESC เพื่อลบคีย์ลัด)
StoryMainTitle_textMainName,Table of Contents,สารบัญ
StorySubTitle_textName,Storyline Title,ชื่อเรื่อง
StorySubTitle_textTime,5 Days,5 วัน
UIStoryNote_left_img_textbg_Text(TMP),A maximum of 3 event tasks can be tracked simultaneously,สามารถติดตามภารกิจได้พร้อมกันสูงสุด 3 ภารกิจ
UIStoryNote_left_ToggleGroup_btn_name,Story,เรื่องราว
UIStoryNote_left_ToggleGroup_btn(1)_name,Rumor,ข่าวลือ
UIStoryNote_left_ToggleGroup_btn(2)_name,Bounty,ค่าหัว
UIStoryNote_left_ToggleGroup_btn(3)_name,Archive,บันทึกสำคัญ
UIStoryNote_right_right0_txtTitle,Storyline Title,ชื่อเรื่อง
UIStoryNote_right_right0_Scroll_Viewport_boxScrollArea_text,Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content,เนื้อหาโครงเรื่อง
UIStoryNote_right_right0_Scroll_Viewport_boxScrollArea_text_old,"Storyline Content Storyline Content Storyline\n\nContent Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline\nContent Storyline Content Content Storyline Content Content Storyline Content Content Storyline Content Content Storyline Content Content Storyline Content Content Storyline Content Content Storyline Content Content Storyline Content",เนื้อหาโครงเรื่อง
UIStoryNote_right_right1_txtTitle,Clear the bandits outside Lin'an City,กวาดล้างพวกโจรที่อยู่นอกเมืองหลินอัน
UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_text,Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content,เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา
UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_txtAim,Kill the bandit leader,กำจัด หัวหน้าโจร
UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_txtAim_Text,Target:,เป้าหมาย:
UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_txtTimeLimit,3 days 3 shichen,3 วัน 3 ชั่วยาม
UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_txtTimeLimit_Text,Remaining Time:,เวลาที่เหลืออยู่:
UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_txtPrize,"Trustworthy+2, Lin'an City Relations+5","ซื่อสัตย์+2, ความสัมพันธ์เมืองหลินอัน+5"
UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_btnCommand_text,Abandon,ละทิ้ง
UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_txtTip,"The commissioned task has been completed, please return to X to submit the task",ภารกิจที่ได้รับสำเร็จแล้ว กลับไปยัง X เพื่อส่งภารกิจ
RolePanel_RoleBg_Text(TMP),No Partners Joined Currently,ไม่มีพันธมิตรเข้าร่วมในขณะนี้
RolePanel_RoleState_Life_img_txt,HP,HP
RolePanel_RoleState_Life_img_num,200/2000,200/2000
RolePanel_RoleState_InternalForce_img_txt,MP,MP
RolePanel_RoleState_InternalForce_img_num,200/2000,200/2000
RolePanel_RoleState_Name_Text,Meng Zhan,เมิ่งจ้าน
RolePanel_NoRole_Text,No partners have joined yet,ยังไม่มีพันธมิตรเข้าร่วม
UIConfirmPanel_Bg_TextBg_txt,"XXX has five Aston Martins\n<size=24>Satan's Aston Martin","XXX มี Aston Martins ห้าคัน\n<size=24>แอสตัน มาร์ตินแห่งซาตาน"
UIConfirmPanel_Bg_Checkmark_check_dazao_txt,Don't Show Again,ไม่แสดงอีก
UIConfirmPanel_Bg_Buttons_cancel_Text(TMP),Cancel,ยกเลิก
UIConfirmPanel_Bg_Buttons_confirm_Text(TMP),Confirm,ยืนยัน
UIItemTIps_LeftOrRight(1)_left,Triassis Yangguan,ด่านหยางกวนสามท่อน
UIItemTIps_TxtLIst(1)_left,Burn,เผา
UIItemTIps_Text_Text,Master Fang's Third Defense,การป้องกันครั้งที่สามของปรมาจารย์ฟาง
UIItemTIps_tag(1)_txt,Extra,รางวัล
UIItemTIps_tittle(1)_left_left,Six Characters in Total,มีตัวละครทั้งหมด 6 คน
UIItemTIps_tittle(1)_left_middle,Legendary,ตำนาน
UIItemTIps_tittle(1)_right,TypeCosmetic AAA,ประเภทเครื่องสำอางผงไข่มุก
UIItemTIps_LeftOrRight_left,Internal Force Protection,การป้องกันพลังภายใน
UIItemTIps_LeftOrLongRight_left,Internal Force Protection,การป้องกันพลังภายใน
UIItemTIps_LeftOrLongRight_Text_Text,sdfsdfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,
UIItemTIps_RoamingTitle_RoamingTitleHead,Fame (Level 1),ชื่อเสียง (ระดับ 1)
UIItemTIps_RoamingTitle_RoamingTitleValue,100/100,100/100
UIItemTIps_RoamingItem_RoamingItemContent,Joining some sects requires a certain level of Fame as a prerequisite.,การเข้าร่วมบางสำนักจำเป็นต้องมีระดับชื่อเสียงถึงข้อกำหนดเบื้องต้น
UITeamPanel_Attribute_txt,con,พลังกาย
UITeamPanel_Attribute_Text(2),Talent,พรสวรรค์
UITeamPanel_Attribute_Text(3),luk,โชค
UITeamPanel_Attribute_Text(4),dex,คล่องแคล่ว
UITeamPanel_Attribute_Text(5),str,พละกำลัง
UITeamPanel_Attribute_Roleintroduction,"Cat, a main character in Jin Yong's novel ""The Heaven Sword and Dragon Saber"", the founder of Wudang Sect, Cat, a main character in Jin Yong's novel ""The Heaven Sword and Dragon Saber"", the founder of Wudang Sect, a main character, the founder of Wudang Sect, a main character.","แคท, ตัวละครหลักในนวนิยายของกิมย้งเรื่อง ""กระบี่อิงฟ้า ดาบฆ่ามังกร"", ผู้ก่อตั้งสำนักบู๊ตึ๊ง, แคท, ตัวละครหลักในนวนิยายของกิมย้งเรื่อง ""กระบี่อิงฟ้า ดาบฆ่ามังกร"", ผู้ก่อตั้งสำนักบู๊ตึ๊ง, ตัวละครหลัก, ผู้ก่อตั้งสำนักบู๊ตึ๊ง, ตัวละครหลัก"
UITeamPanel_Attribute_BaseProperties_txt_tizhi,50,50
UITeamPanel_Attribute_BaseProperties_txt_zizhi,70,70
UITeamPanel_Attribute_BaseProperties_txt_fuyuan,10,10
UITeamPanel_Attribute_BaseProperties_txt_minjie,20,20
UITeamPanel_Attribute_BaseProperties_txt_bili,30,30
UITeamPanel_Attribute_tag_Text,Gender,เพศ
UITeamPanel_Attribute_tag_Text(1),Level,ระดับ
UITeamPanel_Attribute_tag_Text(2),Affiliation,สังกัด
UITeamPanel_Attribute_tag_Text(3),HP,HP
UITeamPanel_Attribute_tag_Text(4),Attack power,พลังโจมตี
UITeamPanel_Attribute_tag_Text(5),Qinggong,วิชาตัวเบา
UITeamPanel_Attribute_tag_Text(6),Accuracy,ความแม่นยำ
UITeamPanel_Attribute_tag_Text(7),Critical,คริติคอล
UITeamPanel_Attribute_tag_Text(8),Medical,วิชาแพทย์
UITeamPanel_Attribute_tag_Text(9),Throwing,อาวุธลับ
UITeamPanel_Attribute_tag_Text(10),Martial Arts,วรยุทธ
UITeamPanel_Attribute_RoleInfo_sex,Male,เพศชาย
UITeamPanel_Attribute_RoleInfo_lv,Level 8,ระดับ 8
UITeamPanel_Attribute_RoleInfo_menPai,No Sect,ไร้สำนัก
UITeamPanel_Attribute_RoleInfo_hp,2000/2000,2000/2000
UITeamPanel_Attribute_RoleInfo_atck,100,100
UITeamPanel_Attribute_RoleInfo_qingGong,100,100
UITeamPanel_Attribute_RoleInfo_mingZhong,100,100
UITeamPanel_Attribute_RoleInfo_baoJi,100,100
UITeamPanel_Attribute_RoleInfo_yiShu,100,100
UITeamPanel_Attribute_RoleInfo_anQi,100,100
UITeamPanel_Attribute_RoleInfo_two_shenFen,Civilian,พลเรือน
UITeamPanel_Attribute_RoleInfo_two_guanXi,Close,ปิด
UITeamPanel_Attribute_RoleInfo_two_mingSheng,Nobody,ไม่มีใครรู้จัก
UITeamPanel_Attribute_RoleInfo_two_neiLi,2000/2000,2000/2000
UITeamPanel_Attribute_RoleInfo_two_neiLi_tag,[Yang],[หยาง]
UITeamPanel_Attribute_RoleInfo_two_fangYu,100,100
UITeamPanel_Attribute_RoleInfo_two_jiQi,100,100
UITeamPanel_Attribute_RoleInfo_two_sanBi,100,100
UITeamPanel_Attribute_RoleInfo_two_geDang,100,100
UITeamPanel_Attribute_RoleInfo_two_duShu,100,100
UITeamPanel_Attribute_RoleWuGong_one,Fist[200],หมัด[200]
UITeamPanel_Attribute_RoleWuGong_two,Fist[200],หมัด[200]
UITeamPanel_Attribute_RoleWuGong_three,Fist[200],หมัด[200]
UITeamPanel_Attribute_RoleWuGong_four,Fist[200],หมัด[200]
UITeamPanel_Leave_Text(TMP),Leave team,ออกจากกลุ่ม
UITeamPanel_Outline_Text(TMP),Summary,ภาพรวม
UITeamPanel_Outline_Text(TMP)(1),Summary,ภาพรวม
UITeamPanel_Attribute_Text(TMP),Attributes,คุณสมบัติ
UITeamPanel_Attribute_Text(TMP)(1),Attributes,คุณสมบัติ
UITeamPanel_Meridians_Text(TMP),Meridian,เส้นลมปราณ
UITeamPanel_Meridians_Text(TMP)(1),Meridian,เส้นลมปราณ
UITextTIps_Content_Text,
UITips_tittle_left,Nine Yang Divine Skill,พลังเทพเก้าเอี๊ยง
UITips_tittle_middle,Epic,มหากาพย์
UITips_tittle_right,First level,ระดับแรก
UITips_LeftAndRight_left,New Text,ข้อความใหม่
UITips_LeftAndRight_right,New Text,ข้อความใหม่
UITips_TxtLIst_left,Internal Force Power,กำลังภายใน
UITips_TxtLIst_right,100,100
UITips_tag_txt,MP Attribute,คุณสมบัติค่า MP
1100_boxTag_MapName_1101_txtName,Nameless Inn,โรงเตี๊ยมไร้นาม
1100_boxTag_MapName_1103_0_txtName,Village head's house,บ้านพักหัวหน้าหมู่บ้าน
1100_boxTag_MapName_1106_txtName,Hunter's house,บ้านนายพราน
1100_boxTag_MapName_1107_txtName,Woodcutter's house,บ้านคนตัดฟืน
1100_boxTag_MapName_1105_txtName,Blacksmith's forge,โรงตีเหล็ก
1100_boxTag_MapName_1108_txtName,Shabby house,บ้านทรุดโทรม
1100_boxTag_MapName_1100_0_txtName,Farmland,แปลงผัก
1200_boxTag_MapName_1201_txtName,Righteous Hall,หอคุณธรรม
1200_boxTag_MapName_1204_txtName,Warehouse,โกดัง
1200_boxTag_MapName_1200_0_txtName,Prison,คุก
1200_boxTag_MapName_1203_txtName,Gang Member Dormitory,หอพักสมาชิกพรรค
1200_boxTag_MapName_1200_1_txtName,Training field,สนามฝึก
1400_boxTag_MapName_1200_txtName,Black Wind Fortress,ป้อมวายุทมิฬ
1500_boxTag_MapName_1200_txtName,Black Wind Fortress,ป้อมวายุทมิฬ
1500_1_boxTag_MapName_1200_txtName,Black Wind Fortress,ป้อมวายุทมิฬ
20100_boxTag_MapName_20101_txtName,Hotel Prosperous,โรงเตี๊ยมรุ่งโรจน์
20100_boxTag_MapName_20124_txtName,Residential house,บ้านเรือน
20100_boxTag_MapName_20103_txtName,Government Office,ศาลาว่าการ
20100_boxTag_MapName_20107_txtName,Rare Artifact Shop,ร้านขายของหายาก
20100_boxTag_MapName_20110_txtName,Blacksmith's forge,โรงตีเหล็ก
20100_boxTag_MapName_20117_txtName,Armory,คลังแสง
20100_boxTag_MapName_20114_txtName,Sorrowless Tavern,หอสุราลืมทุกข์
20100_boxTag_MapName_20111_txtName,Pink Attire Pavilion,โรงผ้าแขนเสื้อแดง
20100_boxTag_MapName_20108_txtName,Grocery store,ร้านขายของชำ
20100_boxTag_MapName_20113_txtName,Tea shop,โรงน้ำชา
20100_boxTag_MapName_20116_txtName,General's mansion,จวนแม่ทัพ
20100_boxTag_MapName_20100_0_txtName,Market,ตลาด
20100_boxTag_MapName_20100_1_txtName,Dirty Street,ตรอกเล้าหมู
20100_boxTag_MapName_20109_txtName,White Cloud Temple,อารามเมฆขาว
20100_boxTag_MapName_20106_txtName,Charity House,หอเยียวยา
20100_boxTag_MapName_20122_txtName,Residential house,บ้านเรือน
20100_boxTag_MapName_20123_txtName,Residential house,บ้านเรือน
20100_boxTag_MapName_20100_2_txtName,Mind Pond,บึงแห่งจิต
20100_boxTag_MapName_20112_txtName,Pawn shop,โรงจำนำ
20100_boxTag_MapName_20118_0_txtName,Chuxiang Ding family's house,คฤหาสน์สกุลติงเมืองฉู่เซียง
20100_boxTag_MapName_20121_txtName,Dragon Library,ห้องสมุดมังกร
20100_boxTag_MapName_20105_txtName,Chuxiang Dojo,โรงฝึกฉู่เซียง
20300_boxTag_MapName_20302_txtName,Hotel Delighted,โรงเตี๊ยมสุขสำราญ
20300_boxTag_MapName_20331_txtName,Residential house,บ้านเรือน
20300_boxTag_MapName_20304_txtName,Government Office,ศาลาว่าการ
20300_boxTag_MapName_20309_txtName,Exquisite Pavilion,ศาลาปราณีต
20300_boxTag_MapName_20325_txtName,Blacksmith's forge,โรงตีเหล็ก
20300_boxTag_MapName_20318_txtName,Aroma House,ร้านเครื่องหอม
20300_boxTag_MapName_20316_0_txtName,Wine God Tower,หอคอยเทพสุรา
20300_boxTag_MapName_20320_txtName,Painting Shop,ร้านภาพวาด
20300_boxTag_MapName_20310_txtName,Grocery store,ร้านขายของชำ
20300_boxTag_MapName_20311_txtName,Cloud Forest Temple,อารามป่าเมฆา
20300_boxTag_MapName_20321_txtName,Duke Kang's manor,ตำหนักอ๋องคัง
20300_boxTag_MapName_20321_0_txtName,Flower garden,สวนดอกไม้
20300_boxTag_MapName_20300_0_txtName,Market,ตลาด
20300_boxTag_MapName_20300_1_txtName,Pier,ท่าเรือ
20300_boxTag_MapName_20315_0_txtName,Enlightment Tower,หอรู้แจ้ง
20300_boxTag_MapName_20319_txtName,Maiden House,ตำหนักพิสุทธิ์
