﻿Talking_default,Talk,พูดคุย
M20216-1_ans2_6_3,A thousand autumn moons above the head,มีดวงจันทร์ในฤดูใบไม้ร่วงนับพันดวงอยู่เหนือหัว
M20216-1_ans2_6_4,Writing as if inspired by the gods,เขียนราวกับว่าได้รับแรงบันดาลใจจากเทพเจ้า
M20216-1_ans2_7_1,Every year there is surplus celebration,ทุกปีจะมีการเฉลิมฉลองส่วนเกิน
M20216-1_ans2_7_2,Every year the flowers look the same,ทุกปีดอกไม้จะมีลักษณะเหมือนเดิม
M20216-1_ans2_7_3,Every year brings fortune to people,ทุกปีจะนำโชคลาภมาสู่ผู้คน
M20216-1_ans2_7_4,Every year brings a satisfying spring,ทุกปีจะมีฤดูใบไม้ผลิที่น่าพึงพอใจ
M20216-1_ans3_1_1,A destitute scholar sleeps on the couch,บัณฑิตผู้ยากจนคนหนึ่งนอนบนโซฟา
M20216-1_ans3_1_2,A beautiful woman accompanies the lonely,หญิงสาวสวยมาพร้อมกับความเหงา
M20216-1_ans3_1_3,Cold and quiet temple with few incense,วัดเย็นและเงียบสงบมีธูปน้อย
M20216-1_ans3_1_4,A thin red thread finally ties the fate,ในที่สุดด้ายแดงเส้นบางก็ผูกโชคชะตาไว้
M20216-1_ans3_2_1,"Fine rain connects like a thread, broken by the wind",ฝนที่โปรยปรายเชื่อมโยงกันเหมือนเส้นด้ายที่ถูกลมพัดมา
M20216-1_ans3_2_2,"Wild grass cannot be burned out, it grows again in spring",หญ้าป่าไม่สามารถถูกเผาได้ แต่จะเติบโตอีกครั้งในฤดูใบไม้ผลิ
M20216-1_ans3_2_3,"Blue Mountain is not old, but snow makes it white-haired",ภูเขาครามไม่แก่ แต่หิมะทำให้มีผมสีขาว
M20216-1_ans3_2_4,"The beauty was originally stunning, but she became haggard for him",เดิมทีความงามนั้นน่าทึ่งมาก แต่เธอก็ซีดเซียวสำหรับเขา
M20216-1_ans3_3_1,"Clouds disperse and fog clears, the mountain is clearer",เมฆกระจายตัวและหมอกจางลง ภูเขาก็ชัดเจนยิ่งขึ้น
M20216-1_ans3_3_2,Sighing alone in the vast ocean,ถอนหายใจคนเดียวในมหาสมุทรอันกว้างใหญ่
M20216-1_ans3_3_3,"The moon on the branch, sorrow upon sorrow",พระจันทร์บนกิ่งไม้ โศกเศร้าครั้งแล้วครั้งเล่า
M20216-1_ans3_3_4,"The sky connects with the water tail, water connects with the sky",ท้องฟ้าเชื่อมต่อกับหางน้ำ น้ำเชื่อมต่อกับท้องฟ้า
M20216-1_ans3_4_1,"Wind and rain in harmony, praising the splendid year",ลมและฝนประสานกัน ยกย่องปีอันรุ่งโรจน์
M20216-1_ans3_4_2,Dragons soar and tigers leap to welcome the New Year,มังกรเหินและเสือกระโดดต้อนรับปีใหม่
M20216-1_ans3_4_3,The stars shift to bid farewell to the old year,ดาราเคลื่อนตัวเพื่ออำลาปีเก่า
M20216-1_ans3_4_4,"Clouds rise and rosy clouds gather, piercing the rainbow",เมฆลอยขึ้นและเมฆสีดอกกุหลาบรวมตัวกันทะลุสายรุ้ง
M20216-1_ans3_5_1,"The sea of learning is boundless, suffering is the boat",ทะเลแห่งการเรียนรู้ไม่มีที่สิ้นสุด ความทุกข์คือเรือ
M20216-1_ans3_5_2,"Worn out iron shoes, nowhere to be found",รองเท้าเหล็กชำรุดหาที่ไหนไม่ได้แล้ว
M20216-1_ans3_5_3,"Climb to the top of the mountain, I am the peak",ปีนขึ้นไปบนยอดเขา ข้าคือจุดสูงสุด
M20216-1_ans3_5_4,A newborn calf is not afraid of a tiger,ลูกวัวแรกเกิดไม่กลัวเสือ
M20216-1_ans3_6_1,Doing things improperly is inhuman,การทำสิ่งที่ไม่เหมาะสมนั้นไร้มนุษยธรรม
M20216-1_ans3_6_2,Open the window and let in the fragrance from outside,เปิดหน้าต่างแล้วปล่อยให้กลิ่นหอมจากภายนอกเข้ามา
M20216-1_ans3_6_3,Throw a stone and break the sky under the water,ขว้างก้อนหินทำลายท้องฟ้าใต้น้ำ
M20216-1_ans3_6_4,Play the zither under the moon by the flowers,เล่นพิณใต้แสงจันทร์ข้างดอกไม้
M20216-1_ans3_7_1,Understanding human nature is literature,การเข้าใจธรรมชาติของมนุษย์คือวรรณกรรม
M20216-1_ans3_7_2,Understanding human nature is a sage,การเข้าใจธรรมชาติของมนุษย์เป็นปราชญ์
M20216-1_ans3_7_3,Laughing and scolding is literature,การหัวเราะและการดุด่าเป็นวรรณกรรม
M20216-1_ans3_7_4,Laughing and scolding is a sage,การหัวเราะและการดุด่าเป็นปราชญ์
M20216-1_ans_return,"Didn't hear clearly, listen again",ฟังไม่ชัด พูดอีกครั้ง
M20100-1001option1,Compensate 200 Wen as an apology.<color=#097a76>(200 Wen)</color>,ชดเชย 200 อีแปะเป็นการขอโทษ<color=#097a76>(200 อีแปะ)</color>
M20100-1001option2,"Refuse to compensate, educate him personally.",ปฏิเสธที่จะชดเชยให้การศึกษาเขาเป็นการส่วนตัว
M20100-1001option3,"Refuse to compensate, the whole team will take action.",ปฏิเสธที่จะชดเชยทั้งทีมจะดำเนินการ
M20100-1002option1,Ask about the method of cracking.<color=#097a76>(100 Wen)</color>,สอบถามวิธีแยก<color=#097a76>(100 อีแปะ)</color>
M20100-1002option2,"Not enough money, 1 Guan, willing but unable.",เงินไม่พอ 1 ตำลึง เต็มใจแต่ทำไม่ได้
M20100-1002option3,"My fate is in my own hands, not believing in his words.",ชะตากรรมของข้าอยู่ในมือของข้าเอง ไม่เชื่อในคำพูดของเขา
M20100-1003option1,Buy Manual.<color=#097a76>(10000 Wen)</color>,ซื้อตำรา <color=#097a76>(10000 อีแปะ)</color>
M20100-1003option2,"Not enough money, 10 Guan, willing but unable.",เงินไม่พอ 10 ตำลึง เต็มใจแต่ทำไม่ได้
M20100-1003option3,"Pierce the beggar's bragging, run away on your own.",เพิกเฉยต่อคำโอ้อวดของคนขอทานแล้วออกไปเอง
M20100-1003option4,Buy Manual.<color=#097a76>(1000 Wen)</color>,ซื้อตำรา<color=#097a76>(1000 อีแปะ)</color>
M20100-1003option5,"Not enough money, 1 Guan, still can't afford it.",เงินไม่พอ 1 ตำลึง ก็ยังจ่ายไม่ได้
M20100-1003option6,"Pierce the beggar's bragging, run away on your own.",เพิกเฉยต่อคำโอ้อวดของคนขอทานแล้วออกไปเอง
M20100-1003option7,Give the beggar 50 Wen.<color=#097a76>(50 Wen)</color>,มอบเงินให้ขอทาน 50 อีแปะ<color=#097a76>(50 อีแปะ)</color>
M20100-1003option8,Help the beggar with 200 coins. <color=#097a76>(200 coins)</color>,ช่วยขอทานด้วย 200 อีแปะ <color=#097a76>(200 อีแปะ)</color>
M20100-1003option9,Grant the beggar's request and run away.,ทำตามคำขอขอทานแล้ววิ่งหนีไป
M20100-1004option1,Take out 100 coins and give them to the merchant. <color=#097a76>(100 coins)</color>,นำเหรียญ 100 อีแปะออกมามอบให้พ่อค้า <color=#097a76>(100 อีแปะ)</color>
M20100-1004option2,Take out 1 guan and give it to the merchant. <color=#097a76>(1000 coins)</color>,"นำเงินออกมา 1 ตำลึงมอบให้พ่อค้า <color=#097a76>(1,000 อีแปะ)</color>"
M20100-1004option3,Demanding money through deception.,เรียกร้องเงินโดยการหลอกลวง
M20100-1004option4,"Not enough money, let's go.",เงินไม่พอ ลุยเลย
M20100-1004option5,"Pierce, the merchant, speaks and runs away.",เพิกเฉยต่อคำพูดของพ่อค้าและจากไป
M20100-1004option6,Insist on getting the money back.,ยืนกรานที่จะรับเงินคืน
M20100-1004option7,Give up on the matter and let the merchant go.,เลิกเรื่องแล้วปล่อยพ่อค้าไป
M20100-1005option1,Pick up the inventory.,หยิบสัมภาระ
M20100-1005option2,Stay nearby and wait for the owner. <color=#097a76>(2 hours)</color>,อยู่ใกล้ๆรอเจ้าของ <color=#097a76>(2 ชั่วโมง)</color>
M20100-1005option3,Pierce takes the inventory and runs away.,เพิกเฉยต่อพัสดุและออกไป
M20100-1005option4,Return the inventory.,คืนสัมภาระ
M20100-1005option5,Inform that you haven't seen the inventory.,แจ้งว่ายังไม่เห็นกระเป๋า
M20100-1005option6,Leave the Inventory behind.,ทิ้งสัมภาระไว้เบื้องหลัง
M20100-1005option7,Leave the Inventory where it is and run away on your own.,ทิ้งสัมภาระไว้ที่เดิมแล้ววิ่งหนีไปด้วยตัวเอง
M20100-1006option1,Help the old man up.,ช่วยชายชราลุกขึ้น
M20100-1006option2,Pierce the old man and run away on your own.,เพิกเฉยต่อชายชราและจากไปด้วยตัวคุณเอง
M20100-1006option3,Take the old man to the clinic. <color=#097a76>(1000 coins)</color>,"พาชายชราไปโรงหมอ <color=#097a76>(1,000 อีแปะ)</color>"
M20100-1006option4,Use Medical to treat the old man's injuries. <color=#097a76>(Medical reaches 60)</color>,ใช้การแพทย์เพื่อรักษาอาการบาดเจ็บของชายชรา <color=#097a76>(ค่ารักษาพยาบาลถึง60)</color>
M20100-1006option5,Stop meddling and run away on your own.,หยุดยุ่งแล้ววิ่งหนีไปเอง
M20100-1006option6,Admit defeat and give 1 coin to the old man.,ยอมรับความพ่ายแพ้และมอบเหรียญ 1 ตำลึงให้กับชายชรา
M20100-1006option7,Report to the authorities and see how they judge.,รายงานต่อเจ้าหน้าที่และดูว่าพวกเขาตัดสินอย่างไร
M20100-1006option8,"Forcefully run away, who dares to stop me!",หลีกไปซะ ใครกล้าหยุดข้า!
M20100-1006option9,"A hero doesn't suffer losses, accept punishment. <color=#097a76>(10000)</color>",ผู้ชายที่ดีจะรับผลที่ตามมาในทันที และยอมรับการลงโทษ <color=#097a76>(10000)</color>
M20100-1006option10,"No money, no life!",ไม่มีเงิน ไม่มีชีวิต!
Z001_name,Travel to Lin'an City.,เดินทางไปเมืองหลินอัน
Z001_overview1,Go to <color=#c44b0e>Lin'an City</color> to broaden your horizons.,ไปที่ <color=#c44b0e>เมืองหลินอัน</color> เพื่อขยายขอบเขตอันไกลโพ้นของเจ้า
Z001_overview2,Go to <color=#c44b0e>Lin'an Inn</color> and invite Ye Yinping to join the team.,ไปที่ <color=#c44b0e>โรงเตี๊ยมหลินอัน</color> และชักชวน เย่หยินผิง เข้าร่วมกลุ่ม
Z001_overview3,Explore Lin'an City with Ye Yinping.,สำรวจเมืองหลินอันกับเย่หยินผิง
Z001_option1,"[Normal Inquiry] Boss, who is that beggar?",[สอบถามปกติ] เจ้านาย ใครคือขอทาน?
Z001_option2,[Pretend] Pretend to be like the beggar just now.,[แกล้ง] แกล้งทำเป็นเหมือนขอทานเมื่อครู่นี้
Z001_Npcname1,A ragged man.,ผู้ชายมอมแมม
Z002_name,Travel to Lin'an City.,เดินทางไปเมืองหลินอัน
Z002_overview1,Continue strolling around Lin'an City with Ye Yinping.,เดินเล่นรอบเมืองหลินอัน กับ เย่หยินผิง
Z002_option1,[Peaceful Solution] Maybe we should just let it go?,[สันติวิธี] บางทีเราควรปล่อยมันไปใช่ไหม?
Z002_option2,"[Lend a Hand] This is indeed too much, I'll go reason with him!",[ให้ยืมมือ] นี่มันมากเกินไปจริงๆ ข้าจะไปหาเหตุผลกับเขา!
Z002_option3,"[Take Advantage] Dare to look down on me, take this!",[ใช้ประโยชน์] กล้าดูถูกข้า รับนี่ไป!
Z002_option4,"[Fight Another Day] If you have the guts, let's fight another day",[สู้อีกวัน] ถ้ากล้า ก็สู้วันอื่นเถอะ
Z002_option5,[Run for Your Life] (Run away with all your might),[วิ่งเพื่อชีวิตของคุณ] (วิ่งหนีสุดกำลัง)
Z002_Npcname1,Middle-aged Aunt,ป้าวัยกลางคน
Z002_Npcname2,Elderly Granny,ยายอาวุโส
Z004_name,Sword Test Platform,ลานประลองทดสอบกระบี่
Z004_overview1,Head to the north of Lin'an City to the <color=#c44b0e>Sword Test Platform</color>,มุ่งหน้าไปทางเหนือของเมืองหลินอัน ไปยัง <color=#c44b0e>ลานประลองทดสอบกระบี่</color>
Z004_option1,【Dragon Spring Sword Test?】,【งานชุมนุมวิจารณ์กระบี่มังกรฤดูใบไม้ผลิ?】
Z004_option2,【Just Strolling Around】,【แค่เดินเล่นเฉยๆ】
Z004_option3,【Join the Fight!】,【ร่วมต่อสู้!】
Z004_option4,【Join the Fight!!】,【ร่วมต่อสู้!】
Z004_option5,【Join the Fight!!!】,【ร่วมต่อสู้!】
Z004_npcname1,Ouye's Revival,การฟื้นคืนชีพของอูเย่
Z004_npcname2,Sword Saint,เซียนกระบี่
Z004_npcname3,Mysterious Man in Black,ชายลึกลับชุดดำ
Z005_name,Linlang Academy,สถาบันหลินหลาง
Z005_overview1,Go to <color=#c44b0e>Linlang Academy</color> to retrieve the Xuanyuan Sword,ไปที่ <color=#c44b0e>สถาบันหลินหลาง</color> เพื่อดึงกระบี่ซวนหยวน
Z005_overview2,Pass the entrance exam of <color=#c44b0e>Linlang Academy</color>,ผ่านการสอบเข้าของ <color=#c44b0e>สถาบันหลินหลาง</color>
Z005_option1,《Cowherd and Weaver Girl》《Butterfly Lovers》《Meng Jiangnu》《Legend of the White Snake》,《คนเลี้ยงวัวและสาวทอผ้า》《 คนรักผีเสื้อ 》《 ท่านหญิงเหมิงเจียง 》《 ตำนานงูขาว 》
Z005_option2,《Romance of the Three Kingdoms》《Journey to the West》《A Dream in Red Mansions》《Water Margin Story》,"""สามก๊ก"", ""ไซอิ๋ว"", ""ความฝันในหอแดง"", ""ซ้องกั๋ง 108 วีรบุรุษแห่งเขาเหลียงซาน"""
Z005_option3,《The Peony Pavilion》《The West Chamber》《The Peach Blossom Fan》《Longevity Palace》,《ศาลาดอกโบตั๋น》《หอการค้าตะวันตก》《พัดดอกท้อ》《พระราชวังอายุยืน》
Z005_option4,《Journey to the East》《Journey to the West》《Journey to the South》《Journey to the North》,《การเดินทางไปทางทิศตะวันออก》《การเดินทางไปทางทิศตะวันตก》《การเดินทางไปทางทิศใต้》《การเดินทางไปทางทิศเหนือ》
Z005_option5,"【Mulberry, Willow, Elm, Locust】","【มัลเบอร์รี่, วิลโลว์, เอล์ม, ตั๊กแตน】"
Z005_option6,"【Plum, Orchid, Bamboo, Chrysanthemum】",【พลัม กล้วยไม้ ไผ่ ดอกเบญจมาศ】
Z005_option7,"【Pine, Bamboo, Plum, Chrysanthemum】","【สน, ไม้ไผ่, พลัม, ดอกเบญจมาศ】"
Z005_option8,"【Plum, Tea, Lotus, Osmanthus】",【บ๊วย ชา ดอกบัว ดอกหมื่นลี้】
Z005_option9,【Zhong Li Quan】,【ฉงลี่เฉวียน】
Z005_option10,【Lu Dongbin】,【หลู่ชุนหยาง】
Z005_option11,【Li Xuan】,【หลี่ซวน】
Z005_option12,【Laozi】,【เล่าจื๊อ】
Z005-1_name,Shen Mengxi's Token,เหรียญตราเสินเมิ่งซี
Z005-1_overview1,Get on good terms with most villagers in Nameless Village,มีความสัมพันธ์ที่ดีกับชาวบ้านส่วนใหญ่ในหมู่บ้านไร้นาม
Z005-1_overview2,The Village Head is waiting for you at home,หัวหน้าหมู่บ้านกำลังรอเจ้าอยู่ที่บ้าน
Z005-1_overview3,Bring the Animal ring - The Ox to find Shen Mengxi,นำแหวนนักษัตร - ฉลู ไปหา เสินเมิ่งซี
Z006_name,Question at Confucius Temple,คำถามที่วัดขงจื้อ
Z006_overview1,Go to the <color=#c44b0e>Confucius Temple</color> in the north of the map to find out!,ไปที่<color=#c44b0e>วัดขงจื้อ</color>ทางทิศเหนือของแผนที่เพื่อตามหา!
Z006_option1,【Continue Onwards】,【ดำเนินการต่อไปข้างหน้า】
Z006_option2,【Come Back After Strengthening Forces】,【กลับมาอีกครั้งหลังจากเสริมความแข็งแกร่ง】
Z008_name,Reinforcements from Bianzhou,กำลังเสริมจากเปี้ยนโจว
Z008_overview1,Go to <color=#c44b0e>Bianzhou City</color> to help Ye Yinping out of trouble.,ไปที่<color=#c44b0e>เมืองเปี้ยนโจว</color>เพื่อช่วยเย่หยินผิงแก้ปัญหา
Z008_overview2,Meet the spirited young man at the <color=#c44b0e>Tea shop</color> in Bianzhou City,พบกับชายหนุ่มผู้ร่าเริงที่<color=#c44b0e>ร้านน้ำชา</color>ในเมืองเปียนโจว
Z008_npcname1,Spirited Young Man,ชายหนุ่มผู้มีจิตวิญญาณ
Z009_name,Levitational Steel,เจดีย์เหล็ก
Z009_overview1,Rush to <color=#c44b0e>Levitational Steel</color> to rescue Ye Yinping,รีบไปที่ <color=#c44b0e>เจดีย์เหล็ก</color> เพื่อช่วยเหลือ เย่หยินผิง
Z009_option1,"【Rescue is Priority, Charge in Directly】",【การช่วยเหลือคือสิ่งสำคัญ พุ่งเข้ามาโดยตรง】
Z009_option2,"【Plan for the Long Term, Level Up First】",【วางแผนระยะยาว เพิ่มระดับก่อน】
Z010_name,Conspiracy,การกบฏ
Z010_overview1,Find the <color=#c44b0e>Gusu Ruins</color> and stop Yelv Wuzhu's conspiracy,ค้นหา <color=#c44b0e>ซากปรักหักพังกู่ซู</color> และหยุดแผนการสมรู้ร่วมคิดของ เย่ลู่หวู่จู้
Z010-1_name,Mission Accomplished,ภารกิจเสร็จสมบูรณ์
Z010-1_overview1,Return the Xuanyuan Sword to <color=#c44b0e>Sword Mountain Villa</color> and hand it to the Sword Saint,คืนกระบี่ซวนหยวนให้กับ <color=#c44b0e>คฤหาสน์ภูเขากระบี่</color> และมอบให้กับเซียนกระบี่
Z012_name,Battle is Imminent,การต่อสู้ใกล้เข้ามาแล้ว
Z012_overview1,Head to Ye Family Battalion,มุ่งหน้าไปยังกองพันตระกูลเย่
Z012_overview2,"Try to raise the Relations with the leaders of Shifa Temple, Taoist Sect, Jiujiang Fotress, Nine Factions Sect, Confucius Temple and other forces to 80",พยายามยกระดับความสัมพันธ์กับผู้นำอารามฉีฟา สำนักเต๋า ค่ายน้ำจิ่วเจียง นิกายเก้าฝ่าย วัดขงจื้อ และกองกำลังอื่นๆ เป็น 80
M1000-8option1,Learn the ultimate move. <color=#097a76>(50 Wen)</color>,เรียนท่าไม้ตาย <color=#097a76>(50 อีแปะ)</color>
M1000-8option2,Not interested.,ไม่สนใจ.
M1000-9option1,Learn the ultimate move. <color=#097a76>(500 Wen)</color>,เรียนท่าไม้ตาย <color=#097a76>(500 อีแปะ)</color>
M1000-9option2,Not interested.,ไม่สนใจ.
M1000-10option1,Learn the ultimate move. <color=#097a76>(2000 Wen)</color>,เรียนท่าไม้ตาย <color=#097a76>(2000 อีแปะ)</color>
M1000-10option2,Not interested.,ไม่สนใจ.
M1000-11option1,Learn the ultimate move. <color=#097a76>(20000 Wen)</color>,เรียนท่าไม้ตาย <color=#097a76>(20000 อีแปะ)</color>
M1000-11option2,Not interested.,ไม่สนใจ.
M1000-8name,Ragged Beggar,ขอทานมอมแมม
M1000-9name,Ragged Beggar,ขอทานมอมแมม
M1000-10name,Ragged Beggar,ขอทานมอมแมม
M1000-11name,Ragged Beggar,ขอทานมอมแมม
M1101-8_name,Collect Ingredients,รวบรวมวัตถุดิบ
M1101-8_talk,Ingredient,วัตถุดิบ
M1101-8_overview1,Talk to the landlady.,คุยกับเจ้าของบ้าน.
M1101-8_overview2,Get 5 Lettuce and 5 Wild boar meat.,รับผักกาดหอม 5 ชิ้นและเนื้อหมูป่า 5 ชิ้น
M1101-8_overview3,"Ingredients collected, go talk to the boss lady.",รวบรวมส่วนผสมไปคุยกับเจ้านายหญิง
M1101-8option_1_1,Leave it to me!,ปล่อยเป็นหน้าที่ของข้า!
M1101-8option_1_2,"Sorry, handle your own affairs.",ขออภัย จัดการเรื่องของตัวเองเถอะ
M1101-10_name,Feminism,ชื่นชมสตรี
M1101-10option1_1,"Honorable ones talk, not fight. Hear me out.<color=#097a76>(Persuade reached Intermediate)</color>",ผู้มีเกียรติพูดไม่ทะเลาะกัน ฟังข้าหน่อยสิ<color=#097a76>(การโน้มน้าวใจถึงระดับกลาง)</color>
M1101-10option1_2,"I'm not afraid of you, despite your harsh words!<color=#097a76>(Battle)</color>",ข้าไม่กลัวเจ้าแม้ว่าเจ้าจะพูดจารุนแรงก็ตาม!<color=#097a76>(ต่อสู้)</color>
M1101-10option1_3,"I'll stop bothering you, as the saying goes, a word to the wise is enough.",ข้าจะหยุดรบกวนเจ้า ดังคำกล่าวที่ว่า แค่คนฉลาดก็เพียงพอแล้ว
M20300-1option1_dialogue,
M20300-1option1_1,
M20300-1option1_2,
M20300-1option1_3,
M20300-1option1_4,
M20300-2option1_dialog,Do you have anything to prove your identity or origin?,เจ้ามีอะไรที่จะพิสูจน์ตัวตนหรือที่มาของเจ้าหรือไม่?
M20300-2option1_1,"You two soldiers have worked hard to guard the city, here's some money for tea.<color=#097a76>(500 Wen)</color>",ท่านทั้งสองทำงานหนักเพื่อปกป้องเมือง ข้าขอเลี้ยงน้ำชาพวกท่าน <color=#097a76>(500 อีแปะ)</color>
M20300-2option1_2,"Ah, my background, it starts 20 years ago...<color=#097a76>(Persuade reached Intermediate)</color>",อา เบื้องหลังของข้า เริ่มต้นเมื่อ 20 ปีที่แล้ว...<color=#097a76>(การชักจูงถึงระดับกลาง)</color>
M20300-2option1_3,Find another way into the city.,หาทางเข้าไปในเมืองอีกทางหนึ่ง
M20300-3option1_1,"I'll go with you to the Government Office, the innocent have nothing to fear.",ข้าจะไปศาลาว่าการกับเจ้า ผู้บริสุทธิ์ไม่มีอะไรต้องกลัว
M20300-3option1_2,Dream on if you want to take me to the Government Office!<color=#097a76>(Specific Battle)</color>,ฝันไปเถอะ ถ้าจะพาข้าไปที่ศาลาว่าการ!<color=#097a76>(ศึกเฉพาะ)</color>
M20300-12option1_dialog,May I ask your business?,ข้าขอถามธุรกิจของท่านได้ไหม?
M20300-12option1_1,"A member of the Ye family is visiting, please make it convenient.<color=#097a76>(Ye Yinpeng is accompanying)</color>",มีสมาชิกในตระกูลเย่มาเยี่ยม โปรดอำนวยความสะดวก<color=#097a76>(เย่ หยินเผิงมาด้วย)</color>
M20300-12option1_2,I'm here to celebrate the Duke's birthday.<color=#097a76>(Duke Chai's invitation card)</color>,ข้ามาที่นี่เพื่อเฉลิมฉลองวันเกิดของท่านอ๋อง<color=#097a76>(เทียบเชิญของอ๋องไฉ)</color>
M20300-12option1_3,Can you give me some leeway considering our Relations?<color=#097a76>(Relations reached 60)</color>,เจ้าช่วยข้าโดยมองถึงความสัมพันธ์เก่าก่อนของเราหน่อยได้ไหม<color=#097a76>(ความสัมพันธ์ถึง 60)</color>
M20300-12option1_4,"Nothing, I'll take my leave.",ไม่มีอะไร ข้าจะขอลาออก
M20300-14option1_dialog,May I ask your business?,ข้าขอถามธุรกิจของท่านได้ไหม?
M20300-14option1_1,"A member of the Ye family is visiting, please make it convenient.<color=#097a76>(Ye Yinpeng is accompanying)</color>",มีสมาชิกในตระกูลเย่มาเยี่ยม โปรดอำนวยความสะดวก<color=#097a76>(เย่ หยินเผิงมาด้วย)</color>
M20300-14option1_2,I'm here to celebrate the Duke's birthday.<color=#097a76>(Duke Chai's invitation card)</color>,ข้ามาที่นี่เพื่อเฉลิมฉลองวันเกิดของท่านอ๋อง<color=#097a76>(เทียบเชิญของอ๋องไฉ)</color>
M20300-14option1_3,Can you give me some leeway considering our Relations?<color=#097a76>(Relations reached 60)</color>,เจ้าช่วยข้าโดยมองถึงความสัมพันธ์เก่าก่อนของเราหน่อยได้ไหม<color=#097a76>(ความสัมพันธ์ถึง 60)</color>
M20300-14option1_4,"Nothing, I'll take my leave.",ไม่มีอะไร ข้าจะขอลาออก
M20300-21_npcname1,Tipsy middle-aged man,ชายวัยกลางคนขี้เมา
M20300-21_npcname2,Young Taoist,นักพรตน้อย
M20300-21option1_dialog,"Look at this stubborn kid, he's even more troublesome than his master.\nYoung man, we're destined to meet, can you help me out?","ดูเด็กหัวรั้นคนนี้สิ เขาลำบากกว่าอาจารย์ของเขาด้วยซ้ำ\nหนุ่มน้อย เราถูกกำหนดมาให้ได้พบกันแล้ว เจ้าช่วยข้าหน่อยได้ไหม?"
M20300-21option1_1,Is this bottle of wine to your taste?<color=#097a76>(Jiannan wine1 pot)</color>,เจ้าชอบสุราไหนี้ไหม?<color=#097a76>(สุราเจียนหนาน1 ไห)</color>
M20300-21option1_2,"It's better to meet by chance than to invite, let me treat you today!<color=#097a76>(1000 Wen·one shichen)</color>","พบกันโดยบังเอิญดีกว่าถูกเชิญให้มาพบ, วันนี้ให้ข้าเลี้ยงเอง!<color=#097a76>(1,000 อีแปะ หนึ่งชั่วโมง)</color>"
M20300-21option1_3,"It's hard for a clean official to settle domestic disputes, I can't interfere in your affairs.",เป็นเรื่องยากสำหรับข้าราชการที่เที่ยงธรรมที่จะจัดการกับข้อพิพาทภายในประเทศ แต่ข้าไม่สามารถควบคุมงานของท่านได้
M20300-21option2_dialog,"Kid, you're so eager to please me, what do you want?",เจ้าหนู เจ้ากระตือรือร้นที่จะทำให้ข้าพอใจมาก เจ้าต้องการอะไร?
M20300-21option2_1,Give some martial arts tips.,ให้คำแนะนำศิลปะการต่อสู้บางอย่าง
M20300-21option2_2,Request for martial arts stories.,ขอเรื่องราวศิลปะการต่อสู้
M20300-21option2_3,Nothing else.,ไม่มีอะไรอีกแล้ว.
M20300-31_name,Search for people in Lin'an,ค้นหาผู้คนในหลินอัน
M20300-31_talk,Search for people,ค้นหาผู้คน
M20300-31_overview1,"Get <color=#c44b0e>Monkey wine</color> to attract La Tazhang, or search every corner of Lin'an City.",รับ<color=#c44b0e>สุราวานร</color>เพื่อดึงดูด ลาทาจาง หรือค้นหาทุกซอกทุกมุมของเมืองหลินอัน
M20300-31_overview2,"Walk around the remote areas of Lin'an City with Monkey wine, you might discover something.","ลองเดินไปรอบ ๆ บริเวณที่ที่เข้าถึงยากของเมืองหลินอัน พร้อม""สุราวานร"", เผื่อเจ้าจะพบเจออะไรบ้างอย่าง"
M20300-31_overview3,Go to the bridge in the city and inform Chang Chunzi.,ไปที่สะพานในเมืองแล้วแจ้งฉางชุนจื่อ
M20300-31_overview4,Talk with Chang Chunzi.,พูดคุยกับฉางชุนจื่อ
M20300-31option1_dialog,"Where can I find Monkey wine in Lin'an City...\nCan you help me figure it out?","ข้าจะหาสุราวานรนี้ได้ที่ไหนในเมืองหลินอัน...\nเจ้าช่วยข้าคิดได้ไหม?"
M20300-31option1_1,I'll help you find your uncle.,ข้าจะช่วยเจ้าตามหาลุงเจ้า
M20300-31option1_2,I'm really helpless.,ข้าทำอะไรไม่ถูกจริงๆ
M20300-31option2_dialog,"{PlayerSurName} young hero, can you help me find my uncle now?",จอมยุทธ์น้อย{PlayerSurName} ท่านช่วยข้าตามหาท่านลุงตอนนี้เลยได้หรือไม่?
M20300-31option2_1,I'll help you find your uncle.,ข้าจะช่วยเจ้าตามหาลุงเจ้า
M20300-31option2_2,I still have no clue.,ข้าไม่รู้เลย.
M20300-31option3_dialog,What do you want to do?,เจ้าอยากทำอะไรล่ะ?
M20300-31option3_1,I'll exchange a pot of good wine with you.<color=#097a76>(Luofu spring wine1 pot)</color>,ข้าจะแลกเปลี่ยนสุราชั้นยอดกับเจ้า<color=#097a76>(สุราใบไม้ผลิลั่วฟู 1 ไห)</color>
M20300-31option3_2,Is this money enough to buy your Monkey wine? <color=#097a76>(2000 Wen)</color>,เงินเท่านี้พอซื้อสุราวานรหรือไม่ <color=#097a76>(2000 อีแปะ)</color>
M20300-31option3_3,Or would you like me to teach you some advanced Beast Taming techniques? <color=#097a76>(Beast Taming reaches Advance)</color>,หรือเจ้าต้องการให้ข้าสอนเทคนิคการฝึกสัตว์ขั้นสูงแก่เจ้า? <color=#097a76>(การฝึกฝนสัตว์ถึงขั้นก้าวหน้า)</color>
