﻿end015_1,Life is impermanent and constantly changing; home can be found wherever you discover peace of mind.,ชีวิตเป็นสิ่งไม่เที่ยงและเปลี่ยนแปลงตลอดเวลา บ้านสามารถเป็นได้ทุกที่ที่เจ้ารู้สึกสบายใจ
M20100-18_6_4,"Yes, yes, yes.\nYoung master, {PlayerSurName} master, please come in."
M20100-19_1_1,{yell} Stop!!!
M20100-19_1_2,"Who are you?\nIs the gate of the Ding family something that anyone can enter?"
M20100-19_1_3,(What should I do to get in?),(ต้องทำอย่างไรจึงจะเข้าได้?)
M20100-19_2_1,"{yell} Guards, there's trouble!"
M20100-19_3_1,"You dare to stop me, you're really overestimating yourselves."
M20100-19_4_1,"Alright, alright, if you have the ability to be favored by the old master, and become the son-in-law, you will be half the master in the future, don't forget to take care of me then."
M20100-19_5_1,"So it's {PlayerSurName} brother, I almost didn't recognize you!"
M20100-19_5_2,"If you have the ability to be favored by the old master, and become the son-in-law, you will be half the master in the future, don't forget to take care of your old brother then."
M20300-16_1_1,Who dares to disturb my sleep...
M20300-16_1_2,"Bah, who dares to obstruct my official duties!"
M20300-16_1_3,"(Damn, this guy sleeps with his eyes open, who knows he's napping.)"
M20300-16_1_4,"General, I want to go into this tower to broaden my horizons..."
M20300-16_1_5,"Nonsense!\nThis Enlightment Tower is full of treasures, how can we let people like you in."
M20300-16_2_1,"{yell} Boy, stop for the general!"
M20300-16_2_2,"General, I want to go into this tower to broaden my horizons..."
M20300-16_2_3,"Nonsense!\nThis Enlightment Tower is full of treasures, how can we let people like you in."
M20300-16_2_4,(What should I do to get in?),(ต้องทำอย่างไรจึงจะเข้าได้?)
M20300-16_3_1,"{yell} Rebellion, openly attacking the general!"
M20300-16_3_2,"These people are rebels, kill them on the spot!"
M20300-16_4_1,"What treasures are in this tower, I have to go in and see for myself."
M20300-16_5_1,"Boy, you're quite capable.\nSince you insist on going in to see, I hope you won't regret it later."
M20300-16_6_1,"Given our Relations, I advise you not to go in!"
M20300-16_6_2,What do you mean? Are you afraid of being punished by your superior for letting outsiders in?
M20300-16_6_3,"I've said all I can, you take care of yourself."
M20300-17_1_1,Do you think that guy just now can make it?
M20300-17_1_2,There hasn't been a good fighter for so many days.
M20300-17_1_3,"That guy just now has been in there for a long time, he might be able to make it."
M20300-17_1_4,If I were 40 years younger...
M20300-17_1_5,I wonder who will end up with the treasure.
M20300-17_1_6,"Damn it, that was a hard hit..."
M20300-17_1_7,"Who cares about the treasure, I need to save my life!"
M20300-17_1_8,"Wow, he got beaten up pretty bad..."
M20300-17_1_9,"Heh heh, I told you he couldn't make it!"
M20300-17_1_10,"Sure enough, he came with high hopes and left disappointed."
M20300-17_1_11,"Hero, would you like to buy some Healing medicine?"
M20300-17_1_12,It's so lively here.,ที่นี่ช่างคึกคักเสียจิง
M20300-17_1_13,"How can it not be lively, this tower climbing treasure hunt is now the hottest thing in Lin'an City.",จะไม่ให้คึกคักได้ยังไง หอคอยสมบัตินี้เป็นที่ที่ร้อนแรงที่สุดในเมืองหลินอันตอนนี้เลยล่ะ
M20300-17_2_1,What's this tower climbing treasure hunt all about?,หอคอยสมบัตินี้ มีอะไรอย่างนั้นหรือ
M20300-17_2_2,How can you not know about such a big event?,เรื่องใหญ่เช่นนี้ เจ้าไม่รู้อะไรเลยอย่างนั้นหรือ?
M20300-17_2_3,"I'm new here and don't know much about many things, could you please tell me?",ข้ายังใหม่สำหรับที่นี่ ยังไม่รู้เรื่องอะไรมากนัก ขอท่านโปรดบอกข้า
M20300-17_2_4,"Alright, there's nothing exciting going on right now, I'll tell you.",ยังไงก็ไม่มีอะไรน่าตื่นเต้นอยู่แล้วตอนนี้ จะบอกเจ้าก็ได้
M20300-17_2_5,"This Enlightment Tower was originally used to suppress the river tide, later it became a place for dignitaries to play and sightsee, ordinary people are not allowed to enter.",ที่หอรู้แจ้งนี้เดิมทีใช้เป็นที่กั้นกระแสน้ำในแม่น้ำ ต่อมาก็ใช้เป็นที่ชมทิวทัศน์สำหรับบุคคลสำคัญเท่านั้น คนธรรมดาไม่อนุญาตให้เข้าไป
M20300-17_2_6,"Recently, a big shot from the Imperial City Department visited the Enlightment Tower and set up a treasure hunt Arena, claiming that anyone who can reach the top floor will receive a priceless treasure and the opportunity to join the Imperial City Department.",เมื่อเร็วๆ นี้ มีข่าวใหญ่จากกรมวังหลวง ผู้ที่เคยมายังหอคอยแห่งนี้ ได้จัดตั้งสนามแข่งขันล่าสมบัติ และยังรับประกันว่าหากผู้ใดที่สามารถขึ้นไปชั้นบนของหอคอยได้ ก็จะได้รับสมบัติล้ำค่า และยังมีโอกาสร่วมงานกับทางกรมวังหลวงด้วย
M20300-17_2_7,"I don't know what the Imperial City Department is, but if it can be listed alongside a priceless treasure as the final reward, it must not be bad.",ข้าไม่รู้กรมวังหลวงคืออะไร แต่ถ้ามันเกี่ยวกับสมบัติล้ำค่าละก็ ข้าว่าคงไม่ได้เรื่องเลวร้ายนักหรอก
M20300-17_2_8,"We ordinary people only hear that the Imperial City Department is very powerful, even the royal family and relatives dare not provoke them, I heard that even His Highness, Duke Kang, is very polite to that big shot.",คนธรรมดาอย่างพวกเราได้ยินเพียงว่ากรมวังหลวงมีอำนาจมาก แม้แต่ราชวงศ์และเครือญาติก็ไม่กล้ารบกวนพวกเขา ข้ายังได้ยินมาว่าแม้แต่อ๋องคังก็ยังต้องสุภาพด้วย
M20300-17_2_9,"In that case, I'm interested in trying my hand, maybe I can get a high position in the Imperial City Department.",ข้าสนใจจะลองดู บางทีข้าอาจได้ตำแหน่งสูงๆ ในกรมวังหลวงก็ได้
M20300-17_2_10,"Oh, that's good. If you become a high official in the future, I can also benefit from your good fortune.",โอ้ ดียิ่ง หากเจ้าได้เป็นข้าราชการระดับสูงจริงในอนาคต ข้าก็จะได้ประโยชน์จากความโชคดีของเจ้าเช่นกัน
M20300-17_3_1,"I came here for this reason, I'll give it a try, maybe the treasure will be mine.",เอาละ ข้าจะลองดู บางทีสมบัตินั่นอาจเป็นของข้า
M20300-17_3_2,There's going to be a show~
M20300-17_4_1,"If you want to participate in the treasure hunt, go talk to the general in front of the tower.",ถ้าเจ้าอยากเข้าร่วมการล่าสมบัติละก็ ไปคุยกับพลทหารที่หน้าหอคอยได้เลย
M20300-17_4_2,Thanks for the information.,ขอบคุณสำหรับข้อมูล
M20300-17_5_1,"General, I want to participate in this treasure hunt Arena."
M20300-17_5_2,"Are you familiar with the rules of this Arena?\nThis Arena is not something you can win just by brute force."
M20300-17_5_3,I'm about to request the rules of the Arena from the general.
M20300-17_5_4,"This Enlightment Tower has 6 floors, each floor has a gatekeeper, you can only enter the next floor after defeating the gatekeeper."
M20300-17_5_5,"The rules don't sound special, just defeat the gatekeeper on each floor, right?"
M20300-17_5_6,"Nothing special? These gatekeepers are martial arts masters carefully selected by the commander, if you underestimate them, you will definitely suffer."
M20300-17_6_1,Are you sure you want to participate in the treasure hunt now?
M20300-17_7_1,"Get out of the way, don't interfere with my work."
M20300-17_8_1,"Go in quickly, the commander is waiting anxiously."
M20300-17_9_1,"Good luck, young hero."
M20300-17_9_2,"Oh, someone is going for the treasure again!"
M20300-17_9_3,Come on!
M20300-17_9_4,"Tsk, doesn't look as good as me."
M20300-17_11_1,"You look weak, and you dare to challenge the Enlightment Tower?"
M20300-17_11_2,We'll see.
M20300-17_11_3,"It's hard to guard the first floor, all kinds of people come to fight, it's exhausting."
M20300-17_11_4,"If you talk so much to everyone who comes to challenge, it will indeed be very hard."
M20300-17_11_5,"Humph, I'll show you my power on the horse!"
M20300-17_12_1,"It's nothing great to beat me, I'm just the bottom of the barrel.\nThere are more powerful guys upstairs, if you're not afraid of getting beaten, just go upstairs."
M20300-17_12_2,"I've finished my work for today, I'll take my leave.",วันนี้ข้าทำงานของข้าเสร็จแล้ว ข้าจะขอลา
M20300-17_15_1,"You're really a low-level character, get out of here, don't get in the way."
M20300-17_16_1,Do you want to give up the treasure hunt?
M20300-17_17_1,"Young hero {PlayerName}, I'm sorry, according to the rules, you need to have 6 people in your team to hunt for treasure, now you have violated the rules, please run away from the Enlightment Tower."
M20300-17_18_1,"Finally, someone decent has come, I hope this will be an interesting fight!"
M20300-17_21_1,"You're an interesting guy, go upstairs."
M20300-17_22_1,"By the way, let me remind you, the guy upstairs is much more powerful than me, you have to be careful~"
M20300-17_22_2,You scared me!
M20300-17_22_3,Hahahaha——
M20300-17_23_1,"Is that all you've got? It seems I can be wrong about people too.\nYou'd better go home and practice more, your current skills are not enough!","แค่สองช่วงเวลานี้เองเหรอ? ดูเหมือนว่าบางครั้งข้าก็ตัดสินคนอื่นผิด\nท่านควรกลับบ้านไปฝึกซ้อมใหม่ดีกว่า กังฟูแมว 3 ขาที่คุณมีตอนนี้ไม่เพียงพอโดยสิ้นเชิง!"
M20300-17_24_1,"Someone's coming, you're in luck."
M20300-17_24_2,"{yell}This guy is crazy, run——"
M20300-17_25_1,What's going on?
M20300-17_25_2,"The treasure belongs to me alone, you are not worthy!"
M20300-17_25_3,"If you have the ability, go challenge the next level, why are you competing with me? We are both challengers."
M20300-17_25_4,"He just tried to blow up the stairs to the third floor, but I stopped him."
M20300-17_25_5,Blow up... indeed a despicable madman.
M20300-17_26_1,"You rats are simply wasting my time, Blitz attack!"
M20300-17_32_1,You are very powerful...
M20300-17_32_2,"Wait until my swordsmanship is perfected, I will make you feel the pain from hell!"
M20300-17_32_3,How are your injuries?
M20300-17_32_4,"They are all superficial wounds, I won't die..."
M20300-17_32_5,"Come on, gatekeeper, I'm in a hurry."
M20300-17_32_6,"Stop joking, you've driven that madman away, I admit I can't beat you, you've passed this level."
M20300-17_32_7,"I don't know how many ribs were broken by that guy, I'm going to have to rest for several months now."
M20300-17_33_1,"Alas, you really disappoint me, it seems that the madman you drove away is also mediocre."
M20300-17_34_1,What just happened downstairs?
M20300-17_34_2,"A madman didn't want other challengers to climb the tower, he wanted to blow up the stairs, but I drove him away."
M20300-17_34_3,"Since you say so, I suppose your skills won't disappoint me."
M20300-17_34_4,"If I didn't have some skills, I wouldn't have reached the fourth floor of this Enlightment Tower."
M20300-17_34_5,"Make your move, as long as you defeat me, you can go to the fifth floor."
M20300-17_35_1,"I won't hold back, be careful!"
M20300-17_36_1,"Impressive, indeed there are always people better than oneself.\nPlease go to the fifth floor, young hero."
M20300-17_37_1,"Yo~ I thought the person who could reach the fifth floor must have some extraordinary abilities, but it turns out to be a green kid."
M20300-17_37_2,"I originally thought the fifth floor gatekeeper would either be a handsome gentleman or a heroic woman, but it turns out to be neither male nor female."
M20300-17_37_3,"You little kid, you are good at verbal fights, if I have the chance in the future, I will definitely take you back to the palace and train you well."
M20300-17_37_4,"I don't want to waste words with you, a disgusting person, let's fight quickly!"
M20300-17_37_5,"You are really impatient, but I like it."
M20300-17_38_1,"Now that I've won, you can get lost, I feel uncomfortable seeing you."
M20300-17_38_2,"Don't be too proud too early, the commander won't be as soft-hearted as me!"
M20300-17_39_1,"You are still a kid after all, your Amateurish Strike can't catch the commander's eye."
M20300-17_40_1,"Finally someone has reached the sixth floor, it's worth my long wait."
M20300-17_41_1,"{PlayerName}! It's you, this is beyond my expectation."
M20300-17_41_2,"Tong Daofu, so you are the big shot from the Imperial City Department!",ถงเต๋าฟู่ ดังนั้นเจ้าคือบุคคลสำคัญจากกรมวังหลวง!
M20300-17_41_3,"In the Imperial City Department, I am the most respected, the power of the Imperial City Department is second only to one person and above all others...",ในกรมวังหลวงข้าเป็นที่เคารพนับถือมากที่สุด อำนาจของกรมวังหลวงเป็นรองเพียงคนเดียวแต่อยู่เหนือทุกสิ่ง...
M20300-17_41_4,"I fought all the way here, not to listen to your bragging about the Imperial City Department.",ข้าต่อสู้มาตลอดทางที่นี่ ไม่ได้มาเพื่อฟังคำโอ้อวดของเจ้าเกี่ยวกับกรมวังหลวง
M20300-17_41_5,"Good, let me see how much your martial arts have improved, {PlayerSurName} young hero!"
M20300-17_42_1,"Now that I have reached the top, should the reward be fulfilled?"
M20300-17_42_2,"Oh, there are still people in the martial arts world who don't know me, I'm so sad."
M20300-17_42_3,"I am the commander of the Imperial City Department - Tong Daofu, in the Imperial City Department, I am the most respected, the power of the Imperial City Department is second only to one person and above all others...",ข้าเป็นผู้บัญชาการของกรมวังหลวง - ถงเต๋าฟู่ ในกรมวังหลวงข้าเป็นที่เคารพนับถือมากที่สุด อำนาจของกรมวังหลวงเป็นรองเพียงคนเดียวแต่อยู่เหนือทุกสิ่ง...
M20300-17_42_4,"I fought all the way here, not to listen to your bragging about the Imperial City Department.\nSo how can I get that priceless treasure?","ข้าต่อสู้มาตลอดทางที่นี่ ไม่ได้มาเพื่อฟังคำโอ้อวดของเจ้าเกี่ยวกับกรมวังหลวง\nดังนั้นเจ้าจะมอบสมบัติล้ำค่านั้นให้ข้าได้หรือยัง?"
M20300-17_42_5,"Want a treasure? That's easy.\nLet's see what you, who have reached the sixth floor of the Enlightment Tower, are capable of!"
M20300-17_43_1,"Huh, I didn't expect you to be so mediocre, it's disappointing.\nThose lazy guys on the first five floors must have let you through."
M20300-17_43_2,"Guards, kick this kid out of the Enlightment Tower!\nThe previous five tower guards are banished to the wilderness, unforgivable till death!"
M20300-17_43_3,"I don't know which bastard pissed off the commander, the treasure hunt in the tower is cancelled, you all can leave, there's no more excitement."
M20300-17_43_4,"Who's so unkind, I won't let him off"
M20300-17_43_5,"What, no more excitement?"
M20300-17_43_6,"I haven't participated yet, how can it end"
M20300-17_43_7,The commander is as capricious as a woman
M20300-17_43_8,"Disperse, disperse"
M20300-17_45_1,...What a handsome kung fu!
M20300-17_45_2,"I concede!\nThis priceless treasure..."
M20300-17_45_3,"I always keep my word. The treasure of the Enlightment Tower is in that box over there. Here's the key, you can take the treasure."
M20300-17_45_4,Then I won't be polite~
M20300-17_46_1,"I have a question for you, you must answer honestly."
M20300-17_46_2,What's the matter?
M20300-17_46_3,"{PlayerName}, would you like to join Duke Qi's Manor and work for Duke Qi?"
M20300-17_46_4,So the real purpose of using the treasure as a cover is to recruit talents for Duke Qi!
M20300-17_46_5,"Right, Duke Qi is closely watched by those Yan people. Otherwise, we wouldn't have to come all this way to act in such a lousy play!"
M20300-17_47_1,"Duke Qi? He's just a phony who is bowing and scraping to the Yans. {PlayerName}, you mustn't listen to this eunuch's deceitful words!"
M20300-17_47_2,"Lady Ye, I didn't ask for your opinion, you better step aside."
M20300-17_48_1,"Bah, he's just a puppet being manipulated!\nIf he really had the intention, he would have sent troops to fight those Yan dogs long ago!"
M20300-17_48_2,"You reckless little fellow, you only knows how to charge forward like a mad bull. How could you understand the hardships endured by His Highness, Duke Qi, as he endures humiliation and patiently bides his time?"
M20300-17_48_3,"Old monster, believe it or not, I'll smash you with a hammer!"
M20300-17_49_1,"{PlayerName}, your father's last wish was to drive out the barbarians and restore the country, and you agreed at the time. If you listen to this eunuch, you are a traitor!"
M20300-17_49_2,"Oh, I thought it was someone else, isn't this the young master of the Yang family?\nIt seems that those who arrested your Yang family back then were really useless, they didn't cut the grass and remove the roots, leaving a little trouble."
M20300-17_49_3,"You dare to disrespect my father! My father was loyal to the country, but was framed, how can you, a eunuch, point fingers here!"
M20300-17_50_1,"{PlayerName}, our family is waiting for your answer. Think about it, once Duke Qi's plan is successful, you will be above everyone else! As long as you agree, the wealth and glory of the rest of your life are within easy reach."
M20300-17_51_1,Duke Qi is weak and willingly serves the people of Yan; this is widely known throughout the realm.
M20300-17_51_2,"f I were to join Duke Qi, wouldn't I be serving a dog? Isn't that even worse than being a dog?"
M20300-17_51_4,"I'll take a step back, {PlayerName}, you are one of the few young talents who can catch my eye, our Imperial City Department is recruiting talents from all over the world, would you like to join us?",ข้าจะถอยกลับไป {PlayerName} เจ้าเป็นหนึ่งในเด็กที่มีพรสวรรค์เพียงไม่กี่คนที่ดึงดูดสายตาของข้า กรมวังหลวงของเรากำลังรับสมัครผู้มีความสามารถจากทั่วทุกมุมโลก เจ้าต้องการเข้าร่วมกับเราไหม?
M20300-17_52_1,"The Imperial City Division sounds impressive, but the one in charge is not a real man.\nI wonder if staying inside for a long time will make you neither male nor female like you?"
M20300-17_52_2,"{PlayerName}, I have been tolerating you because I see you as a talent. I didn't expect you to not appreciate my kindness and keep insulting me. Do you really think I'm easy to bully?"
M20300-17_52_3,"His Highness, Duke Qi, instructed me that if we could recruit this talent, we should do so; if not, even if we have to ruin him, we must ensure he is not used by others!"
M20300-17_52_4,"{PlayerName}, you are here, just like a turtle in a jar, a meat on the case. You can take your arrogance and go on your way!"
M20300-17_53_1,"You think you can take me down with this little skill?\nHave you been sitting in the position of the commander of the Imperial City Division for too long, and your brain is not working well?"
M20300-17_53_2,Hehehehe——
M20300-17_53_3,"Kid, you're still too green.\nI am the commander of the Imperial City Division, how could I have only this trick."
M20300-17_53_4,Do you have any other tricks?
M20300-17_53_5,"{yell} Come here, kill him for me!"
M20300-17_54_1,"Tsk, how is this brat so powerful..."
M20300-17_54_2,"Kid, you offended me, just wait for your ten clans to be implicated!"
M20300-17_55_1,The things in this box are finally mine!,ในที่สุดสิ่งของในกล่องนี้ก็ตกเป็นของข้าแล้ว!
M20300-17_56_1,"This box has been tampered with and a gunpowder fuse has been installed, luckily I'm good at cracking machinery!",กล่องนี้ถูกงัดแงะและติดตั้งผงดินปืนไว้ โชคดีที่ข้าแก้กลไกลเครื่องจักรเก่ง!
M20300-17_56_2,"Done, it's safe now.\nThis old guy is really cunning, he actually wanted to kill me with this method."
M20300-17_57_1,"This old guy is really cunning, he actually wanted to kill me with this method.\nFortunately, I dodged quickly, otherwise I would have been blown up!"
M20300-17_58_1,"This old guy is really cunning, he actually wanted to kill me with this method.\nFortunately, I have a hard life, otherwise I would have been blown up!"
M20300-17_59_1,The old guy is really cunning...
M20300-17_60_1,"I don't know if I just saw it wrong, how did I see Lord Tong flying away from the top of the tower?"
M20300-17_60_2,"Hey, you are the challenger who just entered, how did it go, did you get the treasure?"
M20300-17_60_3,"What is the treasure, show it to us"
M20300-17_60_4,We've been waiting for a long time and can't wait in vain
M20300-17_60_5,Can he also finally get the treasure?
M20300-17_60_6,Why didn't the commander show up?
M20300-17_60_7,This kid doesn't seem too happy...
M20300-17_60_8,"I'm sorry to disappoint you all. This time I not only offended Lord Tong of the Imperial City Division, but I almost died inside just now."
M20300-17_60_9,"Lord Tong threatened me when he left, saying that he would execute my ten clans...\nAh, everyone is so enthusiastic about me, I don't know if I will be counted in the ten clans in the future."
M20300-17_60_10,"I, the general, know nothing and heard nothing.\nWhere did this wild kid come from, get out of my way, don't get in the way here!"
M20300-17_60_11,We don't know you at all
M20300-17_60_12,"Don't try to build Relations, whose family are you from?"
M20300-17_60_13,What just happened?
M20300-17_60_14,"It's too late, it's time to go home and sleep"
M20300-17_60_15,"There's nothing interesting to see, go home"
M20200-16_1_1,"Do you know what this place is?\nYou dare to break into Duke Qi's Manor!","เจ้ารู้ไหมว่านี่คือสถานที่อะไร?\nเจ้ากล้าที่จะบุกเข้าไปในตำหนักของอ๋องฉี!"
M20200-16_1_2,(What should I do to get in?),(ต้องทำอย่างไรจึงจะเข้าได้?)
M20200-16_2_1,"{yell} There are thieves breaking into the mansion, come here!",{yell} มาที่นี่เร็ว มีโจรบุกเข้าไปในตำหนัก!
M20200-16_2_2,"Kid, you're in such a hurry to reincarnate, let us send you on your way!",ไอ้หนู เจ้ารีบร้อนไปเกิดใหม่ ให้พวกเราส่งเจ้าออกเดินทางเถอะ!
M20200-16_3_1,Who is in such a hurry to reincarnate? Do you want me to send you on your way?,ใครกันรีบร้อนไปเกิดใหม่? เจ้าอยากให้ข้าส่งเจ้าไหม!
M20200-16_4_1,"Oh, my eyes are blinded by the wind...",โอ้ ตาข้ามองไม่เห็นเพราะลม...
M20200-16_4_2,It's so uncomfortable not being able to see clearly,มันอึดอัดมากที่มองเห็นได้ไม่ชัดเจน
M20200-16_5_1,"Considering our Relations, I'll help you this time. If you get caught, don't say you know me.",เห็นแก่ความสัมพันธ์ของเรา คราวนี้ข้าจะช่วยเจ้า ถ้าถูกจับได้ อย่าบอกว่ารู้จักข้า
M20200-16_6_1,"Princess, you're finally back! His highness, Duke Kang, can now rest assured!\nHis highness found that you are not in the mansion and was worried about your safety, so he sent many people to find you.","องค์หญิง, ในที่สุดท่านก็กลับมาแล้ว! ตอนนี้อ๋องคังทรงวางพระทัยได้แล้ว!\nองค์ชายพบว่าองค์หญิงไม่ได้อยู่ในตำหนักและกังวลเรื่องความปลอดภัยของท่าน จึงส่งคนจำนวนมากออกไปตามหา"
M20200-16_6_2,"{PlayerSurName} The young hero is my husband, can you let us in?",จอมยุทธ์หนุ่ม{PlayerSurName}คือสามีของข้า ให้เราเข้าไปได้ไหม?
M20200-16_6_3,"Unexpectedly, it's Lord {Horse} who has graced us with his presence!\nPlease forgive my rudeness, please come in.","ไม่คาดคิด เป็นใต้เท้าที่ให้เกียรติเราด้วยการมาของเขา!\nโปรดอภัยในความหยาบคายของข้า กรุณาเข้ามาด้านใน"
M20200-16_7_1,"I am the newly appointed scholar {PlayerName}, invited by Duke Qi.",ข้าเป็นบัณฑิตที่ได้รับการแต่งตั้งใหม่{PlayerName} ซึ่งได้รับเชิญจากอ๋องฉี
M20200-16_7_2,"So you are the distinguished guest of His Highness, I apologize for my rudeness, please come in.",ท่านเป็นแขกผู้มีเกียรติของฝ่าบาท ขออภัยในความหยาบคาย โปรดเข้ามาข้างใน
M5012-3_1_1,{PlayerSurName}'s performance in the Hero Convention really impressed me.,ฝีมือของ{PlayerSurName} ในงานชุมนุมยอดยุทธ ทำให้ข้าประทับใจมากจริงๆ
M5012-3_2_1,"Don't make fun of me, I clearly lost miserably."
M5012-3_2_2,"Not at all, your courage to face difficulties and never give up is admirable."
M5012-3_3_1,"No, no, I was just lucky!",ไม่ ไม่หรอก ข้าแค่โชคดีเท่านั้น!
M5012-3_3_2,"Whether it's luck or skill, I can tell at a glance, you don't need to be modest."
M5012-3_4_1,"Although the Hero Convention has ended, there will be a Peak Swordsmanship Tournament here. If you are interested, you are always welcome.",แม้ว่างานชุมนุมยอดยุทธจะสิ้นสุดลงแล้ว แต่จะมีงานชุมนุมวิจารณ์กระบี่ที่นี่ หากเจ้าสนใจ ข้ายินดีต้อนรับเสมอ
M5012-3_4_2,"Peak Swordsmanship? What are the rules, tell me about it?"
M5012-3_5_1,"The Peak Swordsmanship Tournament is arguably the biggest event in the martial arts world today.\nAll participants are top-notch martial artists from various sects or wandering the world."
M5012-3_5_2,"The tournament is open all day, with no time limit.\nIt is divided into three levels, suitable for martial artists of different skills."
M5012-3_5_3,"First is the ""Shrimp"" level, only the top disciples and young talents of each sect are eligible to participate."
M5012-3_5_4,"Next is the ""Chief"" level, those eligible to participate in this level are all well-known in the martial arts world, or are heroes who can dominate one side."
M5012-3_5_5,"Finally, there is the ""Grandmaster"" level, as the name suggests, only those who can establish their own sects are eligible to participate."
M5012-3_5_6,"The competition method is the same as the Hero Convention, using an elimination system. If you can win <color=#c44b0e>ten</color> games in a row, you will be the leader of the current level.",วิธีการแข่งขันจะเหมือนกับงานชุมนุมยอดยุทธโดยใช้ระบบคัดออก หากเจ้าสามารถชนะได้ <color=#c44b0e>สิบ</color> ครั้งติดต่อกัน เจ้าจะเป็นผู้นำในระดับปัจจุบัน
M5012-3_5_7,"However, if you are unlucky and fail to win, it doesn't matter, both the runner-up and the third place can get Swordsmanship Tokens that can be used to exchange for some rare materials."
M5012-3_5_8,Do you have any other questions?,เจ้ามีอะไรจะถามอีกหรือไม่?
M5012-3_6_1,Would you like to sign up for this Peak Swordsmanship Tournament?
M5012-3_7_1,Come find me when you are interested.,มาหาข้าเมื่อท่านสนใจ
M5012-3_8_1,"Good, I wish you a successful start and victory in every battle."
M5012-3_9_1,"Congratulations on your victory!\nDon't forget me when you become successful in the future~"
M5012-3_10_1,"Victory or defeat is a common occurrence in the military, don't be discouraged, just win next time."
M5012-3_11_1,I didn't expect this competition to attract the attention of legendary figures...
M5012-3_12_1,You were able to win the Grandmaster level! It seems that no one in the martial arts world today is your match.
M20114-1_1_1,"You're just in time!\nYou helped us solve a big problem, I was just about to thank you."
M20114-1_1_2,I don't remember helping you with anything.
M20114-1_1_3,Did you recently encounter a stray cat nearby...
M20114-1_1_4,"Oh, so it's about that.\nBut how did you know?"
M20114-1_1_5,"Although we are lowly people, our information is top-notch.\nEven though you were secretive, you were still discovered by those who are interested..."
M20114-1_1_6,"That stray cat was very cunning, it used to sneak into the kitchen to steal fish.\nYou helped us solve this problem, our business has improved a lot, thanks to you."
M20114-1_1_7,"These things are not much, but please accept them."
M20114-1_2_1,Ah... what should I do?,อา.. ข้าควรทำเช่นไรดี?
M20114-1_2_2,"You look worried, is there something bothering you?"
M20114-1_2_3,"Sir, you flatter me. To be honest, a wild cat has been sneaking into the kitchen to steal fish recently..."
M20114-1_2_4,"Cats naturally love fish, and it can't eat much. Why not prepare some kitchen scraps for it?"
M20114-1_2_5,"Ah, sir, you only know half of the story. That cat is very picky, it only eats the most expensive <color=#c44b0e>Golden carp</color>."
M20114-1_2_6,"I didn't expect this cat to be a gourmet.\nCan't you just catch it or drive it away?"
M20114-1_2_7,"No use! The cat is very alert, it disappears as soon as we approach it."
M20114-1_2_8,"Ah, sir, you seem to be quite capable. If you could help us deal with this wild cat, we at Sorrowless Tavern would be very grateful!","เอ่อ, ดูเหมือนนายท่านจะมีความสามารถมากทีเดียว หากนายท่านสามารถช่วยเราจัดการกับแมวป่าตัวนี้ พวกเราที่หอสุราลืมทุกข์จะขอบคุณท่านมาก!"
M20114-1_2_9,Well... I'll give it a try.
M20114-1_3_1,"Shopkeeper, I've dealt with the wild cat. You can rest assured now."
M20114-1_4_1,"Shopkeeper, the wild cat won't come again. You can rest assured now."
M20114-1_5_1,"Really? That's great!\nPlease accept these as a token of our gratitude."
M20114-2_1_1,Meow~,เหมียว~
M20114-2_1_2,What's going on? Why isn't it hiding from me anymore?
M20114-2_1_3,Meow~,เหมียว~
M20114-2_1_4,"Did it smell the fishy scent on me?\nShould I feed it a fish?"
M20114-2_2_1,(Reluctantly eats a few bites)
M20114-2_2_2,Meow--,เหมียว--
M20114-2_3_1,It doesn't seem very satisfied.
M20114-2_4_1,(Slowly finishes the fish)
M20114-2_4_2,Meow--,เมี้ยว--
M20114-2_5_1,This fish doesn't seem to appeal to it much.
M20114-2_6_1,Meow~ Meow~,เมี้ยว~ เมี้ยว~
M20114-2_6_2,Purr... Purr...
M20114-2_7_1,"It seems to be enjoying it a lot, this fish seems to be to its taste."
M20114-2_8_1,Hey? Where are you going...
M20114-2_8_2,Meow~,เหมียว~
M20114-2_9_1,Are you saying this is for me?
M20114-2_10_1,I don't understand what you mean.
M20114-2_11_1,Meow~,เหมียว~
M20114-2_12_1,Are you thanking me for taking care of you for so long?
M20114-2_12_2,"It's a small thing, not worth mentioning."
M20114-2_13_1,"Cross-species communication is really hard.\nNow I know how important it is to master a foreign language."
M20114-2_14_1,The kitten left something behind and ran away. It seems it won't come back.
M20114-2_15_1,"An animal ring! It's one of the twelve animal rings - The Mouse!\nThis cat is too amazing, where did it find it!"
M20114-2_15_2,"Indeed, good deeds are rewarded. It seems I need to do more good deeds in the future."
M20114-2_16_1,Meow~,เมี้ยว~
M20114-2_16_2,"It seems to be craving the fish on me again.\nShould I feed it a fish?"
M20114-2_17_1,Meow--,เหมียว--
M20114-2_18_1,"It's full now, so it's not interested in the fish I brought.\nI'll come back in a few shichen."
M20114-2_19_1,"What does it mean? It's not enthusiastic at all when it sees me, has it forgotten that I fed it?"
M20114-2_20_1,"This is... a copper ring engraved with a mouse?\nThe mouse is so lifelike, just like a real one. The cat didn't mistake it for a real mouse, did it?"
M1200-10_1_1,"Young man, young..."
M1200-10_2_1,Are you calling me?
M1200-10_2_2,"Yes, young man, come here..."
