﻿common_tip_title,Hint,คำแนะนำ
WorldMapCityShow,%s%Learn about <#34657A>{0}</color>'s news on <#34657A>{1}</color>,%s%ได้รับข่าวสารของ <#34657A>{0}</color> เกี่ยวกับ <#34657A>{1}</color>
AutoSetMainInternalKungfu,%s%{0} has been set as the main internal skill,%s%{0} ได้รับการตั้งให้เป็นทักษะกำลังภายในหลัก
And,And
Or,Or
Operation_Equip,EQ,สวมใส่
Operation_LearnBook,LRN,เรียน
Operation_Use,Use,ใช้
Operation_Unknown,UNK,ไม่ทราบ
UIReport_NoMap,No map,ไม่มีแผนที่
UIReport_TipSplitLine,----------The following is system generated information----------
UIReport_DeviceName,Device name
UITitle_MainProp,Main stats,สถานะหลัก
Forge_AddMainMat,Add main Material,ใส่วัตถุดิบหลัก
Forge_AddSubMat,Add auxiliary Material,ใส่วัตถุดิบเสริม
Forge_AddQuenchMat,Add quenching Material
UI_KungfuState_None,Not Learned,ยังไม่เรียน
UIKungfuRight_SelectUnique,Select Super Move,เลือกท่าไม้ตาย
UIKungfuRight_SelectInternalKungfu,Select Internal technique,เลือกพลังภายใน
UIKungfuRight_SelectBook,Select Manual,เลือกตำรา
零,Zero
一,One,หนึ่ง
二,Two,สอง
三,Three,สาม
四,Four,สี่
五,Five,ห้า
六,Six,หก
七,Seven,เจ็ด
八,Eight,แปด
九,Nine,เก้า
十,Ten,สิบ
白,White
千,Thousand
万,Ten thousand
亿,Billion
万亿,Trillion
NpcMumble_通用_Percepting,What?|Am I seeing things?|Hmm?|This...|……|What's going on?|Let's go check it out...
NpcMumble_非人类通用_Percepting,……,……
JingMaiTitle_动,Swift as the Wind,ว่องไวปานสายลม
JingMaiDesc_动,"Fast growth, suitable for quick attack strategy",ความไวสูง เหมาะสำหรับกลยุทธ์การโจมตีที่รวดเร็ว
JingMaiTitle_静,Steadfast like the Mountain,มั่นคงดุจขุนเขา
JingMaiDesc_静,"Tends to defense, adopts Readied strategy",พร้อมตั้งรับ เหมาะใช้กับกลยุทธ์ปักหลักคงที่
JingMaiTitle_刚,Rapacious as the Fire,ร้อนแรงดั่งเปลวเพลิง
JingMaiDesc_刚,"Highlights damage, goes all out to attack and heavily damage the enemy",เน้นความเสียหาย โจมตีเต็มที่ และสร้างความเสียหายอย่างหนักให้กับศัตรู
JingMaiTitle_柔,Dense as the Forest,สงบดั่งผืนป่า
JingMaiDesc_柔,"Calm on the surface, but deadly within, making the enemy suffer",เงียบสงบแต่แฝงไปด้วยอันตราย สร้างความลำบากให้ศัตรู
JingMaiTitle_虚,Mysterious as the Night,ลึกลับดั่งราตรี
JingMaiDesc_虚,Has unique strategies to deal with negative situations in battle,มีกลยุทธ์เฉพาะตัวเพื่อรับมือกับสถานการณ์ต่างๆในการต่อสู้
JingMaiTitle_实,Mighty as the Thunder,ทรงอำนาจดุจอัสนี
JingMaiDesc_实,Achieves maximum damage through instant burst,ระเบิดพลังทำลาย สร้างความเสียหายสูงสุด
Teach_Confirm,Already decided,ตัดสินในแล้ว
Teach_Cancel,Need to think a little,ขอคิดสักครู่
RestoreRelation_LackItem,Insufficient {0},{0} ไม่เพียงพอ
RestoreRelation_ConfirmTip,Do you want to consume {0}{1} to reconcile with {2}?
RestoreRelation_FreePerson,Wandering martial artist
ShortcutItemsFull,"The shortcut bar is full, click on the item in the shortcut bar to delete"
ShortcutItemsNoAlternative,No selectable items,ไม่มีรายการให้เลือก
ShortcutItemsSaved,Save successful,บันทึกสำเร็จ
Text_Add,Increase,เพิ่มขึ้น
Text_Sub,Decrease,ลดลง
HPEP_ValueChanged_Log,{0}{1}{2}{3} points,{0}{1}{2}{3} แต้ม
HPEP_PerChanged_Log,{0}{1}{2}{3}%
Team_HPEP_ValueChanged_Log,The whole team {0}{1}{2} points,ทั้งกลุ่ม {0}{1}{2} แต้ม
Team_HPEP_PerChanged_Log,The whole team {0}{1}{2}%
ShortStangerName,This person
Authenticate_AbilityTip,Can appraise up to {0},สามารถประเมินได้ถึง {0}
Authenticate_AbilityTipItem,Level {0} {1},{0} ระดับ {1}
Authenticate_SelectMax,Maximum ({0})
Authenticate_LackCoin,Not enough gold!,เงินไม่พอ!
UseChest_RationTip,Select the quantity to use
BulkUseOverflowTips,(Continued use of <#FE2929>{0}</color> will overflow)
ChestsResultTip,Obtain item
AuthenticateTag_字画,Calligraphy and painting
AuthenticateTag_书籍,Book,หนังสือ
AuthenticateTag_古董,Antique,ของโบราณ
AuthenticateTag_饰品,Jewelry,อัญมณี
AuthenticateTag_丹药,Medicine,ยา
RemoveKungfu_ReConfirm,"Choose to let {0} forget {1}?<voffset=-0.5em>\n<color=""red""><size=70%>Note: The attributes provided by this martial arts will also be cleared!</size></color>","ต้องการให้ {0} ถอด {1} ออกหรือไม่?<voffset=-0.5em>\n<color=""red""><size=70%>หมายเหตุ: คุณสมบัติที่ได้รับจากวิชานี้จะถูกล้างออกไปด้วย!</size></color>"
RemoveKungfu_LackItem,Insufficient {0},{0} ไม่เพียงพอ
BuyRationTitle,Select Buy quantity
SellRationTitle,Select Sell quantity
BattleLog_Start,{0}'s team enters battle,กลุ่มของ{0} เข้าสู่การต่อสู้
BattleLog_Win,{0}'s team wins the battle,กลุ่มของ {0} ชนะการต่อสุู้
BattleLog_Fail,{0}'s team loses the battle
BattleLog_Retreat,{0}'s team successfully retreats
BattleLog_NormalAttack,{0} performs a Normal Attack,{0} ทำการโจมตีปกติ
BattleLog_UseOuterKungfu,{0} releases external skill {1},{0} ใช้วิชาภายนอก {1}
BattleLog_UseUniqueSkill,{0} releases ultimate skill {1}
BattleLog_SpecialAction,{0} performs <color=#ffff00>{1}</color>
BattleLog_SetInnerKungfu,{0}'s main internal skill is set to {1}
BattleLog_UnSetInnerKungfu,{0} cancels {1}'s main internal skill
BattleLog_UseHitWep,{0} uses Throwing {1},{0} ใช้อาวุธลับ {1}
BattleLog_UseItem,{0} uses Item {1}
BattleLog_Defeat,{1} is defeated,{1} พ่ายแพ้แล้ว
BattleLog_BeDamage,{0} takes <color=#F55452>{1} points of damage</color>,{0} ได้รับ<color=#F55452>ความเสียหาย {1} </color>
BattleLog_BeDamageSpecial,{0} takes <color=#F55452>{1} points of {2} damage</color>,{0} รับ <color=#F55452>{1} แต้มของ {2} ความเสียหาย</color>
BattleLog_Debuff,{0} takes <color=#F55452>{1} points of {2}</color>,{0} รับ <color=#F55452>{1} แต้มของ {2} </color>
BattleLog_PropChange,{0}'s {1} increases by {2} points,{1} ของ {0} {2} {3} แต้ม
BattleLog_UseBondKungfu,{0} releases bond martial arts {1},{0} ปล่อยวรยุทธ์สัมพันธ์ {1}
BattleLog_ActiveKungfuBuff,{0} triggers Additional effects {1}
集气,Gathering Qi,รวบรวมลมปราณ
Min,Minimum
Max,Max,สูงสุด
SicBo_BetStartOr5s,"Place your bets now!|No more bets!|If you're just watching, run away, don't crowd around here|Betting on big or small pays 1:2; betting on numbers pays 1:3|Don't miss the chance to get rich, the more you bet, the more you win|Have you all placed your bets? The dice are about to roll!|Hurry up and place your bets, time waits for no one!|Any more bets? Any more bets?|Bet more, win more; bet less, win less!|Let's wait and see, will it be overnight riches or bankruptcy!|Opportunities are fleeting, don't miss your chance to get rich!|Three parts fate, seven parts struggle, how can you get rich without a fight!"
SicBo_Settle_Big_Fail,"{0}, {1}, {2}——{3} points, big!","{0}, {1}, {2}——{3} แต้ม, สูง!"
SicBo_Settle_Small_Fail,"{0}, {1}, {2}——{3} points, small!","{0}, {1}, {2}——{3} แต้ม, ต่ำ!"
SicBo_Settle_Big_Win,"{0}, {1}, {2}——{3} points, big! Congratulations, you won {4} this round.","{0}, {1}, {2}——{3} แต้ม, สูง! ยินดีด้วย เจ้าชนะ {4} ในรอบนี้"
SicBo_Settle_Small_Win,"{0}, {1}, {2}——{3} points, small! Congratulations, you won {4} this round.","{0}, {1}, {2}——{3} แต้ม, ต่ำ! ยินดีด้วย เจ้าชนะ {4} ในรอบนี้"
SicBo_NpcJoin,"Try your luck at this table|This table is not bad|Add me, add me!|Can anyone tell me how long this round has been going on?|You guys follow my bets later.|Hurry up and place your bets, don't dawdle|I'm new here, please be patient|Who's got the hot hand at this table?|Let me see what the situation is now|Count me in!|This table looks like it's full of pros|Watch me dominate!"
SicBo_NpcReJoin,"Again, again!|I don't believe I can't turn the tables this time|I just had bad luck last round|I just made a vow at the temple|I have to play another round today, or I won't be able to sleep|Eating and sleeping are not as important as playing this|I'm counting on this round to make a fortune!|I don't believe in bad luck today|I brought my wife's money this time, I'm sure to make a big profit|I'm going to have a good time today, no one is allowed to leave!|This table looks like it's full of pros|Let's keep going!"
SicBo_Bet_Exit,"I'm out of money, I need to figure out how to get some more|Sigh, I've lost all my wife's money|I'm too tired, I'll go home and sleep and come back|I didn't check the almanac when I went out today, I'm so unlucky!|I'm done, I'm done|I can't stay up with you guys, I'm leaving first|I almost missed something important, I have to go|I'm out of money, I can't continue|I'm leaving, you guys continue|I'll go home and get some money, and then come back for a big fight!|No matter how much I have, it's not enough to lose, I'd better go|Quit while you're ahead, that's enough"
SicBo_Bet_Bet,"Follow my bets, guaranteed to make a big profit!|Just one last round, win or lose depends on this round!|Bet a little first, Throw Rock|What are you guys waiting for, place your bets!|Should I bet big or small?|I'm going all in, I'm betting everything!|This round is a sure win if you bet big|This round is a sure win if you bet small|If you don't have money, get out of the way, don't waste time|Hey, what are you dazing at, hurry up and place your bets|Your money is as good as mine|Let me show you my courage!"
SicBo_Settle_Fail,"<sprite=""ganga"">What's going on, I lost again|<sprite=""ganga"">Just a little bit more, what a pity|<sprite=""yiwen"">Is anyone cheating?|<sprite=""ku"">Such bad luck!|<sprite=""ganga"">Almost won this round|<sprite=""fennu"">Lost again? Are you messing with me?|<sprite=""lingluan"">Just lose, it doesn't matter if you lose all your money|<sprite=""fennu"">This is infuriating!|<sprite=""lingluan"">Can't lose anymore, not much money left in hand|<sprite=""chijing"">You guys are cheating, why do I always lose!|<sprite=""ku"">Oh God, let me win a round, please|<sprite=""fennu"">Damn it, God is screwing me over again!"
SicBo_Settle_Win,"<sprite=""kaixin"">I won, I won!|<sprite=""kaiqiao"">Excellent, my luck is turning around today|<sprite=""kaixin"">Awesome, so awesome!|<sprite=""kaixin"">Beautiful! Never won so satisfyingly before|<sprite=""ku"">Finally won some money|Win one more round and then quit while you're ahead|<sprite=""haose"">All the money is mine, mine!|Only won this much? Boring|<sprite=""kaiqiao"">Oh, good start today, lucky|<sprite=""chijing"">Win, win, I won!|I will definitely be the winner of the next round!|I knew I should have bet more just now"
SicBo_Option_ReJoin,Take out {0} as chips to continue!
SicBo_Option_Leave,Talk about it later.,ไว้คุยเรื่องนี้ทีหลัง
SicBo_ReJoinAsk,"Sir, you seem to be running out of chips, do you want to continue?"
SicBo_LeaveConfirm,Do you want to quit the current game?
SicBo_LackTempCoin,"You have no chips left, you can't bet!"
SicBo_NoneBetType,"You need to select a betting area first, bet on big/small or numbers."
Button_BondAssisted,Already used,ใช้ไปแล้ว
Tip_AllLoversUsed,%c%There are no available martial arts skills that need Assist
MoralFondnessDescItem,"When {0} {1}, there is a chance to improve each other's Relations."
CabFromTo,<#9B8C6D>Always:</color>
CabCostTime,<#9B8C6D>Time consumed:</color>
CabCostCoin,<#9B8C6D>Cost:</color>
CabTargetNoPoint,<#838281>(No post station at the destination)</color>
CabDriveTitle,Go to: {0},ไปที่: {0}
Meditation_Heal,<#94FF4D>HP {0}</color>,<#94FF4D>HP {0}</color>
Meditation_Ep,<#FFFFFF>MP {0}</color>,<#FFFFFF>MP {0}</color>
Meditation_Exp,<#D7A347>Practical {0}</color>
MeditationStop_Stanima,"%c%Already extremely fatigued, unable to continue meditation"
MeditationCantStart_Stanima,"%c%Insufficient Stamina, unable to meditate"
MeditationCantStart_Sitting,"%c%Already sitting, unable to meditate"
Meditation_TotalTime,This meditation session took a total of {0}
ForgeWeaponLockTitle,<color=#ff0000>(Crafting {0} level Unlock)</color>
ForgeArmorLockTitle,<color=#ff0000>(Crafting {0} level Unlock)</color>
Time,Time
ResetAcupointReconfirm,"Choosing to retrain will clear all Passive effects and return all comprehension points, are you sure?",การเลือกเรียนรู้ใหม่จะล้างพลังแฝงและคืนแต้มการเรียนรู้ทั้งหมด ท่านแน่ใจหรือไม่?
ZzPointTip,"Each time a Character levels up by <#68cf24>{0} levels</color>, they gain 1 aptitude point. Aptitude points can be used to increase five-dimensional attributes. Consuming <#c851ff>Forgotten pill</color> can reset the five-dimensional aptitude gained from leveling up.",ในแต่ละครั้งที่ตัวละครเลเวลเพิ่มขึ้น <#68cf24>{0} ระดับ</color> พวกเขาจะได้รับแต้มค่าคุณสมบัติ 1 แต้ม แต้มค่าคุณสมบัติใช้เพื่อเพิ่มค่าคุณสมบัติทั้งห้าได้ การใช้ <#c851ff>โอสถลืมเลือน</color> สามารถล้างค่าคุณสมบัติที่ได้รับจากการเลื่อนระดับได้
ZzPointNoEdited,No points have been added yet
ZzPointResetLackItem,"Without Forgotten pill, reset is not possible.","ไม่สามารถดำเนินการได้ หากไม่มี""โอสถลืมเลือน"""
ZzPointResetReconfirm,Consume one {0} to reset {1} <color=#33ff00>{2} points</color> upgrade aptitude?,ใช้หนึ่ง {0} เพื่อรีเซ็ต {1} <color=#33ff00>{2} คะแนน</color> เพิ่มระดับความถนัด?
ForgeLevelTitle,Crafting Level: <color=#62FF52>{0}</color> level
ForgeMaxLevelSuffix,(<color=#57F8C9>Max Level</color>),(<color=#57F8C9>ระดับสูงสุด</color>)
ForgeBatchResultTitle,Synthesis Result
TailorLevelTitle,Tailoring Level: <color=#62FF52>{0}</color> level
CookLevelTitle,Cooking Level: <color=#62FF52>{0}</color> level
AlchemistLevelTitle,Alchemy Level: <color=#62FF52>{0}</color> level
SundriesLevelTitle,Synthesis Level: <color=#62FF52>{0}</color> level
InBattleUniqueSwitch_Failed,"%c%The ultimate move has been set for battle, no need to set again"
InBattleUniqueSwitch_Ok,{0} sets {1} as the ultimate move for battle
NoUsedZzPoint,%c%No upgrade aptitude available for reset,%c%ไม่มีแต้มสถานะให้ล้าง
BuyAll_LackCoin,%c%Not enough Coin,%c%มีเงินไม่พอ
SellAll_LackCoin,%c%The other party does not have enough Coin
Toggle_DisableBulkTrade,"Close batch Buy, Sell, Appraise prompt"
PackTab_KungfuBook_Inner,Internal Strength,กำลังภายใน
PackTab_KungfuBook_Outer_Fist,Fist,หมัด
PackTab_KungfuBook_Outer_Sword,Sword Series,กระบี่
PackTab_KungfuBook_Outer_Blade,Knife Series,ดาบ
PackTab_KungfuBook_Outer_Long,Long,อาวุธยาว
PackTab_KungfuBook_Outer_Short,Short,อาวุธสั้น
PackTab_KungfuBook_Outer_Music,Musical,ดนตรี
MainPropTip_Exp_UnMax,Innate {0} Experience: {1}/{2}
MainPropTip_Exp_Max,Innate {0} Experience: Reached the limit
MainPropTip_Origin,Innate {0}: {1}
MainPropTip_Buff,Status Effect: {0}
MainPropTip_Equip,Equipment Effect: {0}
MainPropTip_Kungfu,Martial Arts Effect: {0}
MainPropTip_Other,Other Sources: {0}
SteamSortHot,Recently Popular
SteamSortDownload,Most Subscribed
SteamSortCreateTime,Newly Created
SteamSortUpdateTime,Recently Updated
SteamAll,All,ทั้งหมด
SteamModNum,Total {0} mods
SteamAuthor,Author:
SteamTags,Tags:
SteamModSize,Mod Size:
SteamUpdateDate,Update Date:
SteamDescription,Description:
SteamDate,{0} Year {1} Month {2} Day
SteamPublishing,Uploading
SteamPublish,Upload
SteamModPath,Mod Directory:
SteamPublishUpdate,Upload Update
ModWarning_UseMod,"Warning! You have enabled mods, the game may not run correctly, this save will <#F55452>disable achievements, skill inheritance, free difficulty coefficient and other systems</color>! Do you wish to continue?",คำเตือน! คุณได้เปิดใช้งานม็อดแล้ว เกมอาจจะทำงานไม่ถูกต้องตามที่ควร ดังนั้นเซฟนี้จะ <#F55452>ปิดการได้รับความสำเร็จ</color> ในการเล่น! จะดำเนินการต่อหรือไม่?
ModWarning_DifferentMod,"<size=36>Warning! You have modified the mod configuration of this save, the game may not run correctly, continue?</size>"
ModWarning_DifferentMod_Removed,<#ff0000>\nDeleted mods:</color>\n{0}
ModWarning_DifferentMod_New,<#ff0000>\nNew mods:</color>\n{0}
ModWarning_DifferentMod_Cur,<#ff0000>\nCurrently enabled mods:</color>\n{0}
mod_firstopen_title,User Agreement
mod_firstopen_content,"Welcome to use the ""Hero's Adventure - Road to Passion"" Mod (MOD) Editor.\nThis editor and the accompanying materials included in the editor will be freely available for community use. You can use this editor to create non-commercial game-related mods (MOD). Before creating content with this editor, you need to understand and ensure that the content created complies with the agreement of this agreement:\n1. Works created based on this editor do not contain any content that is prohibited or inappropriate in the ""User Agreement"". Those who violate or violate laws and regulations will be held responsible by the creators of the works for the works and their consequences. We will actively assist in establishing a connection with the author, promoting rectification, and deleting any text, pictures, etc. that do not comply with national laws, regulations, and policies.\n2. ""Hero's Adventure - Road to Passion"" respects the freedom of creation of each author, and does not have any pre-requirements for the world view, background setting, and content setting of works created based on this editor. At the same time, each work will not reflect any opinions and viewpoints of ""Hero's Adventure - Road to Passion"" itself. The creators of each work guarantee the content or the correctness of the content.\n3. If you have a copyright or intellectual property statement for some works created by this editor, and believe that there is a suspicion of infringement, you can contact us through the email [halfamateurstudio@gmail.com], and we will provide communication assistance."
ModTag_剧情,Plot
ModTag_角色,Character,ตัวละคร
ModTag_外观,Appearance
ModTag_音频,Audio
ModTag_技能,Skills
ModTag_道具,Items
ModTag_其它,Other,อื่นๆ
ModTag_非中文,Non-Chinese
OneTouch_Buy_FromHighToLow,Automatically bulk buy in descending order of grade\n(Game settings can adjust the order of buying)
OneTouch_Buy_FromLowToHigh,Automatically bulk buy in ascending order of grade\n(Game settings can adjust the order of buying)
OneTouch_Sell_FromLowToHigh,Automatically bulk sell in ascending order of grade\n(Game settings can adjust the order of selling)
OneTouch_Sell_FromHighToLow,Automatically sell in bulk from high to low grade\n(Game settings can adjust the sell order)
OneTouch_Buy_SellOut,%c%Sold out
OneTouch_Sell_SellOut,%c%Out of stock
caiji_yiguanzhenjiu,It requires consuming <#FDF46C>{0}</color> and <#FDF46C>15Stamina</color> to gain 1 point of Medical. Do you wish to continue?,ต้องใช้ <#FDF46C>{0}</color> และ <#FDF46C>15 แรงกาย</color> เพื่อรับ 1 คะแนนวิชาแพทย์. เจ้าต้องการดำเนินการต่อหรือไม่?
GameLog_TeamPack_AddItemFief,{1} obtained {0} (stored in the homeland)
Value_Point,{0} pts.
FiefDefaultName,{0}'s homeland
Fief_Num_Level,(lv{0})
FiefBuilding_None,Not Unlocked
FiefLevelConditionTip0,Requires
FiefLevelConditionTip1,Requires
FiefUnlockLevel,{0} level\nUnlock
FiefUnlockLevel1,{0} Level Unlock
FiefPropertyTip,Each point of {0} from the placed companions increases {1} points of progress (Each companion can provide up to 40 points of progress)
FiefPropertyTip0,Each placed pet increases {0} points of progress
FiefPropertyTip1,Each bonded character increases {0} points of progress
FiefPropertyTip2,Each level of Fame of the placed companions increases {0} points of progress
FiefPropertyLine,[{0}pts]{1}
FiefTipFullTeam,%c%No empty slots!
FiefTipFullPet,%c%Already carrying a pet!
FiefTipNpcCantEnter,%c%This character cannot enter the home
FiefTipPetCantEnter,%c%This pet cannot enter the home
FiefSaveFileUpgrade,"The save file version is too low, do you want to open the 'Homestead Sharing Function'?"
FiefEditTitleTip,Rename your homestead
FiefPrizeBuffTarget_全队,Full team
FiefPrizeBuffTarget_宠物,Pets.
FiefPrizeBuffTotal,{0}{1} total increase of {2}
FiefPrizeBuffTotalPercent,{0}{1} total increase of {2}%
GameLog_FiefResToFief,
